detection_id,B,G,R,nB,nG,nR,Compactness
432908841,9.5363,10.2385,15.4405,0.1258,0.1364,0.1517,0.05257802831020273
432909215,3.9117,11.0551,15.7118,0.0,0.0,0.0233,0.05347294092237722
432909223,3.0317,10.4345,15.097,0.0,0.0,0.0229,0.05439884443645084
432909225,3.8701,10.9037,15.5279,0.0,0.0,0.0225,0.05535737701133239
432909227,3.5788,10.8972,15.4005,0.0,0.0,0.0222,0.056098740702361524
432909229,3.7051,10.607,15.2432,0.0,0.0,0.0225,0.05535737701133239
432909234,4.9765,11.7374,16.5417,0.0,0.0,0.0221,0.05635029433027713
432909240,3.0829,7.2553,11.2676,0.0,0.0,0.0177,0.07020097205976435
432909243,9.9643,20.4196,25.3881,0.0,0.0,0.0244,0.05108195634991484
432909245,9.9674,20.3321,25.1695,0.0,0.0,0.0237,0.05257802831020273
432909247,9.8357,20.4228,25.424,0.0,0.0,0.0238,0.05235896091135454
432909249,10.7774,20.8332,26.0457,0.0,0.0,0.0246,0.050670018704328156
432909253,9.6349,20.4602,24.929,0.0,0.0,0.0237,0.05257802831020273
432909273,10.1437,21.0062,25.7929,0.0,0.0,0.0245,0.050875153686925724
432909275,10.9184,21.5021,26.3192,0.0,0.0,0.0251,0.049668666921834095
432909279,10.0252,20.0455,24.7468,0.0,0.0,0.0241,0.051712576293637055
432909290,9.9193,19.47,24.3831,0.0,0.0,0.0244,0.05108195634991484
432909291,9.9586,18.8296,23.7756,0.0,0.0,0.0244,0.05108195634991484
432909294,8.8422,18.3276,23.0327,0.0,0.0,0.024,0.05192625725187585
432909296,8.2476,17.4463,22.1408,0.0,0.0,0.0241,0.051712576293637055
432909297,7.6627,17.3253,22.0414,0.0,0.0,0.024,0.05192625725187585
432909301,2.7769,8.5739,12.9738,0.0,0.0,0.0211,0.0589957324588329
432909379,14.3651,20.7753,28.8067,0.5963,0.9382,1.0916,0.0541643755046309
432909533,13.7754,23.133,30.2811,0.3649,0.7284,0.8086,0.05192625725187585
432909545,15.7215,25.5749,33.2335,0.2932,0.6676,0.7516,0.04889563761385481
432909565,9.8242,16.8271,23.5204,0.3359,0.5785,0.6369,0.059274001684944774
432909593,4.2933,15.1239,22.1713,0.1875,0.4216,0.436,0.0427422593087034
432909610,6.3554,24.6973,31.9333,0.1682,0.4348,0.4404,0.0401477364918814
432909631,6.8466,22.2652,30.0963,0.2554,0.7701,0.7563,0.03500354474990032
432909653,2.0469,12.6179,17.9587,0.0,0.0,0.0287,0.04348172702451151
432909654,1.6161,10.6257,15.3197,0.002,0.0057,0.0296,0.050875153686925724
432909656,2.9613,15.5815,27.1759,0.0154,0.0578,0.1052,0.025386503273611565
432909658,2.1707,9.9859,14.3169,0.0113,0.0407,0.0587,0.06159836113714365
432909659,1.2009,7.2382,17.2594,0.0399,0.1593,0.1989,0.03141572920091552
432909662,2.382,8.9852,15.2723,0.0674,0.2245,0.2472,0.04671448198421
432909663,2.2825,11.0567,14.3647,0.0,0.0,0.0209,0.0595549083537657
432909666,0.4095,7.8347,11.5998,0.0,0.0,0.0188,0.0661369411690469
432909667,0.6804,11.7326,16.0597,0.0,0.0,0.0223,0.05584942297118333
432909784,5.1702,14.5615,18.2016,0.1064,0.3942,0.3744,0.06477336728387235
432909785,6.5544,17.383,21.1347,0.1067,0.4098,0.3927,0.0607056738604871
432909786,6.5073,17.7814,21.052,0.1214,0.4756,0.4434,0.06378702284985524
432909787,7.4645,20.3748,24.1591,0.0923,0.3877,0.367,0.05560231145909046
432909792,6.2107,17.8462,24.2652,0.2361,0.7054,0.7611,0.05737948033237819
432909797,8.2962,26.2482,34.0011,0.2743,0.8554,0.8884,0.04393781784522013
432909798,7.7438,26.873,34.1656,0.2392,0.7917,0.8166,0.04552972625896745
432909820,0.2709,5.417,9.2918,0.0,0.0,0.0181,0.06866661880204716
432909821,0.1212,5.2101,9.17,0.0,0.0,0.0184,0.0675591583065621
