detection_id,B,G,R,nB,nG,nR,Compactness
153688286,15.8928,18.2109,10.1289,0.2269,0.2741,0.1003,0.10832258979485408
153688308,15.7453,18.1009,10.1304,0.2922,0.3586,0.1377,0.10832258979485408
153688330,15.7441,18.0958,10.1268,0.3056,0.3713,0.1443,0.10832258979485408
153688350,15.7224,18.0727,10.116,0.3051,0.3708,0.1441,0.10832258979485408
153688411,18.1297,20.1135,10.9618,0.4044,0.4706,0.1805,0.10648688664370398
153688451,18.8319,21.4083,12.3515,0.3049,0.3688,0.1434,0.09972671719555438
153688474,18.4545,21.0412,12.086,0.3298,0.3934,0.153,0.10133499999681532
153688495,18.1923,20.7751,11.9321,0.2831,0.3386,0.1273,0.10133499999681532
153688516,18.6563,21.7156,12.4522,0.2848,0.3623,0.1379,0.09665858053229819
153688556,18.7262,21.8011,12.4606,0.2947,0.3729,0.1425,0.09740778003073822
153688599,20.3525,22.3942,12.8731,0.435,0.4895,0.2032,0.09447856694680049
153688618,21.0597,23.0006,13.256,0.3291,0.3709,0.1469,0.09307904275505513
153688640,20.1791,21.927,12.485,0.2682,0.3007,0.104,0.09592081711552267
153688662,20.7089,22.4299,12.6373,0.2206,0.2474,0.0815,0.09740778003073822
153688683,19.1666,20.1331,11.6651,0.1708,0.1882,0.0572,0.09665858053229819
153688704,19.6687,20.5596,11.9037,0.158,0.173,0.0489,0.09592081711552267
153688722,19.2817,20.2542,11.6548,0.1583,0.1779,0.0497,0.09665858053229819
153688741,20.2495,20.9662,12.1415,0.17,0.1862,0.0517,0.09172037375316221
153688761,20.2221,21.0207,12.1121,0.1382,0.1542,0.0376,0.09172037375316221
153688781,21.0252,22.0843,12.8167,0.1266,0.1467,0.0327,0.08975514439115811
153688802,20.7462,21.9109,12.6012,0.1546,0.1759,0.0449,0.09172037375316221
153688823,20.6004,22.7469,13.1629,0.2779,0.3347,0.1193,0.08849111644335216
153688842,20.817,22.9808,13.2369,0.2779,0.3347,0.1192,0.08911864874469005
153688861,20.7985,22.9575,13.2266,0.2759,0.3322,0.1181,0.08911864874469005
153688879,21.4543,23.756,13.605,0.1581,0.2021,0.053,0.08666044549832956
