detection_id,B,G,R,nB,nG,nR,Compactness
428244286,15.2473,15.2703,17.8579,0.4995,0.5106,0.4808,0.08548150399146558
428244292,1.5842,3.3946,9.5307,0.0,0.0,0.0213,0.05844695914181379
428244293,1.2961,2.5135,7.6897,0.0,0.0,0.0181,0.06866661880204716
428244304,1.276,2.5659,6.7594,0.0,0.0,0.0163,0.07615699026400004
428244305,1.3505,2.5304,6.933,0.0,0.0,0.0163,0.07615699026400004
428244306,1.51,2.7033,6.9657,0.0,0.0,0.0162,0.07662132709270902
428244307,13.2475,13.2628,14.5412,0.1735,0.1757,0.1357,0.08911864874469005
428244308,14.7495,15.1655,16.389,0.0732,0.0821,0.0492,0.08106994029334431
428244309,16.1393,16.5931,17.7355,0.0928,0.1048,0.0597,0.07221810771057427
428244310,14.3209,14.9554,15.7456,0.0475,0.0655,0.0345,0.07479714303071543
428244311,15.066,15.714,16.4507,0.0844,0.097,0.0615,0.07853670966610296
428244312,13.0942,14.0202,14.5747,0.0579,0.073,0.0272,0.07348500463068167
428244313,14.2271,15.2348,15.4535,0.0766,0.0879,0.0371,0.07059533429497317
428244315,12.7802,13.3601,14.4325,0.0918,0.0944,0.0607,0.07615699026400004
428244316,12.8732,13.6055,14.6861,0.1032,0.1099,0.0887,0.07305779571290515
428244317,12.7131,13.6871,14.6702,0.1607,0.185,0.1361,0.07662132709270902
428244320,12.3939,13.6013,15.4765,0.678,0.7523,0.6353,0.07435458803139107
428244321,13.2491,14.5441,18.0778,0.5716,0.6281,0.5452,0.06579069379816853
428244322,11.1746,12.3744,16.3564,0.3997,0.4471,0.384,0.06346488289866778
428244323,12.3444,13.7357,17.3087,0.3484,0.3934,0.3245,0.06283026644890574
428244324,14.8379,16.6812,18.9859,0.4113,0.4668,0.3736,0.06579069379816853
428244325,16.4883,18.3234,20.1838,0.448,0.4978,0.3789,0.06159836113714365
428244332,25.6061,27.4351,25.6418,0.6296,0.6711,0.4786,0.0539319190680174
428244334,20.7628,22.6342,19.0475,0.5569,0.6027,0.3877,0.06100034753906654
428244335,18.1729,19.6621,16.9555,0.779,0.8485,0.5232,0.0661369411690469
428244336,17.4315,19.0722,16.3339,0.6063,0.6681,0.413,0.06648685222060789
428244337,16.0514,17.1501,15.4712,0.7092,0.763,0.5052,0.06792432131461863
428244338,14.039,15.0849,13.917,0.5949,0.6436,0.398,0.07180546030797123
428244340,11.717,12.5273,12.2162,0.0714,0.0787,0.0223,0.09894156757337469
428244341,14.6436,15.4135,14.967,0.0754,0.0857,0.0237,0.09740778003073822
428244342,17.5696,18.2706,18.1174,0.0844,0.0966,0.0314,0.09307904275505513
428244343,19.9977,20.7905,21.2484,0.0912,0.1073,0.0482,0.07615699026400004
428244344,20.1589,21.1802,21.9156,0.0936,0.1134,0.0673,0.07615699026400004
428244345,21.4577,23.7191,24.2264,0.0489,0.1125,0.0348,0.07569824722699373
428244347,24.2046,26.7766,27.1639,0.0823,0.1472,0.0799,0.06904388481989716
428244348,24.4758,26.9601,27.6992,0.0968,0.1559,0.1002,0.06829345312829196
428244350,22.2896,25.2397,26.5468,0.0681,0.127,0.0796,0.06981099120988524
428244351,15.7542,18.1355,19.4685,0.0318,0.1011,0.0485,0.09307904275505513
428244352,15.1774,17.4402,18.8288,0.0291,0.0987,0.0468,0.0937735836449438
428244353,13.6346,15.6366,17.1134,0.0275,0.0909,0.0475,0.09894156757337469
428244356,13.6686,15.3821,17.4475,0.0687,0.1087,0.103,0.09816868357674101
428244357,12.3723,13.8437,16.0402,0.0665,0.0981,0.098,0.09972671719555438
428244358,9.4804,10.6589,12.5316,0.0606,0.076,0.0738,0.11022268844923072
428244359,12.3119,14.0262,15.4749,0.1318,0.1487,0.1359,0.09519422993221213
428244361,12.9006,14.3757,15.8257,0.1574,0.1763,0.1561,0.0937735836449438
428244362,15.4389,16.6839,15.9659,0.6593,0.7054,0.5024,0.08266986501266944
428244364,15.2079,16.1603,14.5462,0.6238,0.6585,0.4724,0.08055030487456037
428244366,14.1148,14.4107,12.6858,0.1189,0.1231,0.0908,0.07804894248762141
428244367,13.615,13.9623,12.2427,0.0935,0.0992,0.0835,0.07615699026400004
428244369,13.0991,13.6405,12.2636,0.1032,0.111,0.089,0.07435458803139107
428244372,8.2988,8.6721,8.9164,0.0559,0.0607,0.0541,0.08849111644335216
428244373,6.3504,6.5447,7.4374,0.0477,0.048,0.0473,0.09894156757337469
428244375,13.3052,14.106,13.8953,0.0304,0.0587,0.0309,0.08433420746488306
428244377,13.0418,14.44,13.5302,0.2152,0.2465,0.1164,0.06829345312829196
428244378,20.6889,21.2415,21.4747,0.195,0.2005,0.1501,0.07059533429497317
428244379,8.0628,8.9401,10.4673,0.2222,0.2524,0.1423,0.0752449975094086
428244380,12.0984,12.7337,13.6287,0.0612,0.0759,0.0277,0.08377203058083679
428244381,6.9753,7.233,8.8209,0.012,0.0129,0.0206,0.09307904275505513
428244408,10.6103,11.2032,9.2993,0.3087,0.3333,0.1706,0.10648688664370398
428244409,11.5723,12.4614,10.6825,0.2417,0.2647,0.1451,0.10299600257653854
428244412,12.4714,13.138,13.0616,0.0854,0.0931,0.0354,0.09816868357674101
428244415,12.4934,13.4651,13.1636,0.0018,0.0225,0.011,0.11219063124580061
428244416,13.0621,13.9946,13.5238,0.0043,0.0257,0.011,0.11219063124580061
428244417,12.6092,13.3435,12.9568,0.007,0.0282,0.0116,0.10648688664370398
428244419,12.4697,13.8241,12.8753,0.002,0.0167,0.011,0.11219063124580061
428244420,12.6152,13.8278,12.9468,0.0142,0.025,0.0217,0.11022268844923072
428244421,13.1042,14.149,13.289,0.0159,0.0348,0.0232,0.10559216905199818
428244422,13.2128,14.2225,13.2496,0.0573,0.0809,0.0539,0.10739689511380088
428244423,12.0649,12.8125,11.2387,0.0618,0.0728,0.0131,0.10926437976474195
428244424,12.1049,12.8534,11.7128,0.0579,0.0782,0.0174,0.10559216905199818
428244425,12.1716,12.9448,11.7214,0.069,0.0923,0.0256,0.10648688664370398
428244426,12.5263,12.9996,12.6213,0.0108,0.0171,0.0143,0.10832258979485408
428244427,11.962,12.5017,12.0638,0.0875,0.0907,0.0427,0.10133499999681532
428244428,12.6177,12.8664,12.5511,0.1103,0.1121,0.0782,0.10052442674077641
428244429,13.3656,13.5482,13.5724,0.1202,0.1218,0.0952,0.09816868357674101
428244430,13.6043,14.0202,13.9131,0.1327,0.1336,0.1056,0.10133499999681532
428244431,13.8187,14.2768,14.5717,0.1077,0.1117,0.0798,0.09665858053229819
428244432,12.5963,13.4724,13.9466,0.0959,0.103,0.0745,0.09972671719555438
428244433,10.9819,11.8063,12.9981,0.0162,0.0428,0.0134,0.11022268844923072
428244434,11.785,11.9975,12.223,0.4287,0.4511,0.323,0.10133499999681532
428244435,15.8077,15.8859,16.035,0.688,0.6894,0.5701,0.08911864874469005
428244436,19.4271,19.4531,19.1778,0.901,0.8977,0.7405,0.08003728818317192
428244438,27.1706,27.8308,27.3854,1.3,1.3757,1.075,0.06904388481989716
428244439,27.8311,28.7822,27.8467,1.0186,1.0976,0.8057,0.07020097205976435
428244442,45.1178,45.9666,45.9757,1.1413,1.1938,0.9824,0.05279893651282317
428244451,8.1639,9.7918,12.2733,0.003,0.0033,0.0191,0.07348500463068167
428244504,21.6783,25.9738,30.3482,1.0184,1.2804,1.3487,0.05560231145909046
428244510,24.2483,28.7803,32.8253,1.2736,1.6116,1.7401,0.0541643755046309
428244519,19.3506,22.2973,24.7286,0.4224,0.4861,0.3545,0.056098740702361524
428244523,20.4249,25.0678,32.1679,0.6507,0.8127,0.8615,0.04986575853700407
428244524,14.4898,18.6779,25.5117,0.9442,1.2262,1.318,0.05324636892277132
428244525,19.1637,23.2442,31.3476,1.1676,1.4585,1.5647,0.043784728166320654
428244531,16.1423,19.4292,25.5947,1.9728,2.4449,2.5729,0.05347294092237722
428244532,13.8909,16.0769,21.3571,0.4509,0.5186,0.5329,0.05737948033237819
428244533,8.666,10.2053,14.7124,0.4078,0.4821,0.501,0.07263552511680024
428244535,8.7158,9.5852,12.4449,0.4194,0.4714,0.4928,0.10559216905199818
428244550,27.5477,30.6699,38.2031,0.5993,0.6327,0.6377,0.04318289069619264
428244551,24.4427,26.9359,33.6689,0.6056,0.6292,0.6195,0.04927912092245134
428244554,19.7676,22.4679,30.2792,0.6382,0.7005,0.74,0.0430350075951413
428244557,9.5258,10.8025,16.3208,0.1615,0.1734,0.1895,0.07305779571290515
428244562,1.5107,3.0005,7.5179,0.0,0.0,0.0162,0.07662132709270902
428244563,0.6947,1.8313,6.2759,0.0,0.0,0.0164,0.07569824722699373
428244564,1.1807,2.6073,6.8593,0.0,0.0,0.0152,0.0815963233535219
428244565,0.7077,1.8166,5.9282,0.0,0.0,0.0156,0.07953076456813789
428244566,1.3201,2.6219,6.8738,0.0,0.0,0.0161,0.077091360650504
428244567,0.9015,2.3537,6.9622,0.0,0.0,0.0169,0.07348500463068167
428244569,0.9731,2.6308,6.9384,0.0,0.0,0.0167,0.07435458803139107
428244573,0.8497,1.7156,6.6633,0.0,0.0,0.0167,0.07435458803139107
428244576,4.9685,6.1066,12.4639,0.0,0.0,0.0154,0.08055030487456037
428244605,14.7685,17.4603,23.0571,0.5968,0.6918,0.7155,0.05108195634991484
428244606,9.9918,11.7751,16.6585,0.0255,0.0281,0.0483,0.06444121395927624
428244607,5.3591,6.831,10.9504,0.0437,0.0633,0.1011,0.09447856694680049
428244678,6.1179,6.988,10.8005,0.002,0.0021,0.0162,0.08911864874469005
428244679,5.9424,6.6171,10.3768,0.0,0.0,0.0137,0.09040079679516942
428244680,5.2354,5.9715,10.1033,0.0,0.0,0.0149,0.08321729873508964
428244683,5.6535,6.0805,9.5599,0.008,0.0084,0.0215,0.10133499999681532
428244688,7.0457,7.7727,11.9877,0.0,0.0,0.0174,0.07139750161301212
428244694,12.4348,13.7276,20.3187,0.1289,0.1291,0.1446,0.0502646717369248
428244697,13.3392,14.108,18.2104,0.743,0.7651,0.7485,0.07615699026400004
428244698,14.4628,15.2153,19.1688,0.8273,0.8537,0.8043,0.07391723900466864
428244699,15.2783,16.2594,20.4023,0.7368,0.7655,0.7164,0.0675591583065621
428244702,19.0445,20.6392,24.5351,1.1102,1.1891,1.0796,0.0595549083537657
428244704,20.2493,21.8735,25.0593,1.1458,1.2179,1.0369,0.05872006370526449
428244711,12.9566,13.498,14.1884,0.5059,0.5301,0.4323,0.09447856694680049
428244712,11.5003,11.8179,13.1436,0.9205,0.9143,0.7442,0.09447856694680049
428244722,10.5826,11.0358,12.6543,0.7152,0.7347,0.5952,0.09040079679516942
428244723,14.7511,15.5078,14.4962,0.2957,0.3181,0.2282,0.09105580497377844
428244724,10.4037,10.7073,12.7547,0.4686,0.4838,0.3963,0.09040079679516942
428244725,10.639,10.9513,13.0671,0.603,0.6158,0.5031,0.08911864874469005
428244726,9.9448,10.3915,12.611,0.1485,0.1547,0.144,0.09040079679516942
428244727,9.804,10.2801,12.6681,0.6012,0.6149,0.5214,0.08975514439115811
428244728,9.2827,9.5973,12.1134,0.1362,0.1396,0.134,0.08975514439115811
428244729,9.1774,9.6073,11.93,0.4747,0.478,0.4086,0.08975514439115811
428244730,8.3347,8.5641,11.4366,0.1247,0.1263,0.1227,0.08975514439115811
428244731,9.1707,9.4199,11.0022,0.3182,0.3154,0.2686,0.10832258979485408
428244732,7.5569,7.8372,10.3006,0.1542,0.1582,0.1454,0.1038470904936626
428244734,9.2621,9.4604,12.1041,0.3537,0.3568,0.3245,0.09972671719555438
428244735,11.6695,11.9746,14.1729,0.6643,0.6596,0.6095,0.09447856694680049
428244736,11.1504,11.4151,14.192,0.2992,0.3073,0.2829,0.09105580497377844
428244737,13.455,13.9511,16.6234,0.7898,0.7815,0.7701,0.08911864874469005
428244738,11.3567,11.4208,14.4669,0.5773,0.5822,0.5302,0.08975514439115811
428244740,21.6862,22.1289,27.1133,1.6039,1.5946,1.4733,0.047962542530693694
428244744,36.7194,38.5831,27.9654,0.3195,0.3698,0.2036,0.06444121395927624
428244745,17.3312,17.9541,20.0081,0.4739,0.49,0.4277,0.0752449975094086
