detection_id,B,G,R,nB,nG,nR,Compactness
432431690,1.4585,1.8646,3.8823,0.0396,0.0502,0.0548,0.15322506464696445
432431698,2.0741,2.4623,5.1459,0.0029,0.004,0.0144,0.11527791973048969
432431699,1.9648,2.3831,4.9558,0.0022,0.0027,0.0129,0.11743226366213184
432431700,1.9525,2.3325,4.8753,0.0023,0.0031,0.0129,0.11966865507387159
432431703,1.9276,2.2376,4.643,0.0109,0.0114,0.0216,0.12440706908215582
432431704,1.9869,2.2768,4.6973,0.0222,0.0246,0.0337,0.12318763468639518
432431705,1.9046,2.1911,4.6426,0.0122,0.0135,0.0239,0.12199187159268324
432431706,1.9105,2.2327,4.7092,0.0123,0.0139,0.0242,0.12081909724428652
432431716,1.423,1.6249,3.8359,0.0287,0.0323,0.0391,0.13226261511265314
432431717,2.9412,3.2142,4.9142,0.0445,0.0511,0.0514,0.15705446369492315
432431718,1.833,2.061,3.9382,0.0137,0.0144,0.0217,0.15137953892966877
432431720,1.8516,2.0961,3.9535,0.0128,0.014,0.0213,0.1495779344429456
432431726,2.4019,2.6732,4.4098,0.0301,0.0353,0.0373,0.15137953892966877
432431727,1.2605,1.5138,3.4215,0.0183,0.0206,0.0258,0.15137953892966877
432431737,1.9802,2.184,3.8358,0.0311,0.0351,0.0455,0.20262892686416292
432431741,2.0398,2.204,3.8689,0.02,0.0221,0.0321,0.2059488517353309
432431758,5.2807,5.6234,7.1678,0.0309,0.034,0.039,0.12199187159268324
432431759,5.2812,5.6241,7.1676,0.0307,0.0343,0.0391,0.12199187159268324
432431833,9.8337,10.5019,11.1945,0.0847,0.0954,0.0871,0.11966865507387159
432431836,9.9508,10.6418,11.33,0.1182,0.1307,0.1183,0.12081909724428652
432431839,9.9659,10.6679,11.4218,0.0875,0.0981,0.0914,0.11743226366213184
432431870,5.4943,6.0215,8.5404,0.0678,0.0754,0.081,0.10832258979485408
432431877,5.5613,6.1119,9.6398,0.0809,0.0904,0.1051,0.08548150399146558
432431878,5.2464,5.8717,9.3549,0.0928,0.1058,0.1192,0.08548150399146558
432431879,4.3678,4.9014,8.097,0.0842,0.097,0.1087,0.09307904275505513
432431882,10.7864,11.1337,12.3725,0.0648,0.0698,0.0742,0.09307904275505513
432431911,11.6496,11.8521,14.406,0.0471,0.0471,0.058,0.1132011898318306
432431912,4.2588,4.3825,5.9495,0.0187,0.0191,0.0257,0.19328157927359077
432431913,4.2575,4.3822,5.9425,0.0214,0.0222,0.0287,0.19328157927359077
432431914,4.2574,4.3851,5.9108,0.0228,0.0237,0.0298,0.1963000700655754
432431915,4.2507,4.3858,5.9108,0.0229,0.0237,0.0298,0.1963000700655754
432431916,4.2547,4.3898,5.9148,0.0255,0.0267,0.0326,0.1963000700655754
432431917,4.2554,4.3907,5.915,0.0299,0.0314,0.0371,0.1963000700655754
432431918,4.1231,4.2439,5.7465,0.024,0.0248,0.0306,0.19941430995731257
432431920,3.9011,4.0122,5.4384,0.0271,0.0282,0.0336,0.2093793437612272
