detection_id,B,G,R,nB,nG,nR,Compactness
432281555,6.7299,7.1365,4.4316,0.0509,0.0555,0.0093,0.1653175867489029
432281556,6.0108,6.3943,4.1411,0.044,0.0478,0.0078,0.16752101074657041
432281557,5.9887,6.367,4.1464,0.043,0.0467,0.0077,0.16752101074657041
432281558,5.5778,5.9421,3.9332,0.038,0.0422,0.0077,0.17449830252036147
432281563,2.7718,3.0774,2.6022,0.071,0.0793,0.0311,0.19941430995731257
432281565,3.3284,3.7414,2.8869,0.109,0.1246,0.0368,0.1794818739290955
432281566,4.0076,4.3144,3.0994,0.0266,0.0348,0.0124,0.21659487670178934
432281567,4.0274,4.2941,3.1154,0.0174,0.0238,0.0085,0.21659487670178934
432281568,3.5509,3.799,2.6784,0.0197,0.0223,0.0055,0.22840111198938143
432281569,3.5352,3.7465,2.6974,0.0277,0.0298,0.0065,0.22039234176969208
432281570,3.4462,3.6154,2.6119,0.024,0.0247,0.0059,0.22840111198938143
432281571,3.4394,3.7207,2.7718,0.043,0.0476,0.0097,0.2059488517353309
432281577,2.9981,3.0897,2.6934,0.0276,0.0279,0.0071,0.2059488517353309
432281580,4.7318,4.8338,3.9703,0.0361,0.037,0.0086,0.16108014280507627
432281581,3.7242,3.8555,3.3979,0.0233,0.0259,0.0149,0.19941430995731257
432281583,3.977,4.0814,3.671,0.0421,0.0441,0.0247,0.1903544897796419
432281588,2.8805,3.2176,2.4461,0.0426,0.0478,0.0113,0.22840111198938143
432281589,2.8548,3.2232,2.4468,0.0354,0.0398,0.0104,0.22840111198938143
432281590,2.8127,3.1337,2.462,0.0242,0.0278,0.0075,0.22840111198938143
432281594,3.7607,4.0802,2.852,0.0355,0.042,0.013,0.224325293611701
432281595,3.9657,4.3151,3.0136,0.0235,0.0273,0.0064,0.2129260181386661
432281596,3.7227,4.0732,2.8553,0.0252,0.0289,0.0064,0.22039234176969208
432281597,3.1884,3.4645,2.5942,0.0143,0.0178,0.005,0.2415680625597688
432281598,3.19,3.4659,2.5948,0.0143,0.0182,0.005,0.2415680625597688
432281599,3.2018,3.4707,2.6211,0.0161,0.0221,0.009,0.2463008640414398
432281600,3.2543,3.5572,2.5292,0.0182,0.0201,0.0052,0.23262772230212783
432281601,3.2536,3.5564,2.5295,0.018,0.0203,0.0052,0.23262772230212783
432281602,3.2758,3.6225,2.7201,0.0396,0.0464,0.0194,0.21659487670178934
432281603,3.8774,4.2486,2.9911,0.0578,0.0675,0.0266,0.22039234176969208
432281604,3.4495,3.7361,2.8838,0.0558,0.0635,0.0291,0.22039234176969208
432281730,2.8135,3.1021,2.2131,0.0732,0.0808,0.0143,0.22039234176969208
432281731,2.5646,2.8229,2.302,0.0981,0.1076,0.0317,0.21659487670178934
432281732,2.4739,2.7932,2.4372,0.0649,0.0763,0.0215,0.19328157927359077
432281734,8.5822,9.9269,6.0648,0.203,0.2421,0.082,0.13088518977836702
432281737,4.3145,4.6519,3.5066,0.1152,0.1253,0.0583,0.1903544897796419
432281738,7.5986,8.2274,5.4384,0.1993,0.2179,0.095,0.14781870195462177
432281740,3.9089,4.203,3.2488,0.1062,0.1155,0.0473,0.18751471302418415
432281747,11.1422,11.8621,7.8719,0.1672,0.1852,0.0759,0.11853991327830876
432281749,5.7365,6.3016,4.4128,0.0963,0.1081,0.0371,0.16752101074657041
432281750,4.3634,4.8358,3.6786,0.0851,0.0977,0.0333,0.17449830252036147
432281752,7.8281,9.2069,7.1069,0.1249,0.1548,0.0778,0.12081909724428652
432281753,3.1595,3.7177,4.0795,0.0595,0.0713,0.0377,0.1336693370934263
432281754,4.927,5.1643,4.9256,0.1226,0.1335,0.0671,0.12821464331793822
432281758,4.2218,4.5967,4.5119,0.0378,0.0433,0.0233,0.12821464331793822
432281762,4.7382,5.2388,3.4485,0.0537,0.0601,0.0234,0.20262892686416292
432281795,5.556,5.9356,5.3716,0.0901,0.1003,0.0562,0.1653175867489029
432281796,5.8566,6.2285,5.7695,0.0728,0.0799,0.051,0.1495779344429456
432281797,5.2775,5.5571,5.9243,0.0877,0.0958,0.0609,0.12691981982432735
432281798,6.1413,6.9379,4.4378,0.2264,0.2624,0.0788,0.13226261511265314
432281799,2.6585,3.0074,2.5118,0.0769,0.0887,0.0251,0.1903544897796419
432281800,3.8276,4.2516,2.7422,0.0758,0.0879,0.0173,0.18751471302418415
432281803,5.5482,6.1324,3.7893,0.1183,0.1318,0.0262,0.16317136358672749
432281804,5.5118,6.1299,3.8171,0.1337,0.1484,0.0361,0.16108014280507627
432281805,2.7424,3.034,2.395,0.0427,0.0523,0.0109,0.22840111198938143
432281807,2.7202,2.9709,2.3487,0.0622,0.0711,0.0159,0.2129260181386661
432281808,5.6487,6.2287,4.1266,0.1307,0.1472,0.0414,0.14781870195462177
432281810,3.0146,3.3682,2.7168,0.0606,0.0704,0.0201,0.18475840065665078
432281811,2.2005,2.5202,2.2645,0.0605,0.0704,0.0225,0.2059488517353309
432281812,3.9479,4.2958,3.4512,0.099,0.1113,0.0425,0.18475840065665078
432281813,7.3072,8.0554,5.5922,0.2143,0.2402,0.0958,0.1495779344429456
432281814,8.0877,9.0062,5.681,0.1532,0.1816,0.037,0.12691981982432735
