detection_id,B,G,R,nB,nG,nR,Compactness
432533698,6.2528,12.313,9.9724,0.113,0.2514,0.1314,0.08055030487456037
432533699,4.7612,10.3931,9.4314,0.0705,0.1665,0.0985,0.08106994029334431
432533700,6.6695,12.7955,10.0169,0.1266,0.2796,0.1358,0.08055030487456037
432533702,6.5029,12.5879,10.0383,0.1377,0.3022,0.1452,0.07903061153879146
432533703,5.1027,10.2452,9.5618,0.0846,0.1818,0.1099,0.07953076456813789
432533704,5.2487,10.3315,9.5468,0.0729,0.1536,0.0942,0.08106994029334431
432533705,5.1253,10.2052,9.2703,0.0719,0.1553,0.0941,0.08490398027194407
432533706,5.2815,10.5154,9.5882,0.1173,0.2404,0.143,0.08003728818317192
432533707,5.1216,10.2229,9.3228,0.1053,0.216,0.1272,0.08212958633865283
432533709,6.1808,12.4399,9.73,0.0963,0.2233,0.1028,0.0815963233535219
432533713,4.5576,9.5465,8.7873,0.0769,0.175,0.0995,0.08212958633865283
432533714,4.5889,9.7729,9.0393,0.0668,0.1592,0.092,0.07953076456813789
432533722,4.7451,9.8091,9.215,0.0908,0.202,0.1168,0.07804894248762141
432533751,6.7119,9.3921,5.4644,0.058,0.0732,0.025,0.06719790044098876
432533752,5.3994,6.9203,5.0471,0.1432,0.1686,0.0382,0.07804894248762141
432533753,1.9615,5.5438,4.3033,0.0121,0.0577,0.0226,0.07903061153879146
432533755,3.6794,8.3176,5.4861,0.0096,0.0257,0.0229,0.06220821570931003
432533756,4.5571,9.1713,5.914,0.1136,0.1446,0.0351,0.0589957324588329
432533766,27.3448,25.5281,8.831,0.5751,0.5398,0.0454,0.06378702284985524
432533811,0.7962,4.5907,6.9074,0.0088,0.1423,0.0344,0.04889563761385481
432533825,28.0437,46.5515,28.4913,0.3842,0.738,0.3471,0.05439884443645084
432533836,12.8038,18.2664,12.1252,0.2494,0.3743,0.1628,0.08849111644335216
432533837,7.3413,14.5958,10.1991,0.0867,0.1375,0.073,0.07099415216660818
432533838,7.0289,12.1177,9.9543,0.0818,0.1353,0.0794,0.07615699026400004
432533839,6.988,10.6683,9.9461,0.1326,0.1847,0.0854,0.06942531913488556
