detection_id,B,G,R,nB,nG,nR,Compactness
427581549,48.3843,48.7798,49.3649,0.6721,0.666,0.618,0.04456103357379679
427581588,55.8619,56.2146,61.3517,0.8203,0.8205,0.8171,0.05214171140333059
427581595,29.654,29.7264,31.3785,1.1872,1.19,1.0859,0.06904388481989716
427581597,27.4478,27.6032,29.2858,1.2312,1.2329,1.1241,0.07099415216660818
427581600,20.5215,20.5468,23.267,0.8155,0.8127,0.7655,0.07348500463068167
427581601,19.3931,19.3767,22.2783,1.0343,1.0261,0.9683,0.07348500463068167
427581603,20.3096,20.2717,22.6271,1.2096,1.1904,1.1295,0.08377203058083679
427581604,20.3665,20.2808,22.6522,0.882,0.8668,0.8394,0.08666044549832956
427581605,15.0213,14.7847,17.5394,0.7911,0.7703,0.7702,0.09972671719555438
427581622,27.8902,29.0875,34.3027,0.1342,0.1354,0.1556,0.06579069379816853
427581655,12.0836,13.494,18.1008,0.0251,0.0714,0.1068,0.08490398027194407
427581656,12.8711,14.502,19.0176,0.0385,0.0866,0.119,0.08548150399146558
427581660,23.0462,25.7805,32.4622,0.149,0.1897,0.2234,0.05635029433027713
427581661,21.177,23.4259,30.3189,0.1324,0.1628,0.1972,0.05584942297118333
427581662,14.2879,15.6748,20.9521,0.8065,0.8846,1.0204,0.09665858053229819
427581663,24.6706,26.6372,35.7389,1.0349,1.1261,1.3129,0.06041383338136221
427581669,36.7823,40.2272,51.0953,0.8893,0.9881,1.1654,0.06444121395927624
427581670,35.6075,38.7431,50.1342,0.7097,0.785,0.9548,0.06129789587454133
427581671,35.4866,38.408,50.6376,0.6493,0.7142,0.8821,0.058176383157876974
427581673,31.9663,35.4194,46.4541,0.2131,0.2373,0.3071,0.07059533429497317
427581674,25.5069,28.3492,36.7235,0.1353,0.1406,0.1852,0.0815963233535219
427581675,22.1633,24.543,31.8563,0.115,0.117,0.1493,0.08787235948346774
427581676,15.4274,16.9763,23.5973,0.0804,0.084,0.1113,0.077091360650504
427581682,69.543,73.1939,81.1772,0.5705,0.6286,0.6869,0.04889563761385481
427581693,13.2429,13.8458,16.5162,0.0104,0.0103,0.0293,0.06159836113714365
427581694,17.9491,18.8882,20.9465,0.0887,0.0947,0.1058,0.05560231145909046
427581701,17.4439,18.3399,21.2183,0.0698,0.0704,0.0865,0.05439884443645084
427581704,16.7021,17.6218,21.4186,0.0407,0.0414,0.0639,0.05214171140333059
427581705,14.1479,15.0925,19.2043,0.0338,0.0349,0.0564,0.05511459098459456
427581707,25.0357,26.0906,26.946,0.0059,0.0063,0.0341,0.04471960971181389
427581719,17.8465,17.9792,19.9988,0.4083,0.4129,0.3864,0.09105580497377844
427581721,19.0232,19.1433,21.7399,0.4094,0.415,0.3874,0.077091360650504
427581723,17.9359,18.1287,19.9781,1.0541,1.0649,0.9627,0.08490398027194407
427581725,43.3,43.7152,44.2806,3.0097,3.0567,2.7267,0.0589957324588329
427581726,76.2059,77.1163,76.3285,3.2364,3.289,2.9448,0.04393781784522013
427581736,57.6393,57.9611,57.9102,1.5086,1.525,1.3596,0.043331793643939145
427581737,55.6927,55.8512,55.8989,1.5156,1.5267,1.3642,0.04471960971181389
427581742,44.6023,44.556,46.2336,0.2296,0.2129,0.1185,0.040536254848845585
427581788,37.4977,36.9252,38.226,0.1607,0.1446,0.0996,0.04947312713553582
427581789,36.9598,36.517,37.8897,0.166,0.1444,0.1174,0.050670018704328156
427581790,31.5282,31.1638,33.7293,0.139,0.1234,0.0791,0.04986575853700407
427581791,30.1256,29.7677,32.3869,0.1324,0.1155,0.0795,0.050875153686925724
427581792,21.343,21.1368,24.3403,0.0784,0.0722,0.0508,0.05844695914181379
427581793,16.3229,16.1997,18.9811,0.0611,0.06,0.0423,0.07180546030797123
427581794,16.6074,16.4401,19.5473,0.0601,0.0568,0.0476,0.06792432131461863
427581839,22.0795,21.9028,24.163,0.1131,0.1114,0.1213,0.07662132709270902
