detection_id,B,G,R,nB,nG,nR,Compactness
604002171,2.5106,2.6084,4.2953,0.0334,0.0342,0.0405,0.18208192715442573
604002180,3.0538,3.0842,4.7577,0.027,0.028,0.0343,0.1903544897796419
604002181,3.3731,3.458,5.0763,0.0342,0.035,0.0405,0.18475840065665078
604002183,3.984,4.0386,4.9168,0.055,0.0564,0.0525,0.22840111198938143
604002185,3.6192,3.722,4.741,0.0447,0.0467,0.0474,0.2415680625597688
604002186,4.8433,5.0783,6.2579,0.0396,0.0431,0.0462,0.2093793437612272
604002187,4.177,4.3546,5.4952,0.0251,0.0275,0.0305,0.224325293611701
604002188,4.4062,4.5802,5.7143,0.0279,0.0305,0.0318,0.22039234176969208
604002198,2.6015,2.6477,4.0942,0.013,0.0134,0.0192,0.21659487670178934
604002204,3.5963,3.8755,6.1726,0.0269,0.0297,0.0453,0.20262892686416292
604002206,17.4976,18.6348,25.2386,0.1496,0.1595,0.2062,0.09972671719555438
604002207,31.2019,32.6648,44.0752,0.1966,0.2112,0.2756,0.05511459098459456
604002208,25.571,28.4309,37.4133,0.1499,0.1565,0.2013,0.06283026644890574
604002210,18.2776,19.1005,24.0585,0.1414,0.1475,0.1713,0.08787235948346774
604002211,18.0405,19.4536,26.4944,0.1346,0.1533,0.1978,0.07348500463068167
604002212,17.317,18.7262,25.2839,0.1431,0.1627,0.2078,0.07953076456813789
604002213,11.0063,11.8786,16.2784,0.2408,0.2649,0.294,0.09665858053229819
