detection_id,B,G,R,nB,nG,nR,Compactness
433016418,2.7751,2.7081,3.3673,0.0386,0.0377,0.0288,0.20262892686416292
433016422,3.9738,3.8086,4.8182,0.0631,0.0612,0.0426,0.13807493637999585
433016423,3.2454,3.0955,3.6311,0.0716,0.0669,0.0457,0.1963000700655754
433016430,5.3402,4.9178,6.2058,0.0175,0.0165,0.024,0.11634512054520679
433016433,2.9013,2.9497,5.7905,0.1009,0.0982,0.0921,0.09040079679516942
433016487,44.9722,45.3854,46.9836,1.3443,1.3431,1.1618,0.038784722731202766
433016516,52.357,49.533,55.4765,0.9341,0.8636,0.8883,0.04870612541107282
433016522,4.5504,4.7408,5.8853,0.0424,0.0447,0.0464,0.1963000700655754
433016526,53.7426,53.0528,53.9348,0.6123,0.5972,0.5636,0.05257802831020273
433016534,3.0302,2.7524,3.3373,0.0279,0.0247,0.0164,0.2059488517353309
433016535,2.7325,2.5305,3.194,0.0208,0.0199,0.0118,0.2059488517353309
433016536,2.692,2.5225,3.2233,0.021,0.0202,0.0116,0.19941430995731257
433016537,3.2766,3.187,3.7358,0.0221,0.0212,0.012,0.20262892686416292
433016538,3.1463,3.045,3.621,0.0177,0.0165,0.0101,0.21659487670178934
433016539,2.8647,2.86,3.533,0.0062,0.0063,0.0061,0.2093793437612272
433016540,3.739,3.7262,4.3074,0.06,0.0609,0.0492,0.2059488517353309
433016542,5.2841,5.2739,5.7198,0.0608,0.0602,0.0503,0.16978395275546265
