detection_id,B,G,R,nB,nG,nR,Compactness
27408005,12.8795,25.0003,15.6761,0.0751,0.2212,0.0449,0.04927680520245829
27408031,16.9842,27.119,20.9192,0.2401,0.4144,0.1319,0.03133738671955819
27408042,46.0974,46.1852,28.992,0.6121,0.6057,0.2417,0.03773547094426089
27408048,17.5013,23.9506,25.0591,0.5913,0.9243,0.3456,0.01969645712396076
27408049,16.493,20.5341,16.3991,0.327,0.4745,0.1516,0.037964517283050205
27408051,1.5382,13.2852,12.8966,0.0056,0.0801,0.0703,0.047962542530693694
27408052,20.7752,17.9453,12.4941,0.2655,0.2365,0.058,0.056594650918487546
27408059,5.1183,24.7321,17.3514,0.0469,0.3017,0.1832,0.05872006370526449
27408063,16.3804,20.6313,11.2136,0.4394,0.5738,0.1625,0.08490398027194407
27408065,1.8038,18.5215,16.1254,0.0514,0.3064,0.2218,0.06648685222060789
27408067,6.2209,20.2712,12.7531,0.1819,0.5632,0.2706,0.077091360650504
27408071,3.1853,22.0137,16.8769,0.061,0.3129,0.1907,0.0502646717369248
27408072,2.5462,19.6287,14.2341,0.0262,0.1547,0.0972,0.077091360650504
27408073,20.1782,30.1711,17.7365,0.2883,0.4998,0.1784,0.056098740702361524
27408077,20.5085,24.416,14.5792,0.1499,0.1568,0.02,0.06579069379816853
27408078,22.8469,27.3693,16.084,0.4121,0.5537,0.1573,0.051712576293637055
27408079,46.1625,52.2424,32.3435,0.4208,0.4745,0.2325,0.05660411406725943
27408081,9.8715,18.6472,13.3893,0.2953,0.5768,0.2285,0.05214171140333059
27408082,16.6105,25.1628,13.5279,1.0493,1.4193,0.5243,0.0675591583065621
27408091,37.4075,31.2303,20.5989,0.935,0.7588,0.3987,0.06866661880204716
27408092,21.932,24.7604,14.5322,0.1449,0.1463,0.0169,0.07348500463068167
27408094,18.6762,24.8775,23.1977,0.1517,0.1851,0.0683,0.02435259857096838
27408097,28.125,35.276,21.5466,0.1929,0.2337,0.033,0.047241322067509035
27408100,33.4028,34.9683,21.4848,0.2832,0.2916,0.1577,0.07662132709270902
