detection_id,B,G,R,nB,nG,nR,Compactness
428318144,15.3704,15.4831,17.6481,0.0005,0.0008,0.0127,0.09972671719555438
428318145,17.1713,17.2027,19.7377,0.0009,0.0015,0.0136,0.09447856694680049
428318163,16.4201,16.2522,18.9006,0.1598,0.1542,0.1597,0.09816868357674101
428318222,8.3649,8.7366,11.1784,0.5385,0.5749,0.5512,0.10559216905199818
428318223,8.523,8.9282,11.2972,0.5759,0.6124,0.5863,0.10648688664370398
428318224,8.024,8.2415,10.996,0.5191,0.5485,0.5467,0.10648688664370398
428318225,8.1645,8.3906,11.0575,0.511,0.5418,0.5405,0.11022268844923072
428318229,18.7233,18.9351,18.6045,0.3074,0.315,0.2439,0.08490398027194407
428318230,20.1096,20.1028,19.9749,0.2721,0.2753,0.2177,0.07756719641593564
428318231,20.7763,20.7192,20.0131,0.2124,0.2142,0.1706,0.08055030487456037
428318232,21.3816,21.398,20.8035,0.2007,0.2031,0.1689,0.07221810771057427
428318233,20.6371,20.5555,20.7767,0.1722,0.1731,0.1627,0.07180546030797123
428318241,9.5317,10.2809,11.4479,0.1148,0.1195,0.1041,0.09105580497377844
428318242,13.1093,13.5798,14.1165,0.3207,0.334,0.2665,0.08606693785815557
428318244,16.4503,16.9487,16.9933,0.6095,0.6368,0.4754,0.07305779571290515
428318245,18.2927,18.5102,18.5711,0.8727,0.895,0.678,0.07139750161301212
428318246,18.7889,19.1552,18.7512,1.317,1.3529,1.0205,0.07139750161301212
428318247,18.6634,19.1386,18.3638,1.2883,1.3266,0.9794,0.07180546030797123
428318250,19.795,20.2915,19.7599,0.5883,0.6205,0.4354,0.07099415216660818
428318251,19.0365,19.1509,20.6128,0.2105,0.214,0.1745,0.06904388481989716
428318252,18.8727,18.7816,21.3749,0.1784,0.1786,0.1665,0.06411244968272661
428318265,12.9406,13.3121,15.2002,0.0,0.0,0.0119,0.1038470904936626
428318268,21.1726,21.445,27.4925,0.2226,0.2239,0.2568,0.06942531913488556
428318269,14.683,14.9669,18.0886,0.0489,0.0509,0.063,0.09592081711552267
428318270,11.9344,11.5212,14.9174,0.0941,0.0935,0.1058,0.09592081711552267
428318271,12.8908,13.2371,15.2525,0.0621,0.0679,0.0626,0.10052442674077641
428318272,12.4134,12.0869,15.9743,0.0784,0.077,0.0967,0.09172037375316221
428318285,15.0827,15.1949,16.9612,0.1691,0.1811,0.1588,0.10133499999681532
428318286,20.1284,20.441,24.7589,0.382,0.3784,0.3924,0.08266986501266944
428318287,25.8486,26.0131,29.4536,0.5089,0.5066,0.4959,0.08433420746488306
428318288,33.4321,33.4061,36.4675,0.9284,0.9211,0.8604,0.06378702284985524
428318289,33.3281,33.1002,34.9059,0.9548,0.9405,0.874,0.0675591583065621
428318290,32.6474,32.3032,33.5786,0.9371,0.9221,0.8452,0.06648685222060789
428318291,27.2365,26.8026,28.1922,0.8625,0.84,0.7565,0.0675591583065621
428318298,27.3691,28.6834,35.4177,0.0,0.0006,0.0482,0.07391723900466864
428318302,16.6819,18.6207,25.9441,0.8018,0.9135,1.0486,0.06544805286939072
428318303,17.6424,19.6834,27.7132,1.0047,1.1399,1.3201,0.06012478543760053
428318317,25.12,25.197,27.3254,0.1668,0.1688,0.152,0.06648685222060789
428318324,19.7517,19.57,23.645,0.0043,0.0043,0.0226,0.0675591583065621
428318326,17.9055,18.0827,21.7322,0.0005,0.0015,0.0178,0.07099415216660818
428318328,20.3587,20.0791,23.5504,0.1012,0.0957,0.0914,0.0661369411690469
428318331,30.2609,30.3718,32.5574,0.1225,0.1204,0.0912,0.06510896233025722
428318332,28.2107,28.493,30.11,0.0411,0.0483,0.0281,0.07059533429497317
428318334,34.9711,35.8122,38.6091,0.2099,0.2177,0.2156,0.0607056738604871
428318347,63.5374,63.9775,60.5525,0.7756,0.7731,0.6668,0.05257802831020273
428318359,24.7115,25.7258,29.6505,0.0855,0.0957,0.1183,0.07180546030797123
428318360,18.1885,18.8914,22.5977,0.0226,0.0244,0.0426,0.08106994029334431
428318377,17.5969,17.089,20.7591,0.3843,0.3705,0.3788,0.0815963233535219
428318384,41.7502,41.2733,42.4469,0.5368,0.5229,0.5027,0.05347294092237722
428318388,12.3569,12.5441,15.7397,0.1397,0.1397,0.1407,0.0752449975094086
428318389,19.6504,19.18,21.3368,0.1905,0.1851,0.1888,0.07903061153879146
428318392,23.4341,22.937,23.1776,0.3577,0.346,0.3092,0.08849111644335216
428318393,15.3175,15.606,18.2021,0.1464,0.1575,0.1454,0.0937735836449438
428318394,23.1762,22.7529,23.8117,0.3237,0.3165,0.305,0.09592081711552267
428318396,14.6239,14.8195,17.348,0.1175,0.1208,0.1205,0.09816868357674101
428318401,28.3502,28.672,33.002,0.1901,0.1902,0.193,0.06159836113714365
428318407,38.3825,38.5696,39.8777,0.6327,0.6273,0.5674,0.051712576293637055
428318414,12.1386,12.3278,13.8549,0.0574,0.0595,0.0611,0.12440706908215582
428318415,13.4168,13.8608,16.8253,0.1947,0.1997,0.214,0.11853991327830876
428318417,18.476,18.5501,21.298,0.7862,0.7904,0.8099,0.09816868357674101
428318419,15.189,15.1901,18.0306,0.4752,0.4769,0.4748,0.09816868357674101
428318420,32.4173,32.462,34.5348,1.6196,1.627,1.4778,0.059274001684944774
428318421,33.7598,33.5977,38.5577,0.7275,0.7238,0.7159,0.05347294092237722
428318425,25.6096,25.384,28.2824,0.394,0.3883,0.3805,0.07903061153879146
428318426,43.2068,43.7092,42.7346,1.5486,1.5761,1.3993,0.06684048540909966
428318430,13.2661,13.2716,15.7281,0.1361,0.1353,0.133,0.10052442674077641
428318433,16.2303,16.35,17.5151,0.0941,0.0942,0.0943,0.10471236017896915
428318434,14.8381,14.7363,17.035,0.0986,0.0967,0.1004,0.10559216905199818
428318435,15.4262,15.4798,16.8605,0.07,0.0694,0.0733,0.10052442674077641
428318436,15.5127,15.3339,17.6025,0.157,0.1532,0.1576,0.10052442674077641
428318447,43.3449,45.024,46.8254,1.9089,2.0082,1.7889,0.04759920052280796
428318449,12.8733,13.8955,18.2519,0.0679,0.0975,0.1129,0.08606693785815557
