detection_id,B,G,R,nB,nG,nR,Compactness
432363236,3.1188,3.7086,5.4134,0.0711,0.0817,0.0871,0.15511613727099602
432363237,1.8557,3.1792,3.9066,0.0563,0.0612,0.0641,0.15705446369492315
432363245,1.4598,1.9548,2.9245,0.0269,0.0298,0.0292,0.1903544897796419
432363251,2.0453,2.7326,3.4286,0.0407,0.0502,0.0398,0.18475840065665078
432363256,2.6712,2.841,4.9755,0.075,0.0789,0.0851,0.13807493637999585
432363323,1.1164,1.1076,2.6227,0.0166,0.0163,0.0217,0.19941430995731257
432363364,2.3139,2.4655,4.1849,0.0575,0.0638,0.0807,0.22840111198938143
432363366,1.6582,1.7109,3.0496,0.0388,0.0398,0.0449,0.23262772230212783
432363371,1.8693,1.8402,3.2282,0.0364,0.0353,0.0417,0.23262772230212783
432363374,1.3993,1.3944,2.8315,0.0378,0.0364,0.0449,0.22840111198938143
432363376,1.7709,1.7806,3.1553,0.023,0.0228,0.0281,0.224325293611701
432363378,1.5548,1.5358,2.9448,0.0112,0.0108,0.0172,0.23262772230212783
432363428,4.5812,4.5423,7.368,0.108,0.1048,0.1144,0.11219063124580061
432363429,6.5801,6.3506,9.7304,0.0373,0.0342,0.0467,0.09816868357674101
432363430,3.5083,3.5845,5.8585,0.1286,0.1289,0.1407,0.1411769425941694
432363431,3.8075,3.9314,6.189,0.1272,0.1302,0.1393,0.13807493637999585
432363432,2.1121,2.1865,3.6499,0.0568,0.0564,0.062,0.2059488517353309
432363433,2.1452,2.2087,3.6696,0.0636,0.0646,0.0698,0.2059488517353309
432363434,2.1697,2.2322,3.6969,0.0518,0.0527,0.058,0.2059488517353309
432363435,2.7147,2.8456,4.3576,0.0205,0.0215,0.0282,0.2059488517353309
432363436,2.0809,2.1195,3.5827,0.071,0.0707,0.0757,0.2059488517353309
432363437,2.1151,2.1667,3.6279,0.0672,0.0682,0.0732,0.2059488517353309
432363440,3.301,3.2667,4.8101,0.1382,0.1375,0.1449,0.2059488517353309
432363441,3.7415,3.8901,5.3445,0.0729,0.0773,0.0801,0.2059488517353309
432363442,3.7013,3.6585,5.329,0.1113,0.1106,0.1182,0.1903544897796419
432363444,3.352,3.3177,4.8866,0.0961,0.0967,0.1037,0.20262892686416292
432363445,4.123,4.253,5.8915,0.0442,0.0457,0.0519,0.1903544897796419
432363447,3.2218,3.1807,4.7219,0.0852,0.0845,0.091,0.2059488517353309
432363448,3.5379,3.7044,5.0968,0.0427,0.0447,0.0493,0.2059488517353309
432363449,3.2128,3.3246,4.7648,0.0423,0.0442,0.0503,0.2129260181386661
432363450,2.8787,2.8529,4.335,0.1127,0.112,0.1197,0.2129260181386661
432363451,3.5066,3.6421,5.0434,0.0311,0.0325,0.0373,0.2093793437612272
432363452,3.241,3.3407,4.9649,0.0555,0.0579,0.0646,0.19328157927359077
432363453,3.3269,3.2702,4.8487,0.0656,0.0648,0.072,0.20262892686416292
432363454,3.5394,3.6872,5.128,0.0509,0.0534,0.058,0.2059488517353309
432363455,3.0373,3.1466,4.7026,0.0496,0.0522,0.059,0.20262892686416292
432363456,3.5427,3.6714,5.1322,0.0673,0.0712,0.0746,0.20262892686416292
432363458,3.1099,3.0547,4.6106,0.0705,0.0697,0.0761,0.2059488517353309
432363459,3.6293,3.7537,5.256,0.0271,0.0282,0.0338,0.20262892686416292
432363460,3.1887,3.3178,4.9211,0.0547,0.0584,0.0653,0.1963000700655754
432363461,3.2618,3.2156,4.7707,0.1229,0.1223,0.1292,0.2059488517353309
432363462,3.3287,3.4406,4.8731,0.0283,0.0294,0.0348,0.2129260181386661
432363464,3.1349,3.0831,4.6319,0.0873,0.0863,0.0927,0.2059488517353309
432363465,3.6043,3.7295,5.1725,0.0398,0.0413,0.0463,0.2059488517353309
432363466,2.948,3.0807,4.5202,0.0333,0.0347,0.0419,0.2093793437612272
432363467,3.1192,3.043,4.57,0.0738,0.0729,0.0792,0.2093793437612272
432363468,3.442,3.5872,5.0091,0.0385,0.041,0.0451,0.2093793437612272
432363469,2.8329,2.9739,4.4227,0.0472,0.0503,0.0556,0.2093793437612272
432363470,3.1454,3.0948,4.6214,0.1068,0.1059,0.112,0.2093793437612272
432363471,3.3753,3.507,4.9535,0.0524,0.0565,0.0586,0.2059488517353309
432363472,2.2489,2.1791,3.7515,0.0187,0.0177,0.0242,0.2059488517353309
432363474,3.1216,3.0614,4.6116,0.1257,0.1239,0.1303,0.2059488517353309
432363475,3.59,3.7282,5.2049,0.0287,0.0298,0.0351,0.20262892686416292
432363476,2.3506,2.2617,3.8192,0.0401,0.0389,0.0456,0.2093793437612272
432363477,2.7995,2.8833,4.3758,0.0515,0.0531,0.0608,0.2093793437612272
432363478,2.9654,2.8745,4.3612,0.1656,0.1612,0.1681,0.2129260181386661
432363479,3.2095,3.363,4.7675,0.0415,0.0441,0.0485,0.2093793437612272
432363480,2.2103,2.1279,3.6716,0.0376,0.0365,0.043,0.2093793437612272
432363481,2.8877,2.9681,4.4711,0.0424,0.0447,0.0504,0.2093793437612272
432363482,3.0289,2.9699,4.459,0.1151,0.113,0.119,0.2093793437612272
432363483,2.8504,3.0001,4.534,0.0373,0.0398,0.0439,0.1903544897796419
432363484,2.5436,2.4936,4.1813,0.0402,0.0397,0.0471,0.1903544897796419
432363485,2.5388,2.6175,4.2992,0.0746,0.0768,0.0846,0.1903544897796419
432363486,3.9713,3.9171,5.6399,0.1378,0.1378,0.1466,0.1903544897796419
432363487,2.8575,3.0383,4.5509,0.062,0.0681,0.0697,0.1903544897796419
432363488,2.8514,2.8224,4.4905,0.0564,0.0551,0.0625,0.1903544897796419
432363489,2.4632,2.5453,4.226,0.0304,0.0314,0.0378,0.1903544897796419
432363490,3.6993,3.6374,5.3208,0.1546,0.1525,0.1602,0.1903544897796419
432363491,2.7938,2.9578,4.4611,0.0635,0.0673,0.0702,0.1903544897796419
432363492,2.5838,2.5399,4.2005,0.0903,0.0894,0.0972,0.19328157927359077
432363494,3.6795,3.6217,5.2746,0.0731,0.0724,0.0801,0.1963000700655754
432363495,2.6412,2.7804,4.2963,0.052,0.0557,0.0598,0.1963000700655754
432363496,2.5131,2.4689,4.1058,0.0493,0.0481,0.0559,0.1963000700655754
432363497,2.3633,2.4535,4.1011,0.0184,0.0197,0.026,0.19328157927359077
432363498,3.6591,3.6123,5.2371,0.0842,0.0827,0.0899,0.1963000700655754
432363499,2.6561,2.8248,4.3095,0.0469,0.0497,0.0548,0.1963000700655754
432363500,2.6297,2.5897,4.2164,0.0712,0.0701,0.0775,0.1963000700655754
432363501,3.4114,3.3696,4.9789,0.086,0.0847,0.0915,0.1963000700655754
432363503,2.4293,2.3855,4.0162,0.037,0.0367,0.0435,0.1963000700655754
432363505,2.0926,2.1931,3.8042,0.0174,0.0185,0.025,0.1963000700655754
432363506,3.2892,3.252,4.9723,0.1028,0.1019,0.1138,0.1963000700655754
432363507,2.4726,2.4526,4.0729,0.0518,0.0512,0.0588,0.1963000700655754
432363509,3.0687,3.0302,4.6839,0.1409,0.1395,0.15,0.20262892686416292
432363510,2.2842,2.2879,3.8499,0.0467,0.0466,0.0538,0.20262892686416292
432363512,3.4792,3.4454,5.1685,0.0902,0.0891,0.0987,0.1963000700655754
432363513,2.3632,2.3659,3.9389,0.0455,0.0457,0.0528,0.20262892686416292
432363514,2.1326,2.2461,3.8298,0.0163,0.017,0.0234,0.1963000700655754
432363515,3.2198,3.2084,4.8005,0.1518,0.1511,0.1598,0.20262892686416292
432363516,2.2605,2.2615,3.8079,0.0489,0.0482,0.0543,0.20262892686416292
432363517,1.9804,2.0713,3.6365,0.0254,0.0271,0.0341,0.20262892686416292
432363518,3.2121,3.2087,4.7796,0.1287,0.1285,0.1361,0.20262892686416292
