detection_id,B,G,R,nB,nG,nR,Compactness
34426812,25.2644,26.1273,27.2135,0.6884,0.7107,0.6322,0.07221810771057427
34426814,32.5548,32.5716,34.9553,0.1626,0.1612,0.1749,0.06444121395927624
34426817,48.2534,48.3216,47.8452,0.2095,0.2097,0.2257,0.06314598028335774
34426826,37.4253,37.0504,36.7755,0.2141,0.2118,0.2142,0.06411244968272661
34426828,38.9911,38.5386,37.7618,0.1942,0.1904,0.1957,0.06510896233025722
34426829,38.4838,38.1651,37.3028,0.2124,0.21,0.2094,0.0661369411690469
34426852,35.1548,34.4119,36.8761,0.5895,0.5686,0.4996,0.0401477364918814
34426858,33.0876,33.5921,36.5663,0.2357,0.2391,0.2469,0.0717859868113406
34426860,38.465,39.0555,41.3279,0.2134,0.2159,0.224,0.0679182143748398
34426861,51.3214,51.9102,53.7899,0.3506,0.354,0.3525,0.057118675464029094
34426862,52.2532,52.5593,54.961,0.3337,0.3347,0.3382,0.051500646728563054
34426863,53.7268,54.0653,56.5049,0.3464,0.3457,0.3496,0.04778018079289879
34426864,53.6467,54.0449,55.449,0.3077,0.3085,0.3132,0.0541643755046309
34426865,55.4249,55.9772,57.0335,0.3364,0.3377,0.3394,0.05192625725187585
34426866,54.7286,55.0586,55.5681,0.3372,0.3358,0.3353,0.05279608452599909
34426867,57.3635,57.6861,56.8323,0.3623,0.3605,0.3552,0.050670018704328156
34426868,56.0712,56.1101,54.5481,0.3663,0.3656,0.355,0.05129044711249124
34426869,55.9575,56.0211,54.6571,0.3359,0.3337,0.3305,0.048146301614186766
34426870,54.7223,54.6941,53.3276,0.3091,0.3058,0.3079,0.050262213370388206
34426871,48.97,48.8659,47.9566,0.2485,0.2477,0.2568,0.05235896091135454
34426872,47.8504,47.6112,46.9554,0.3002,0.2964,0.2934,0.05347294092237722
34426876,35.4907,35.3064,35.4644,0.4203,0.4177,0.3708,0.05487392523583279
34426878,24.0968,24.1757,32.4116,0.6031,0.6124,0.7272,0.06346488289866778
34426879,23.7355,23.7641,30.9325,0.7363,0.7447,0.8616,0.07020097205976435
34426886,24.1104,24.9575,27.8935,0.4718,0.4895,0.4667,0.06411244968272661
34426888,31.6116,32.6557,35.9884,0.6583,0.68,0.6501,0.05686023067241032
34426889,35.3701,36.5143,39.1373,0.8883,0.918,0.8668,0.06041383338136221
34426893,39.5224,40.6417,43.795,0.8287,0.8539,0.8102,0.05257521220556545
34426899,30.3933,31.5894,34.9514,0.7255,0.7535,0.7051,0.05086830351485757
34426901,25.5177,26.5994,28.8067,0.5276,0.5484,0.5113,0.0661369411690469
34426936,48.072,48.3868,48.5132,0.3126,0.3169,0.3463,0.05324636892277132
34426937,54.5895,54.1802,53.5616,0.2649,0.2626,0.2837,0.05257802831020273
34426938,55.3575,54.9111,55.1474,0.3029,0.3004,0.3238,0.051500646728563054
34426979,53.6465,55.7059,62.0875,0.62,0.6537,0.6529,0.036518635936830336
34426981,53.3597,55.2221,56.9214,1.1674,1.2137,1.1212,0.051500646728563054
34426988,36.5442,37.9401,39.2815,0.6028,0.6314,0.5858,0.06684048540909966
34426989,27.2448,28.2668,31.3502,0.4306,0.4519,0.4362,0.06411244968272661
34426990,23.071,24.2446,29.4208,0.3735,0.3984,0.3966,0.04889563761385481
34426991,20.8255,21.8941,26.4392,0.427,0.4557,0.4467,0.05764267775279962
34426992,17.2439,18.2071,24.3065,0.2838,0.3042,0.3238,0.05129044711249124
34426994,31.2428,35.0966,49.5863,0.3643,0.4348,0.5568,0.030426326988787077
34426995,26.0313,29.2515,42.5132,0.3124,0.3796,0.4887,0.03197466113503783
34427028,27.5514,28.3734,32.757,0.609,0.6314,0.6077,0.050670018704328156
34427031,39.9134,40.7012,45.0606,0.9441,0.9635,0.8926,0.040536254848845585
34427045,30.225,30.8532,38.9923,0.6017,0.6307,0.6543,0.03222125017923064
34427046,29.7775,30.7183,39.4219,0.7627,0.8014,0.8573,0.03333231227637428
34427050,21.1803,23.3776,32.9638,0.2782,0.3234,0.4014,0.04363270157106099
34427051,17.3819,19.2809,28.4107,0.1671,0.2027,0.2654,0.043784728166320654
34427052,30.457,33.8187,47.0117,0.2486,0.3102,0.4067,0.033155717555071025
34427053,28.7734,31.7683,44.8924,0.2453,0.3016,0.405,0.034713464607924294
34427054,28.6734,32.097,44.568,0.2281,0.2909,0.3905,0.03685024405495115
34427055,27.82,31.4031,44.1119,0.3226,0.4042,0.5352,0.03819530033179143
34427056,31.9833,36.0105,49.1719,0.2804,0.3561,0.4676,0.03539794461097376
34427080,39.8194,40.2281,41.1754,0.7547,0.7657,0.689,0.0607056738604871
34427085,21.3308,21.3043,26.6893,0.3751,0.3729,0.421,0.06251769380643689
34427086,21.1899,21.448,26.7266,0.3586,0.3608,0.4066,0.06220353454107791
34427087,26.2674,26.2073,34.6097,0.6702,0.6775,0.7878,0.06159836113714365
34427088,25.9435,26.088,33.5813,0.6393,0.6437,0.7525,0.07615699026400004
34427089,24.8813,24.8068,32.3378,0.5131,0.511,0.6056,0.07305018211807408
34427090,24.9042,25.4384,27.0308,0.5898,0.6069,0.5481,0.06544805286939072
34427091,24.8518,25.3978,27.6013,0.5968,0.6166,0.5555,0.054626851241368055
34427092,22.5147,22.9608,25.2288,0.769,0.8044,0.6917,0.057118675464029094
34427093,23.4944,23.9319,27.6764,1.0692,1.1055,0.9513,0.042886611017227017
34427094,32.1345,33.1769,36.4295,1.3194,1.3594,1.1526,0.03902254413908569
34427096,36.0562,37.2889,39.3762,1.3255,1.3639,1.1534,0.04409198179755562
34427097,41.8633,43.6331,44.8346,1.4815,1.5672,1.3444,0.04471960971181389
34427099,42.1366,44.1566,46.5213,1.5805,1.6515,1.415,0.038784722731202766
34427101,38.9104,40.5349,42.4436,1.0087,1.0561,0.8968,0.03890479695236772
34427102,36.4491,38.2808,40.2987,0.7977,0.846,0.7182,0.03926952226654826
34427103,32.8966,34.3741,36.1961,0.7461,0.7913,0.65,0.040536254848845585
34427104,30.4713,31.7003,34.3042,0.5846,0.6106,0.5135,0.038428906335077825
34427105,30.5132,31.4303,33.4589,0.5264,0.5396,0.4612,0.04133493250633472
