detection_id,B,G,R,nB,nG,nR,Compactness
432736819,5.3573,5.375,7.2482,0.1276,0.1351,0.1378,0.1396087127968195
432736830,19.5982,19.8357,22.7858,0.1747,0.1814,0.1894,0.08548150399146558
432736831,14.6777,14.9021,19.0678,0.2123,0.2132,0.2301,0.07662132709270902
432736832,8.9373,9.0626,11.9843,0.4633,0.4679,0.4821,0.11119795425652645
432736833,3.9363,4.0081,5.758,0.2862,0.2931,0.3089,0.19941430995731257
432736835,23.6851,24.1349,29.0588,0.7368,0.7533,0.7903,0.077091360650504
432736836,25.6113,26.1507,31.2733,1.077,1.0999,1.1375,0.07435458803139107
432736838,25.8825,26.7081,31.8199,0.6821,0.6916,0.7346,0.06866661880204716
432736840,25.6567,26.5938,31.5166,0.8861,0.9048,0.9521,0.07059533429497317
432736841,25.271,25.2307,27.0675,0.6073,0.6035,0.5769,0.08433420746488306
432736842,30.3636,31.4752,35.9493,1.5988,1.6557,1.711,0.08433420746488306
432736843,29.0027,28.7232,30.3197,0.5519,0.5458,0.5207,0.08212958633865283
432736844,17.0928,17.104,19.4789,0.1499,0.1503,0.1559,0.10648688664370398
432736848,10.4778,10.9316,12.7538,0.6688,0.6986,0.6711,0.13226261511265314
432736849,9.1574,9.5399,11.2212,0.3906,0.4009,0.3826,0.1396087127968195
432736850,8.8247,9.141,10.905,0.3751,0.3853,0.3648,0.13657449043501094
432736851,8.4571,8.8131,10.3902,0.0262,0.0263,0.0342,0.1427807996875266
432736852,8.6545,9.0508,10.8124,0.0509,0.0528,0.061,0.1411769425941694
432736855,2.4551,2.6909,4.4601,0.2193,0.2419,0.2221,0.15322506464696445
432736864,12.0941,12.0604,14.429,0.5901,0.5881,0.5515,0.09307904275505513
432736870,5.162,5.3121,7.453,0.1364,0.142,0.1515,0.14781870195462177
432736873,15.8047,15.9849,20.4096,1.8836,1.8945,1.919,0.07391723900466864
432736874,7.057,7.1255,10.2373,1.2562,1.2596,1.293,0.10832258979485408
432736875,6.269,6.2369,8.9288,0.4147,0.4139,0.4224,0.11853991327830876
432736876,5.0384,4.9523,6.7669,0.623,0.6112,0.5812,0.15137953892966877
432736877,7.1679,7.2067,8.9676,0.1566,0.1572,0.1592,0.16317136358672749
432736878,3.9604,3.9722,5.1118,0.0114,0.0116,0.0169,0.2059488517353309
432736879,6.4932,6.5129,8.1269,0.1836,0.1816,0.177,0.1427807996875266
432736880,5.961,5.9507,7.4905,0.1266,0.1274,0.1257,0.1495779344429456
432736881,9.9354,9.0353,14.8602,0.1658,0.1497,0.2084,0.10299600257653854
432736882,11.3368,10.3899,16.5066,0.2347,0.2148,0.294,0.11219063124580061
432736884,17.3162,15.9107,25.167,0.2862,0.26,0.396,0.1021587506273488
432736888,22.9364,21.2553,33.3123,0.2589,0.2338,0.3767,0.08266986501266944
432736889,25.7131,23.8197,37.2365,0.2179,0.1937,0.3244,0.07348500463068167
432736890,26.7072,24.5882,37.3434,0.3236,0.2931,0.4662,0.08666044549832956
432736891,26.1223,24.1022,37.1326,0.3414,0.3099,0.4914,0.07953076456813789
432736892,30.6515,28.3218,42.8998,0.5728,0.522,0.8246,0.07756719641593564
432736899,4.2275,4.7617,7.1501,0.0823,0.1082,0.1191,0.1336693370934263
432736909,5.875,5.8871,7.4969,0.0019,0.0011,0.0085,0.14442151192814084
432736911,6.0512,6.1024,8.5104,0.1059,0.1087,0.1254,0.1132011898318306
