detection_id,B,G,R,nB,nG,nR,Compactness
36529519,15.2137,16.439,14.8516,1.279,1.3739,0.9016,0.08003728818317192
36529524,1.9733,2.1034,2.5599,0.1063,0.1132,0.0801,0.27304706520089067
36529527,1.1337,1.6702,4.1134,0.0159,0.0298,0.0634,0.23262772230212783
36529540,19.2216,21.6022,20.5477,0.1494,0.1812,0.1636,0.051712576293637055
36529549,3.5748,3.6642,3.6181,0.0,0.0,0.006,0.20262892686416292
36529553,1.947,2.3357,4.684,0.0047,0.0072,0.0215,0.20262892686416292
36529554,1.7532,1.8555,2.2833,0.0402,0.0417,0.0232,0.23701364694242527
36529556,0.0329,0.1748,2.9884,0.0,0.0,0.0128,0.18475840065665078
36529557,0.4692,0.8473,2.796,0.0096,0.0147,0.0287,0.23701364694242527
36529558,2.4982,2.6662,2.9352,0.0,0.0,0.0049,0.2463008640414398
36529561,5.7288,6.4832,7.4256,0.0659,0.0758,0.057,0.10052442674077641
36529563,28.5062,30.6828,28.2322,2.2858,2.4604,1.6242,0.03762352482182404
36529565,2.6762,4.6648,9.1869,0.0676,0.1334,0.1992,0.11966865507387159
36529566,4.4666,5.0058,5.7241,0.0,0.0006,0.0086,0.1427807996875266
36529567,1.036,1.1316,2.0596,0.0163,0.0181,0.0163,0.25634523388666713
36529575,1.6911,1.8691,2.4681,0.0142,0.0155,0.0117,0.224325293611701
36529576,9.0923,10.0116,10.4012,0.0511,0.0705,0.0458,0.07662132709270902
36529577,22.5352,26.8734,34.6173,0.2255,0.3268,0.4488,0.03263970232001114
36529580,3.7128,4.1879,5.0583,0.0337,0.0409,0.0311,0.14781870195462177
36529581,1.0165,1.207,2.294,0.0045,0.0054,0.0088,0.19328157927359077
36529582,3.4141,3.6952,3.5884,0.3809,0.4199,0.2576,0.23701364694242527
36529583,6.6473,7.1211,6.5928,0.2485,0.2646,0.1649,0.14781870195462177
36529584,5.1335,5.474,5.3558,0.6263,0.6706,0.4264,0.16752101074657041
36529586,1.1744,1.4332,3.4423,0.0158,0.0181,0.0244,0.16108014280507627
36529592,0.3478,0.7937,2.4549,0.0043,0.0076,0.0169,0.224325293611701
36529593,2.4389,3.5701,7.494,0.0048,0.0165,0.0505,0.13088518977836702
36529598,3.1067,3.5803,3.9448,0.0091,0.021,0.012,0.15904183716398032
36529599,4.7468,5.522,6.6724,0.0552,0.0747,0.0524,0.09172037375316221
36529601,0.5383,1.0547,2.9367,0.0104,0.0176,0.0312,0.2463008640414398
36529605,27.5041,32.7022,32.8064,0.1396,0.2534,0.2021,0.043784728166320654
36529606,2.8721,4.2823,8.085,0.1574,0.1969,0.1899,0.10471236017896915
36529613,3.9594,4.2966,4.1431,0.0,0.0005,0.0061,0.19941430995731257
36529614,3.7293,4.1784,3.9503,0.0,0.0,0.0065,0.18751471302418415
36529615,2.9359,3.2404,3.2102,0.4479,0.497,0.2747,0.21659487670178934
36529616,2.4162,2.6866,3.2381,0.0,0.0,0.0073,0.16752101074657041
36529617,5.009,5.4636,5.2637,0.1861,0.2023,0.1226,0.13807493637999585
36529619,7.5322,8.1979,7.3748,0.8539,0.93,0.5158,0.11527791973048969
36529623,0.3798,0.6723,2.217,0.0085,0.0134,0.0245,0.25634523388666713
36529626,0.4362,0.8562,2.7743,0.003,0.0043,0.0112,0.22840111198938143
36529628,5.34,5.8529,6.0066,0.0816,0.0842,0.0619,0.15904183716398032
36529629,2.8633,3.8986,8.2967,0.0451,0.0617,0.1068,0.11423011752805243
36529632,2.7989,3.0521,3.4231,0.1323,0.1435,0.1015,0.2093793437612272
36529634,1.1651,1.6639,4.0983,0.0275,0.0435,0.0797,0.2129260181386661
36529637,1.7016,1.9523,2.4259,0.0197,0.0236,0.0134,0.2129260181386661
36529642,1.3118,1.5763,1.9494,0.0099,0.0134,0.0077,0.2463008640414398
36529644,2.6842,2.9791,3.1089,0.0128,0.0156,0.0119,0.21659487670178934
36529645,1.2379,1.4586,2.1072,0.0154,0.0207,0.0135,0.22840111198938143
36529646,5.7892,6.2747,7.175,0.0669,0.0864,0.0623,0.1132011898318306
36529647,1.848,2.1531,3.0,0.0259,0.0303,0.0197,0.1721088567938853
36529648,3.0362,3.5308,4.1061,0.054,0.0632,0.0391,0.1495779344429456
36529650,0.9346,1.0556,1.8009,0.0046,0.0051,0.008,0.25122273614712215
36529657,3.2061,3.4189,4.32,0.1357,0.1468,0.1213,0.17695501477362918
36529659,6.5338,7.4625,6.5879,0.0325,0.0518,0.0303,0.1396087127968195
36529662,2.5426,2.7916,3.9875,0.0498,0.0562,0.0451,0.14610036423614817
36529663,2.0423,2.2645,2.9106,0.0307,0.0338,0.0252,0.1963000700655754
36529665,8.4798,9.1764,9.7377,0.2454,0.2665,0.1878,0.09816868357674101
36529666,5.5565,5.9955,6.8888,0.6398,0.701,0.4671,0.13088518977836702
36529669,2.0097,2.4931,3.7726,0.0465,0.0532,0.0399,0.14442151192814084
36529670,3.4781,4.2268,5.1954,0.0428,0.0494,0.0375,0.13226261511265314
36529671,3.5654,4.1037,4.988,0.0494,0.0573,0.0443,0.1396087127968195
36529674,5.6114,6.0921,6.0877,0.17,0.1825,0.1342,0.1721088567938853
36529675,2.182,2.3224,2.7273,0.0595,0.0623,0.0486,0.28544487063444307
36529677,6.1085,6.485,7.2477,0.1412,0.1515,0.118,0.12318763468639518
36529678,5.2559,5.5026,5.804,0.1872,0.2013,0.1412,0.1495779344429456
36529679,3.9879,4.2175,4.3199,0.4169,0.4402,0.2773,0.18751471302418415
36529684,18.8858,20.3436,18.9344,1.236,1.3405,0.8234,0.049668666921834095
36529685,23.7433,25.7885,23.5325,1.6764,1.8261,1.1067,0.03926952226654826
36529687,5.416,6.0721,9.2878,0.0284,0.0322,0.0367,0.06648685222060789
36529689,1.5568,1.7073,2.4977,0.0075,0.0095,0.0081,0.22039234176969208
36529693,5.7212,6.198,5.9475,0.0,0.0,0.0087,0.1411769425941694
36529701,4.5263,4.8122,5.1057,0.0,0.0,0.0081,0.15137953892966877
36529702,12.7802,14.3418,13.2232,0.0281,0.0661,0.0304,0.07221810771057427
36529703,6.8075,7.3047,6.6029,0.0,0.0,0.0084,0.14610036423614817
36529711,10.1563,11.0632,12.275,0.4337,0.4791,0.3761,0.07099415216660818
36529715,1.4593,1.548,2.4116,0.0368,0.0421,0.0379,0.2463008640414398
36529723,2.9045,3.1224,3.7161,0.109,0.1134,0.0854,0.1794818739290955
36529724,1.9882,2.4959,4.1692,0.0375,0.0494,0.0537,0.18751471302418415
36529728,7.2755,8.5439,8.0755,0.1167,0.1505,0.1086,0.12199187159268324
36529731,53.5434,61.954,41.0221,0.0994,0.2225,0.089,0.03405495344599049
36529732,24.6938,28.105,21.795,0.6478,0.7238,0.462,0.04889563761385481
36529734,29.4741,35.9683,36.4872,0.1412,0.2569,0.2581,0.0401477364918814
36529736,47.8973,51.5505,40.9297,4.5003,4.8903,2.9317,0.03890479695236772
36529738,40.5273,44.729,35.2478,0.2537,0.2905,0.2388,0.03902561695436705
36529739,38.213,42.0973,33.7702,0.3237,0.3527,0.2945,0.0427422593087034
36529744,1.3363,1.5539,2.5784,0.0056,0.006,0.0087,0.2059488517353309
36529746,42.0528,45.7553,38.7431,0.7825,0.8672,0.5809,0.04889563761385481
36529747,5.9284,6.171,9.3485,0.0475,0.0522,0.0644,0.10832258979485408
36529749,1.4754,1.6663,2.4154,0.0289,0.0326,0.0237,0.22840111198938143
36529758,3.5943,5.2188,11.6551,0.0488,0.0829,0.1764,0.10926437976474195
36529761,15.294,18.0951,21.4005,0.028,0.0853,0.0743,0.05235896091135454
36529762,18.6603,22.2971,24.8344,0.1267,0.222,0.2068,0.051500646728563054
36529764,20.7254,26.5412,33.8631,0.1822,0.3025,0.3904,0.04106612917780369
36529786,52.0691,56.6619,43.543,3.8033,4.1889,2.2912,0.034334088223882446
