detection_id,B,G,R,nB,nG,nR,Compactness
432950001,6.9863,7.8397,8.7636,0.0965,0.1134,0.081,0.08911864874469005
432950002,6.6112,7.5631,9.009,0.0831,0.0943,0.0796,0.07479714303071543
432950003,8.0119,9.2077,11.0613,0.1303,0.1441,0.1235,0.06719790044098876
432950010,2.2373,2.6489,4.8195,0.0574,0.0641,0.0661,0.14781870195462177
432950011,3.143,3.9709,8.0183,0.0655,0.0751,0.0954,0.11527791973048969
432950035,3.4872,4.2549,7.2977,0.034,0.0464,0.0733,0.16978395275546265
432950043,1.1731,1.5507,3.7118,0.022,0.0303,0.0507,0.2059488517353309
432950045,3.5328,3.7135,4.3525,0.0818,0.0852,0.0633,0.1721088567938853
432950046,4.6457,4.8724,5.211,0.1462,0.1563,0.0946,0.15322506464696445
432950047,4.3534,4.5731,5.3371,0.0606,0.0635,0.0509,0.1495779344429456
432950048,3.798,4.4817,4.6687,0.0387,0.0482,0.0268,0.16317136358672749
432950049,2.7387,2.9097,3.5763,0.1,0.1072,0.0743,0.19941430995731257
432950052,2.7664,3.2691,5.0765,0.0424,0.049,0.051,0.14442151192814084
432950053,5.6776,6.309,6.6127,0.0708,0.0798,0.077,0.1256508846247525
432950054,21.486,24.1783,14.9722,0.1199,0.1488,0.0515,0.08106994029334431
432950055,19.7277,22.4068,12.4029,0.079,0.1227,0.0218,0.077091360650504
432950057,16.4512,18.3988,11.3052,0.0413,0.0947,0.0241,0.08433420746488306
432950058,8.8552,9.9091,7.1401,0.0142,0.0581,0.0197,0.10739689511380088
432950061,1.0954,1.318,2.6713,0.0189,0.0222,0.0214,0.2129260181386661
432950062,1.4548,1.662,3.1897,0.0113,0.0127,0.0158,0.2093793437612272
432950065,2.4978,2.8269,4.6102,0.0417,0.0494,0.0623,0.1721088567938853
432950083,0.6812,0.785,1.7789,0.0023,0.0027,0.0067,0.2129260181386661
432950087,1.4276,2.5181,6.9918,0.0541,0.0632,0.1095,0.12440706908215582
432950088,2.8551,3.5977,7.9397,0.0636,0.081,0.1292,0.11853991327830876
432950090,2.8186,4.8705,12.2014,0.0302,0.0416,0.0753,0.09519422993221213
432950094,3.3778,3.5352,6.3265,0.0918,0.0952,0.1145,0.12199187159268324
