detection_id,B,G,R,nB,nG,nR,Compactness
432404373,5.9774,6.4274,8.4498,0.1838,0.1901,0.1843,0.13226261511265314
432404375,3.2611,4.2289,5.8448,0.0806,0.0911,0.0862,0.1653175867489029
432404376,5.8805,5.5566,6.0614,0.2294,0.2164,0.1753,0.18751471302418415
432404377,11.6426,11.2361,11.7078,0.4651,0.4443,0.3454,0.10133499999681532
432404381,22.2593,21.2532,20.3335,0.4994,0.4782,0.3871,0.08911864874469005
432404385,11.3943,11.5639,12.8395,0.3763,0.3735,0.3029,0.08606693785815557
432404389,10.6282,10.5668,13.7308,0.1582,0.1593,0.1831,0.11634512054520679
432404390,10.2955,10.1914,13.2035,0.1232,0.12,0.1371,0.10471236017896915
432404391,49.5212,47.6008,55.4134,0.3035,0.2835,0.313,0.0338713714879367
432404400,11.7762,19.7986,27.2114,0.2901,0.5153,0.6619,0.09105580497377844
432404408,6.5286,7.1682,11.1957,0.2402,0.2717,0.3679,0.14442151192814084
432404410,6.694,7.1572,13.0045,0.2672,0.2815,0.4248,0.09894156757337469
432404413,19.3135,20.8737,31.7333,0.3926,0.4227,0.5705,0.05560231145909046
432404418,48.4853,48.3601,59.5319,1.0538,1.0484,1.1331,0.03298237162633052
432404419,28.0501,27.8725,35.3018,0.5311,0.5289,0.5808,0.04870612541107282
432404425,4.052,4.3123,6.4245,0.1194,0.1279,0.1499,0.1653175867489029
432404428,9.7514,10.627,16.5209,0.3495,0.3836,0.5049,0.10471236017896915
432404434,6.8123,6.042,9.1111,0.0929,0.0774,0.0928,0.10052442674077641
432404437,19.7887,19.7244,27.5818,0.2197,0.2127,0.281,0.06100034753906654
432404441,15.3875,16.4436,20.1248,0.4192,0.4478,0.4548,0.0937735836449438
432404443,22.5596,22.017,23.9648,0.6935,0.6756,0.6253,0.08055030487456037
432404445,4.9079,4.7628,5.3413,0.0459,0.0434,0.0403,0.1903544897796419
432404451,18.5881,18.5878,18.0281,0.2501,0.2536,0.2019,0.0815963233535219
