detection_id,B,G,R,nB,nG,nR,Compactness
433006878,1.1396,29.8456,27.1419,0.0305,1.1384,0.861,0.06378702284985524
433006887,11.6429,43.5199,31.1401,0.2096,1.5732,0.9104,0.037736506326688256
433006889,8.5244,40.9374,29.4267,0.1704,1.0233,0.5942,0.03951649547848519
433006898,6.0133,18.9401,12.161,0.0864,0.2629,0.1244,0.05635029433027713
433006906,10.5525,8.9853,7.7068,1.0069,0.8232,0.3403,0.07221810771057427
433006907,9.7104,10.0697,7.6475,0.1783,0.1736,0.0811,0.07853670966610296
433006908,7.891,12.8602,6.9015,0.2769,0.5007,0.1437,0.12318763468639518
433006909,11.4687,16.7268,10.2418,0.3451,0.5664,0.2063,0.09307904275505513
433006910,11.2452,16.7526,10.2249,0.3778,0.6027,0.2298,0.09307904275505513
433006911,11.5141,17.201,10.3161,0.2913,0.4783,0.1439,0.08433420746488306
433006913,8.8252,12.5797,7.1749,0.1897,0.2793,0.0948,0.08911864874469005
