detection_id,B,G,R,nB,nG,nR,Compactness
432671251,2.9098,4.6734,9.3106,0.0014,0.0014,0.0146,0.09307904275505513
432671252,3.1508,4.7478,9.3702,0.0022,0.0022,0.0147,0.09740778003073822
432671255,3.3282,4.7586,8.7706,0.0342,0.0405,0.0523,0.09972671719555438
432671261,2.4567,2.7782,5.4006,0.0905,0.1051,0.1297,0.1336693370934263
432671263,3.2334,3.7389,5.8692,0.07,0.084,0.0957,0.16317136358672749
432671264,3.7287,4.2087,6.5101,0.0643,0.0771,0.0896,0.1653175867489029
432671270,5.1397,5.4788,8.089,0.0699,0.0762,0.0953,0.15137953892966877
432671271,5.3199,5.6093,8.3174,0.1036,0.1105,0.1354,0.1495779344429456
432671273,4.9756,5.3225,7.9235,0.0741,0.0802,0.0974,0.14781870195462177
432671276,4.6436,4.9086,7.1362,0.0493,0.0531,0.0646,0.16752101074657041
432671277,4.3877,4.5712,6.5915,0.0844,0.0901,0.1049,0.18475840065665078
432671278,3.7375,3.9125,5.8891,0.0521,0.0554,0.0672,0.18475840065665078
432671279,3.4609,3.6236,5.3814,0.0295,0.0316,0.0406,0.2059488517353309
432671280,3.7972,3.9756,5.7369,0.046,0.0486,0.0586,0.2059488517353309
432671283,3.9641,3.8531,6.4534,0.1265,0.1201,0.1309,0.11853991327830876
432671287,7.8937,7.9117,10.9273,0.2288,0.234,0.2395,0.10052442674077641
432671358,3.8582,4.2416,6.7393,0.0373,0.0482,0.0638,0.14442151192814084
432671359,2.4725,2.599,4.5667,0.0058,0.0085,0.0229,0.2129260181386661
432671360,2.3178,2.4809,4.5691,0.0195,0.0236,0.0334,0.1963000700655754
432671362,3.8288,4.1026,7.8449,0.0621,0.0693,0.1125,0.1427807996875266
432671363,2.4816,2.7331,5.6399,0.0478,0.056,0.0856,0.17449830252036147
432671367,10.6938,11.7546,21.286,0.5369,0.5614,0.9246,0.07263552511680024
432671368,10.5799,11.5655,19.4634,0.218,0.2386,0.3356,0.07804894248762141
432671370,4.9301,4.7411,6.8701,0.0962,0.0863,0.089,0.13657449043501094
432671371,8.0029,7.8896,9.6068,0.0397,0.039,0.0448,0.1351063003197879
432671373,6.047,5.1053,5.8009,0.1038,0.0835,0.0698,0.1653175867489029
432671376,2.4124,2.3443,3.6517,0.0199,0.0198,0.0254,0.2059488517353309
432671382,5.3714,4.3452,5.3274,0.3782,0.3016,0.2327,0.15322506464696445
432671383,11.7376,11.9103,14.3171,0.2083,0.2104,0.2123,0.11022268844923072
432671384,4.7769,5.4386,10.5804,0.1509,0.1576,0.2379,0.11527791973048969
432671385,7.558,7.0824,9.2164,0.0767,0.0736,0.0806,0.12199187159268324
432671386,8.7892,6.9933,8.4651,0.2894,0.2214,0.1767,0.13088518977836702
432671389,3.4538,3.1647,4.7204,0.0304,0.0263,0.0318,0.17449830252036147
432671390,4.3059,3.6265,6.7508,0.1271,0.1067,0.11,0.0937735836449438
432671391,9.71,9.6845,12.7805,0.1725,0.168,0.1735,0.09040079679516942
432671397,3.6007,3.309,4.1656,0.1048,0.0995,0.0866,0.18475840065665078
432671398,6.8525,7.1009,8.5959,0.1106,0.1163,0.1164,0.16108014280507627
432671399,7.6272,7.752,9.4289,0.0852,0.0832,0.0865,0.14610036423614817
432671401,2.2249,2.1807,4.7124,0.0318,0.0306,0.0451,0.15137953892966877
432671402,3.9713,4.0101,7.2417,0.0885,0.0823,0.1015,0.12691981982432735
432671405,4.069,4.293,7.9122,0.0505,0.0482,0.0746,0.11966865507387159
432671406,1.4865,1.929,4.1986,0.0152,0.0239,0.044,0.2093793437612272
432671411,2.3094,2.4526,4.5506,0.0386,0.0415,0.0517,0.18475840065665078
432671412,3.2458,3.4842,6.1677,0.0465,0.0509,0.0658,0.14781870195462177
