detection_id,B,G,R,nB,nG,nR,Compactness
601648549,7.9265,8.8546,12.8013,0.1579,0.1784,0.2208,0.11966865507387159
601648550,5.8547,6.379,9.315,0.083,0.0921,0.1146,0.1495779344429456
601648551,6.2042,6.6883,9.5078,0.0998,0.1105,0.1351,0.15322506464696445
601648555,8.6513,9.4696,13.2574,0.1693,0.1921,0.2275,0.11743226366213184
601648556,10.3783,11.3716,15.4733,0.2715,0.3033,0.3575,0.11119795425652645
601648557,11.8599,12.9474,17.6787,0.249,0.2805,0.3334,0.09519422993221213
601648558,13.2435,14.3423,19.3851,0.2913,0.3251,0.3836,0.08911864874469005
601648559,14.2616,15.305,21.0923,0.317,0.3539,0.4228,0.08212958633865283
601648560,14.5543,15.7387,22.045,0.3547,0.3925,0.48,0.08055030487456037
601648578,1.5733,1.6367,3.1089,0.0621,0.0636,0.0727,0.2129260181386661
601648579,1.762,1.8033,3.4023,0.0592,0.0572,0.0687,0.19941430995731257
601648582,1.8259,1.9654,3.6961,0.0665,0.0711,0.0894,0.20262892686416292
601648586,3.2078,3.4775,5.8031,0.0768,0.0824,0.0955,0.15137953892966877
601648601,5.7547,5.8757,8.297,0.1058,0.1078,0.1114,0.11634512054520679
601648602,3.6062,3.6053,4.6946,0.0585,0.059,0.0587,0.23701364694242527
601648617,2.2032,2.4481,5.2623,0.0203,0.0213,0.0332,0.1336693370934263
601648618,2.2485,2.4667,5.4517,0.0379,0.0386,0.0507,0.12440706908215582
601648631,3.6271,3.771,5.8365,0.0268,0.0287,0.0375,0.16317136358672749
601648633,3.3811,3.4957,5.1576,0.0181,0.0198,0.0251,0.17695501477362918
601648641,2.1935,2.3596,3.9822,0.0539,0.0587,0.0741,0.21659487670178934
601648642,1.9472,2.1759,3.7453,0.0453,0.0505,0.0644,0.224325293611701
601648645,7.0742,7.2762,9.9874,0.065,0.0693,0.0833,0.12199187159268324
601648647,3.9286,3.9851,5.1569,0.1748,0.1795,0.1666,0.20262892686416292
601648659,1.8827,1.4664,4.2069,0.0,0.0,0.0098,0.1256508846247525
