detection_id,B,G,R,nB,nG,nR,Compactness
428751094,34.1532,34.2944,41.7949,0.3121,0.312,0.3191,0.03762352482182404
428751101,19.8957,17.7055,21.6026,0.2209,0.1907,0.1882,0.04288813389916635
428751106,41.5335,38.9807,34.1471,0.3481,0.322,0.255,0.04318289069619264
428751126,42.6574,37.3614,37.7091,0.4801,0.4116,0.3997,0.07020097205976435
428751129,28.1263,24.4312,27.0139,0.4781,0.4109,0.3857,0.08055030487456037
428751130,31.1805,27.0301,29.8581,0.6424,0.5536,0.5193,0.07435458803139107
428751131,31.9293,27.2828,31.8284,0.523,0.4434,0.4376,0.07059533429497317
428751134,33.5838,29.0379,35.0703,0.3235,0.2686,0.3004,0.06866661880204716
428751135,32.8252,29.4857,33.5738,0.1613,0.1526,0.1656,0.07804894248762141
428751136,28.1319,25.2766,30.3075,0.1582,0.1529,0.1621,0.07804894248762141
428751166,21.1308,19.9742,24.3732,0.0858,0.0851,0.0999,0.08726219508235135
428751167,6.6856,8.0391,19.9904,0.2827,0.3274,0.7094,0.07953076456813789
428751169,7.8944,10.5742,24.9834,0.2646,0.3073,0.6996,0.08212958633865283
428751171,21.092,19.698,24.0193,0.0952,0.091,0.103,0.09172037375316221
428751172,7.6601,11.8179,25.4149,0.1846,0.2466,0.4871,0.07391723900466864
428751173,22.3169,20.9827,26.9748,0.2088,0.1882,0.2322,0.07853670966610296
428751174,23.2006,20.679,29.1571,0.4772,0.4124,0.52,0.06981099120988524
428751182,24.8988,22.4986,28.9662,0.163,0.149,0.1754,0.08055030487456037
428751192,36.2505,35.1919,45.9426,0.2725,0.2586,0.3429,0.04759920052280796
428751194,22.0664,20.7655,25.2203,0.1713,0.1533,0.1719,0.059274001684944774
428751210,22.5993,20.677,24.1696,0.1445,0.1283,0.1431,0.09172037375316221
428751211,17.1383,15.4172,24.0074,0.0734,0.058,0.1076,0.06159836113714365
428751212,18.4147,15.571,24.4777,0.1124,0.096,0.1432,0.06477336728387235
428751214,19.1269,16.4129,22.9501,0.1534,0.1315,0.1654,0.08433420746488306
428751217,23.8567,21.0264,28.1974,0.177,0.1574,0.1923,0.07615699026400004
428751218,22.3421,20.3258,24.8185,0.149,0.1341,0.152,0.07263552511680024
428751236,14.2189,15.4834,19.8244,0.1285,0.1417,0.1707,0.09040079679516942
428751238,17.859,19.6915,23.8943,0.1741,0.1964,0.2198,0.09040079679516942
428751240,19.7653,21.5342,27.2473,0.1567,0.1759,0.2011,0.06012478543760053
428751253,44.1936,37.3109,34.6578,0.4216,0.3013,0.2506,0.06477336728387235
428751254,41.8102,35.2205,34.1257,0.4002,0.2734,0.2327,0.05279893651282317
428751255,34.022,28.8295,27.5172,0.508,0.3703,0.3121,0.07059533429497317
428751256,26.2998,23.0636,22.0612,0.4744,0.4058,0.3327,0.0815963233535219
428751265,59.2911,51.3499,67.2684,0.6874,0.5687,0.7392,0.04520218287170602
428751269,20.6359,19.2207,24.2886,0.1549,0.1403,0.164,0.07662132709270902
428751272,27.1587,24.9681,20.1099,0.4473,0.4157,0.2786,0.08321729873508964
428751273,23.3455,20.8747,17.8851,0.2986,0.2424,0.1666,0.09040079679516942
428751274,18.2995,17.9167,28.4698,0.7834,0.7735,1.1145,0.08321729873508964
428751275,17.8386,15.9865,14.7566,0.1546,0.1117,0.0818,0.08666044549832956
428751277,15.2006,13.7492,13.7829,0.1684,0.1297,0.1077,0.07853670966610296
428751278,18.0123,17.211,27.846,0.501,0.481,0.7093,0.08003728818317192
428751279,20.0628,18.2957,16.9927,0.1905,0.1532,0.1212,0.08606693785815557
428751280,31.5686,29.6643,35.1623,0.2899,0.2545,0.2913,0.07348500463068167
428751281,26.1867,23.7244,22.6106,0.2391,0.1882,0.1283,0.06719790044098876
428751282,32.2987,29.3137,36.631,0.2631,0.223,0.269,0.06129789587454133
428751283,27.4881,24.8595,24.9808,0.2003,0.1502,0.0932,0.05686023067241032
428751284,31.7502,29.647,36.4208,0.2305,0.2061,0.2481,0.06719790044098876
428751285,20.5202,18.1051,17.9258,0.1592,0.1167,0.06,0.08787235948346774
428751287,21.4069,19.2087,19.2402,0.1378,0.0696,0.0492,0.09105580497377844
