detection_id,B,G,R,nB,nG,nR,Compactness
33300743,8.7437,9.8744,7.1748,0.0794,0.1109,0.0485,0.1396087127968195
33300744,7.1604,8.1672,6.4511,0.1658,0.1911,0.0893,0.11423011752805243
33300745,7.8088,8.8668,6.1018,0.1362,0.158,0.0712,0.15705446369492315
33300758,5.1039,5.7107,4.5156,0.0123,0.0308,0.0081,0.15137953892966877
33300763,10.3588,11.8962,7.9557,0.7572,0.8703,0.3982,0.12199187159268324
33300764,12.8263,14.758,9.3259,0.8337,0.9609,0.4283,0.11423011752805243
33300770,13.9634,22.3018,32.3832,0.2665,0.4546,0.6284,0.07263552511680024
33300777,20.0497,28.9805,28.994,0.0944,0.2221,0.2315,0.05279893651282317
33300779,7.8396,8.9105,6.1803,0.0079,0.0404,0.0106,0.11634512054520679
33300780,11.2042,14.9447,16.5492,0.0423,0.0921,0.1148,0.05487072111298131
33300781,7.2442,8.3324,5.206,0.0304,0.0456,0.0082,0.1495779344429456
33300782,15.9132,22.0414,22.4891,0.2714,0.4375,0.4548,0.07180546030797123
33300783,17.7073,21.5103,17.0191,0.1474,0.1748,0.1092,0.04986575853700407
33300784,20.3299,30.9916,41.1543,0.452,0.7406,0.905,0.0406674373693737
33300785,16.9258,26.4301,33.2571,0.1295,0.3015,0.3764,0.03914718970684156
33300786,35.3494,50.208,51.8793,0.5162,0.8757,1.0078,0.03751121781510277
33300787,7.5035,12.4927,18.3454,0.1046,0.1995,0.2678,0.06510896233025722
33300789,10.7766,17.3813,26.2027,0.2265,0.3846,0.5115,0.07221810771057427
33300790,14.6528,19.3579,16.4506,0.1548,0.2711,0.2483,0.08210028801381326
33300794,45.6443,69.2018,79.6642,0.8561,1.4572,1.7835,0.03695959196015872
33300795,16.9572,23.8156,23.2182,0.0751,0.1712,0.1731,0.050875153686925724
33300796,7.7474,9.7326,7.3699,0.0332,0.0829,0.0646,0.1427807996875266
33300803,31.1946,35.7656,21.5372,1.056,1.2336,0.5108,0.05660411406725943
