detection_id,B,G,R,nB,nG,nR,Compactness
408242419,17.7804,20.8853,31.7643,0.4155,0.4935,0.6722,0.06829345312829196
408242422,23.1434,20.9813,23.502,0.718,0.6341,0.5696,0.059274001684944774
408242426,23.1572,22.0299,24.3343,0.1125,0.1069,0.1175,0.08106994029334431
408242427,22.842,21.7109,24.0571,0.124,0.1165,0.1267,0.07953076456813789
408242428,26.2533,24.9104,27.2268,0.1352,0.1271,0.1393,0.07662132709270902
408242429,21.0712,19.6774,21.416,0.158,0.1424,0.144,0.08726219508235135
408242430,24.2348,27.6377,41.719,0.4922,0.5702,0.8345,0.06510896233025722
408242432,17.939,20.4455,31.8782,0.407,0.4732,0.6893,0.06942531913488556
408242433,28.2351,26.4229,29.019,0.4432,0.3935,0.367,0.06579069379816853
408242435,24.6289,29.3737,49.3163,0.8025,1.0008,1.5766,0.04456103357379679
408242443,9.3468,11.4979,20.3807,0.1044,0.1273,0.2161,0.07099415216660818
408242444,19.9907,19.4243,21.663,0.1018,0.0988,0.1087,0.08321729873508964
408242445,24.285,23.4573,25.7322,0.1103,0.1051,0.1186,0.07662132709270902
408242446,20.202,19.2821,21.3089,0.1094,0.1018,0.1095,0.08606693785815557
408242450,24.4283,23.5822,26.3498,0.1102,0.1058,0.1192,0.08433420746488306
408242451,25.9458,25.0094,27.3664,0.1211,0.1168,0.1315,0.07348500463068167
408242743,12.7513,10.086,14.6441,0.4179,0.3181,0.2873,0.04851807655625124
408242745,25.9298,25.3161,28.5999,0.1074,0.1065,0.1229,0.07263552511680024
408242746,25.074,24.6338,27.8142,0.1036,0.1021,0.1181,0.07662132709270902
408242747,22.2517,21.4774,24.5616,0.0974,0.0939,0.1084,0.07756719641593564
408242748,16.5966,15.1545,16.2001,0.0465,0.024,0.0248,0.08377203058083679
408242749,18.9383,17.2016,18.3047,0.0441,0.0208,0.0294,0.08003728818317192
408242750,24.1598,22.5929,24.5207,0.04,0.0286,0.0375,0.07139750161301212
