detection_id,B,G,R,nB,nG,nR,Compactness
125035431,4.0804,12.5495,11.0423,0.1012,0.3875,0.2271,0.08911864874469005
125035437,5.3764,13.2108,10.3583,0.0811,0.2055,0.1221,0.10052442674077641
125035439,4.9274,15.1679,12.9328,0.0673,0.3059,0.185,0.08433420746488306
125035440,2.8463,6.8559,6.7783,0.0,0.0,0.0151,0.08212958633865283
125035441,2.6956,6.6823,6.7196,0.0,0.0,0.0149,0.08321729873508964
125035442,3.8124,7.8751,6.0219,0.0214,0.0494,0.027,0.09040079679516942
125035443,4.3932,11.1201,10.3229,0.0167,0.0363,0.0417,0.06190178642991358
125035445,6.2261,16.743,14.5162,0.0262,0.0463,0.0468,0.04759920052280796
125035446,7.9436,25.1399,21.8099,0.063,0.1414,0.1103,0.03785016842433463
125035447,10.7051,32.1044,22.956,0.0919,0.2001,0.1152,0.04889563761385481
125035448,10.1389,31.3558,22.8254,0.0849,0.1773,0.106,0.04947312713553582
125035449,8.3034,26.3103,20.328,0.066,0.152,0.0954,0.05324636892277132
125035450,6.5821,21.4731,18.0731,0.0494,0.1065,0.0816,0.0541643755046309
125035451,7.0967,19.4038,17.2883,0.0803,0.1842,0.1327,0.048146301614186766
125035456,11.2661,18.2694,14.0608,0.2194,0.3871,0.1614,0.06041383338136221
125035458,15.7226,23.4258,16.8478,0.3779,0.5979,0.2933,0.06190178642991358
125035459,12.0009,20.2126,14.7457,0.0715,0.1851,0.0631,0.06904388481989716
125035460,3.7374,9.3445,9.6559,0.0634,0.176,0.1165,0.07348500463068167
125035461,5.2573,11.9695,11.5347,0.1152,0.2783,0.1797,0.07099415216660818
125035463,3.2115,9.0538,9.0628,0.0007,0.0018,0.018,0.07348500463068167
125035464,2.8118,8.623,8.6332,0.0306,0.078,0.0612,0.07391723900466864
125035465,3.1194,9.5658,9.0165,0.0339,0.0853,0.0635,0.07662132709270902
125035467,2.9425,7.8984,7.6819,0.0,0.0,0.017,0.07305779571290515
125035468,2.6375,6.0315,7.1914,0.0,0.0,0.0174,0.07139750161301212
125035469,3.2785,6.4697,7.0956,0.0,0.0,0.0162,0.07662132709270902
125035470,3.1868,6.0718,7.0142,0.0,0.0,0.0166,0.07479714303071543
125035471,5.4505,10.9448,9.5854,0.0441,0.1021,0.0732,0.07020097205976435
125035472,8.816,16.704,12.3392,0.0477,0.1113,0.075,0.06648685222060789
125035473,8.9589,18.3495,13.5241,0.0462,0.0986,0.0701,0.0607056738604871
125035477,4.042,11.5471,9.712,0.0368,0.0916,0.0664,0.06378702284985524
125035478,7.1814,20.0829,14.327,0.014,0.0406,0.0442,0.05129044711249124
125035480,1.0902,13.4129,15.4382,0.0127,0.5106,0.4612,0.08849111644335216
125035481,1.0152,13.8137,15.7432,0.0233,0.4386,0.4234,0.09519422993221213
125035482,0.3671,9.3432,11.577,0.0095,0.3811,0.3412,0.09894156757337469
125035483,0.4452,10.5188,14.564,0.0099,0.0526,0.0619,0.07139750161301212
125035484,13.1476,18.563,19.963,0.2361,0.4319,0.3894,0.06792432131461863
125035485,28.908,40.0443,39.351,0.4788,0.7426,0.5841,0.03621402203509902
125035486,45.4283,59.1405,51.132,0.8602,1.1132,0.7003,0.0356996267483682
125035488,24.8941,27.0827,17.7244,0.4154,0.4425,0.208,0.059274001684944774
125035489,28.7021,34.2124,26.9888,0.4775,0.6155,0.3436,0.04778018079289879
125035491,19.6914,20.5907,14.3387,0.2442,0.2294,0.1126,0.06100034753906654
125035492,24.5112,25.4066,18.4661,0.3695,0.3721,0.1967,0.06100034753906654
125035494,8.8971,10.8124,8.1217,0.1077,0.117,0.0605,0.08055030487456037
125035499,14.0397,13.9478,9.8711,0.2581,0.238,0.1101,0.08975514439115811
125035501,6.781,18.6699,14.8564,0.0737,0.2321,0.1497,0.07662132709270902
125035507,7.4179,20.3956,19.4073,0.1597,0.334,0.2475,0.04520218287170602
125035508,6.0347,16.2104,15.6544,0.0799,0.1627,0.1287,0.05192625725187585
125035509,1.787,9.4526,8.7937,0.0001,0.0364,0.0387,0.08106994029334431
125035510,3.1209,6.5477,7.1648,0.0,0.0,0.0176,0.07059533429497317
125035513,7.4279,17.7665,13.1473,0.0241,0.0444,0.0488,0.050875153686925724
125035514,12.8067,10.0037,7.762,0.3156,0.2358,0.0993,0.09519422993221213
125035533,4.6036,14.0416,11.5576,0.0019,0.0042,0.0245,0.05660411406725943
125035534,7.4671,19.9766,16.1267,0.0075,0.0115,0.0358,0.04318289069619264
125035541,3.6683,12.3751,10.375,0.0,0.0,0.0242,0.051500646728563054
125035543,2.5953,8.5341,9.021,0.0,0.0,0.023,0.0541643755046309
125035544,1.9858,5.6387,5.5434,0.0,0.0,0.0144,0.08606693785815557
125035545,2.9274,6.9922,7.3799,0.0,0.0,0.0198,0.06283026644890574
125035546,2.465,5.6591,6.2976,0.0,0.0,0.0176,0.07059533429497317
125035547,1.8677,4.579,5.121,0.0,0.0,0.0146,0.08490398027194407
125035548,4.5953,10.8141,9.5367,0.0144,0.0275,0.0368,0.06012478543760053
125035551,9.9446,28.7342,18.653,0.0575,0.1251,0.0938,0.05046653131091824
125035559,16.6879,15.7082,10.3473,0.4548,0.4127,0.1981,0.10471236017896915
125035560,23.9652,21.1683,13.1071,0.4438,0.3923,0.1342,0.06866661880204716
125035566,14.5219,20.2564,13.0807,0.0631,0.0844,0.061,0.04552972625896745
125035567,10.408,16.4038,10.214,0.0464,0.0746,0.0491,0.06942531913488556
125035568,14.0829,22.2831,12.8655,0.0954,0.131,0.074,0.06159836113714365
125035569,15.7089,22.848,12.9243,0.1446,0.1754,0.0898,0.06411244968272661
125035570,16.0205,23.7697,13.3314,0.029,0.034,0.0338,0.05983849013957345
125035571,13.6287,19.9638,12.3693,0.025,0.0355,0.0352,0.0607056738604871
125035572,13.3333,18.2929,11.7718,0.0813,0.0928,0.0563,0.06283026644890574
125035573,14.5099,18.114,11.707,0.1389,0.1718,0.1078,0.06378702284985524
125035574,12.0752,14.5896,10.1392,0.2111,0.2425,0.1309,0.06411244968272661
125035575,14.6347,15.0524,8.2332,0.4737,0.454,0.1458,0.07953076456813789
125035577,32.7422,38.0197,17.1628,0.7526,0.8353,0.2011,0.05535737701133239
125035582,5.9758,22.2249,16.3368,0.0966,0.321,0.2092,0.06829345312829196
125035584,24.5528,27.3008,13.4571,0.7637,0.8361,0.1932,0.06159836113714365
125035585,6.5438,22.1853,16.5509,0.087,0.3134,0.1893,0.06579069379816853
