detection_id,B,G,R,nB,nG,nR,Compactness
433112507,6.1656,6.4694,6.4494,0.0089,0.0113,0.0141,0.12081909724428652
433112508,7.2012,8.4476,12.9076,0.0707,0.0902,0.1403,0.08787235948346774
433112511,13.6878,13.9646,11.1394,0.0255,0.0278,0.0258,0.08975514439115811
433112512,15.4809,15.9248,14.9509,0.1027,0.1033,0.1082,0.08849111644335216
433112514,1.8022,1.8008,2.9669,0.0152,0.0146,0.0145,0.1903544897796419
433112515,3.9838,4.0277,4.8766,0.0091,0.0092,0.0141,0.1794818739290955
433112527,3.9314,3.857,6.2268,0.0099,0.0094,0.0174,0.12081909724428652
433112528,7.721,7.6499,6.6671,0.1265,0.126,0.085,0.1351063003197879
433112529,3.8718,3.8492,4.6724,0.0131,0.0133,0.0139,0.1495779344429456
433112531,1.9541,1.948,3.1783,0.0073,0.0073,0.0108,0.1653175867489029
433112532,3.4382,3.3557,3.6687,0.1293,0.1311,0.077,0.1794818739290955
433112533,1.4467,1.4638,2.6563,0.0106,0.0112,0.0119,0.1794818739290955
433112534,2.0847,2.0666,2.8729,0.006,0.0065,0.0095,0.16978395275546265
433112535,2.9769,3.1962,4.9446,0.1002,0.1043,0.1149,0.1963000700655754
433112536,1.6387,1.7853,2.9939,0.029,0.0319,0.0352,0.18751471302418415
433112537,3.5178,3.6156,3.9308,0.1151,0.1184,0.085,0.1903544897796419
433112538,2.1284,2.0767,2.7839,0.0026,0.0025,0.0074,0.18475840065665078
433112544,1.581,1.553,3.5021,0.0142,0.0148,0.0211,0.16317136358672749
433112549,4.2946,4.4416,3.985,0.2132,0.2237,0.1322,0.1794818739290955
433112553,1.2492,1.4096,3.5711,0.0027,0.0033,0.0119,0.1794818739290955
433112556,2.9947,3.1923,4.7622,0.0086,0.0101,0.0201,0.1721088567938853
433112558,2.1148,2.5266,5.3921,0.0263,0.0374,0.0623,0.16978395275546265
433112559,10.2224,10.4239,7.2655,0.2458,0.2471,0.1483,0.15137953892966877
433112560,7.7018,7.8387,6.6974,0.1117,0.1118,0.0545,0.14442151192814084
433112561,7.0643,6.891,7.7986,0.1804,0.1757,0.1391,0.1427807996875266
433112565,3.5789,4.3282,6.3331,0.0164,0.0233,0.0355,0.15511613727099602
433112567,11.5904,11.7439,8.2914,0.2294,0.2287,0.1344,0.13657449043501094
433112568,4.1252,4.9513,7.3854,0.029,0.0384,0.0608,0.1411769425941694
433112571,3.0158,3.0206,3.5869,0.0822,0.0836,0.0563,0.18208192715442573
433112572,1.1587,1.4461,4.0181,0.0197,0.0261,0.0456,0.16978395275546265
433112573,7.9699,8.4437,8.2581,0.0008,0.001,0.0114,0.11634512054520679
433112575,12.8226,17.9179,32.6556,0.2405,0.3565,0.5515,0.04174827570770436
433112576,28.9619,30.7085,28.4884,0.0628,0.0698,0.1039,0.049086630312145024
433112577,9.0889,9.3488,8.8431,0.1045,0.1057,0.0477,0.08606693785815557
433112587,8.1946,11.176,20.1893,0.0997,0.1645,0.2782,0.077091360650504
433112595,42.9242,43.3763,35.1909,2.398,2.4113,1.5726,0.047962542530693694
433112596,12.0538,16.8525,29.7758,0.1327,0.2183,0.3804,0.06648685222060789
433112597,30.4975,32.891,29.3826,0.2298,0.2499,0.2942,0.06444121395927624
433112604,16.5666,16.9936,14.1547,0.1833,0.1848,0.0941,0.08003728818317192
433112606,21.6731,21.508,20.7979,0.7038,0.7015,0.5111,0.07953076456813789
433112608,8.2571,10.8573,19.0131,0.1105,0.1744,0.2837,0.08433420746488306
433112609,21.373,22.3698,18.2754,0.1026,0.1028,0.0995,0.08548150399146558
433112610,15.5606,16.3718,14.0821,0.2047,0.2118,0.1124,0.08726219508235135
433112612,17.948,17.6745,17.4457,0.5597,0.5506,0.4194,0.09519422993221213
433112614,7.1645,10.1043,19.8684,0.115,0.1609,0.2737,0.07059533429497317
433112615,7.5972,10.0834,17.6554,0.088,0.1442,0.2302,0.08726219508235135
433112617,7.2192,7.4782,9.9379,0.1019,0.1058,0.105,0.12691981982432735
433112620,0.2256,0.3054,1.9825,0.0,0.0,0.0065,0.2059488517353309
433112622,4.1636,4.3312,4.3867,0.0,0.0,0.0061,0.19941430995731257
433112624,3.7149,3.6293,4.7569,0.1307,0.1315,0.1,0.1903544897796419
433112626,0.4097,0.5833,2.2348,0.0,0.0,0.0063,0.2059488517353309
433112627,0.7216,0.9949,2.8089,0.0084,0.0116,0.0208,0.2059488517353309
433112631,2.4729,2.3736,3.5049,0.0714,0.0707,0.0569,0.22840111198938143
433112632,0.8682,1.0591,3.2382,0.0,0.0,0.0061,0.19941430995731257
433112635,6.1742,6.0664,7.1636,0.2237,0.219,0.1808,0.12821464331793822
433112653,4.2491,4.3823,4.6009,0.0331,0.0384,0.0276,0.15705446369492315
433112661,9.2695,9.1512,8.8602,0.5322,0.5278,0.333,0.11634512054520679
433112662,10.4471,11.347,11.3176,0.0318,0.0378,0.0489,0.08377203058083679
