detection_id,B,G,R,nB,nG,nR,Compactness
427827435,20.4968,21.3688,25.4594,0.0931,0.1059,0.1215,0.07348500463068167
427827437,20.2061,21.3452,24.4271,1.2396,1.3257,1.2331,0.06411244968272661
427827438,16.7779,17.794,20.144,0.4351,0.466,0.4222,0.06719790044098876
427827440,10.2405,11.2538,13.414,0.0973,0.1052,0.092,0.07853670966610296
427827447,9.1807,9.53,12.2245,0.1296,0.1354,0.1452,0.11634512054520679
427827448,11.1465,11.3549,15.4587,0.1086,0.11,0.1267,0.07953076456813789
427827449,10.3518,10.7136,13.7303,0.0918,0.0927,0.1059,0.10832258979485408
427827450,10.9105,10.9837,14.1182,0.0607,0.0646,0.0814,0.11527791973048969
427827451,11.5758,11.3801,15.0422,0.032,0.0313,0.0555,0.11634512054520679
427827452,12.3939,12.4231,16.2377,0.1416,0.141,0.1658,0.11219063124580061
427827453,13.1939,13.1496,17.1658,0.2961,0.2957,0.34,0.1038470904936626
427827455,15.3822,15.2553,19.8661,0.1855,0.1825,0.2165,0.08849111644335216
427827456,17.8875,17.5234,22.3485,0.1526,0.149,0.1777,0.08849111644335216
427827457,17.0254,16.5054,21.5219,0.1742,0.1726,0.2045,0.08548150399146558
427827458,16.4367,15.8743,21.2699,0.1059,0.1022,0.134,0.08433420746488306
427827459,15.5661,15.088,20.0798,0.0925,0.0907,0.1224,0.09239471398211957
427827461,16.9229,16.4946,22.7783,0.1245,0.1194,0.1795,0.07391723900466864
427827462,14.0868,13.7387,19.2589,0.1194,0.1126,0.1604,0.08377203058083679
427827463,11.6625,11.4154,16.0457,0.0743,0.071,0.1066,0.09894156757337469
427827464,11.1076,10.754,16.024,0.0903,0.086,0.1207,0.08849111644335216
427827465,13.4204,13.1882,19.0246,0.1411,0.1373,0.1833,0.08003728818317192
427827466,12.3705,12.2624,17.6512,0.0944,0.0931,0.1316,0.08003728818317192
427827467,20.9088,20.3478,27.7395,0.1966,0.188,0.2502,0.0675591583065621
427827468,21.1628,20.2861,27.9992,0.2037,0.1882,0.2531,0.06792432131461863
427827470,12.7111,11.9064,17.107,0.0449,0.033,0.0774,0.09307904275505513
427827471,13.0476,12.2727,17.1794,0.0431,0.0268,0.0699,0.0937735836449438
427827488,21.1017,21.0027,24.8109,0.5451,0.5324,0.5133,0.05686023067241032
427827489,21.4903,21.4656,26.6393,0.5334,0.5251,0.5088,0.04393781784522013
427827501,15.9713,15.8703,19.818,0.1903,0.1913,0.2178,0.09740778003073822
427827503,16.491,16.3919,21.2419,0.0343,0.0357,0.0599,0.08106994029334431
427827504,15.8797,15.6597,19.8577,0.0503,0.0478,0.0638,0.09172037375316221
427827505,14.9754,14.947,19.1049,0.0628,0.0626,0.0745,0.08666044549832956
427827506,15.5562,15.3886,19.2509,0.052,0.051,0.0562,0.09239471398211957
427827507,14.9064,14.9429,18.2313,0.0904,0.0904,0.0997,0.09307904275505513
427827508,14.2234,14.4542,18.1572,0.1221,0.1271,0.1435,0.08975514439115811
427827509,13.5519,13.9898,17.6853,0.2376,0.2468,0.2504,0.07756719641593564
427827510,12.4124,12.6036,16.8593,0.1843,0.1849,0.2061,0.07756719641593564
427827511,8.9518,9.5537,11.74,0.321,0.3487,0.3163,0.10133499999681532
427827512,12.499,13.6857,16.1045,0.8124,0.9037,0.8091,0.08321729873508964
427827513,13.7968,14.4381,17.5514,0.7208,0.7581,0.7048,0.07263552511680024
427827514,13.8379,14.3439,17.6531,0.5488,0.5649,0.5592,0.07569824722699373
427827515,14.8116,16.0069,18.7924,0.1474,0.159,0.1576,0.07020097205976435
427827516,14.9452,16.2319,19.8786,0.1227,0.1319,0.1316,0.06719790044098876
427827519,11.3049,12.4677,14.8056,0.0716,0.0774,0.0778,0.07662132709270902
427827520,11.7675,12.7236,15.4724,0.1058,0.1113,0.1105,0.07804894248762141
427827522,13.1033,13.9244,16.979,0.0543,0.0573,0.0629,0.06378702284985524
427827523,12.8288,14.0334,16.8472,0.0766,0.084,0.0829,0.06190178642991358
427827524,12.1722,13.1076,16.2118,0.0449,0.0495,0.0555,0.06684048540909966
427827525,11.8629,12.8635,16.1526,0.0394,0.0408,0.0557,0.07020097205976435
427827526,9.897,11.9361,18.4081,0.0872,0.097,0.1377,0.06314598028335774
427827529,6.6013,7.5599,15.4683,0.0487,0.055,0.1094,0.06159836113714365
427827530,7.3083,8.2767,16.4246,0.0536,0.06,0.1092,0.05764267775279962
427827534,6.5276,6.8776,12.9981,0.0365,0.0373,0.0585,0.07059533429497317
427827553,3.3342,3.9873,9.4489,0.0079,0.009,0.0255,0.07662132709270902
427827564,4.0423,5.3499,12.0598,0.0,0.0002,0.0243,0.05487392523583279
427827565,3.8622,4.8305,10.8146,0.0,0.0006,0.0214,0.06012478543760053
427827566,2.8842,3.8525,9.2488,0.0,0.0,0.0176,0.07139750161301212
427827567,3.0018,4.2262,9.8735,0.0,0.0006,0.0203,0.06346488289866778
427827568,2.2726,3.3629,8.2328,0.0,0.0003,0.0195,0.06477336728387235
427827569,1.6403,2.1719,6.9236,0.0,0.0,0.0142,0.08787235948346774
427827570,2.0921,2.7722,6.9664,0.0,0.0,0.0134,0.09307904275505513
427827571,2.2019,2.8188,6.8763,0.0,0.0,0.013,0.10133499999681532
427827572,3.1035,3.6937,7.9186,0.0162,0.019,0.033,0.09307904275505513
427827573,4.5825,5.0446,7.5386,0.0933,0.1075,0.1059,0.10648688664370398
427827574,4.8939,5.1549,8.0804,0.0396,0.0442,0.0521,0.10559216905199818
427827579,13.6394,14.4896,17.8246,0.3401,0.3529,0.3531,0.06719790044098876
427827584,27.1897,27.7103,27.6926,0.3665,0.3624,0.3535,0.07139750161301212
427827585,2.4817,2.9236,8.0489,0.0,0.0046,0.0222,0.06251769380643689
427827590,9.2612,9.2837,11.5162,0.1424,0.1411,0.1437,0.1038470904936626
427827591,10.7308,10.9686,14.1217,0.0627,0.0647,0.0748,0.08321729873508964
427827600,8.9578,8.5652,11.3264,0.5182,0.4909,0.4942,0.10648688664370398
427827601,11.8503,11.5334,14.9875,0.3646,0.3477,0.3678,0.08666044549832956
