detection_id,B,G,R,nB,nG,nR,Compactness
51818540,17.4587,16.8359,20.1316,0.0921,0.0879,0.0992,0.07391723900466864
51818543,3.1577,3.002,3.978,0.0524,0.0495,0.0433,0.2059488517353309
51818550,7.2694,7.0291,7.198,0.0302,0.0302,0.0367,0.18751471302418415
51818552,4.3153,4.1769,4.5762,0.0179,0.0179,0.023,0.23701364694242527
51818556,4.2934,4.1615,4.8347,0.0176,0.0176,0.0236,0.20262892686416292
51818557,5.2343,4.8276,5.9656,0.0898,0.0786,0.0807,0.224325293611701
51818559,6.3337,6.1178,6.2911,0.0255,0.0255,0.031,0.22039234176969208
51818565,6.8071,6.54,6.7691,0.0273,0.0273,0.033,0.2129260181386661
51818566,6.6282,6.4749,6.5583,0.0273,0.0273,0.033,0.2129260181386661
51818570,7.2682,7.108,7.2373,0.0296,0.0296,0.0357,0.19941430995731257
51818573,5.8119,5.6907,5.8472,0.024,0.024,0.0294,0.224325293611701
51818575,6.5715,6.4734,6.606,0.0262,0.0262,0.0318,0.21659487670178934
51818580,6.2182,6.1564,6.3074,0.0271,0.0271,0.0313,0.21659487670178934
51818586,6.5187,6.512,6.5966,0.0259,0.0259,0.0314,0.22039234176969208
51818587,6.2783,6.27,6.3949,0.0249,0.0249,0.0305,0.21659487670178934
51818590,6.1725,5.946,6.1885,0.0255,0.0255,0.031,0.22039234176969208
51818593,6.0685,5.9032,6.1449,0.0245,0.0245,0.0301,0.21659487670178934
51818594,6.1709,6.1096,6.3285,0.0245,0.0245,0.0301,0.21659487670178934
51818596,5.8323,5.7474,5.9827,0.0232,0.0232,0.0287,0.22039234176969208
51818606,5.6932,5.5138,5.8714,0.0234,0.0234,0.029,0.21659487670178934
51818609,5.4626,5.3289,5.6127,0.0227,0.0227,0.0281,0.224325293611701
51818610,5.5409,5.4066,5.6848,0.023,0.023,0.0284,0.224325293611701
51818611,5.6246,5.4765,5.7458,0.0232,0.0232,0.0286,0.224325293611701
51818612,5.3716,5.2145,5.5518,0.0219,0.0219,0.0273,0.224325293611701
51818613,5.2371,5.0799,5.446,0.0214,0.0214,0.0267,0.22840111198938143
51818616,5.3407,5.2092,5.5511,0.0219,0.0219,0.0273,0.224325293611701
51818617,5.3144,5.184,5.5139,0.0219,0.0219,0.0273,0.224325293611701
51818618,5.2773,5.1497,5.4793,0.0218,0.0218,0.0271,0.22840111198938143
51818622,5.4969,5.4421,5.7505,0.0217,0.0217,0.0271,0.224325293611701
51818623,2.3429,2.1859,3.3314,0.0986,0.0918,0.0895,0.22840111198938143
51818625,2.8549,2.681,3.7498,0.0587,0.0534,0.0539,0.23262772230212783
51818627,2.6027,2.582,3.8386,0.0413,0.0421,0.0456,0.23701364694242527
51818628,4.8387,4.6879,5.0249,0.0313,0.0308,0.0308,0.23262772230212783
51818629,2.6608,2.5782,3.8043,0.0317,0.0304,0.0339,0.23262772230212783
51818630,5.0067,4.8156,5.1893,0.0227,0.0224,0.0265,0.23262772230212783
51818631,2.7867,2.7424,4.0381,0.0554,0.0538,0.0584,0.23262772230212783
51818632,4.8597,4.7107,5.0927,0.0232,0.0228,0.0266,0.23262772230212783
51818634,5.0804,4.9654,5.3047,0.0203,0.0203,0.0255,0.23262772230212783
51818643,2.1245,2.0343,2.816,0.0756,0.069,0.0572,0.23262772230212783
51818644,4.6829,4.5533,4.9961,0.0201,0.0196,0.0248,0.23262772230212783
51818646,4.8191,4.6873,5.1006,0.0213,0.021,0.0255,0.22840111198938143
51818648,4.5697,4.455,4.8803,0.0232,0.023,0.0259,0.23262772230212783
51818651,2.4619,2.2701,3.3346,0.0784,0.0718,0.0702,0.2415680625597688
51818655,4.8164,4.7686,6.005,0.0193,0.0193,0.0243,0.2415680625597688
51818658,2.3511,2.1415,3.2693,0.0463,0.0418,0.0421,0.2415680625597688
51818660,4.9811,4.8466,5.1435,0.0218,0.0214,0.0258,0.2415680625597688
51818661,2.4139,2.334,3.1835,0.0557,0.0531,0.0435,0.23701364694242527
51818664,4.8442,4.8542,5.1538,0.0192,0.0192,0.0242,0.2415680625597688
51818665,2.65,2.6043,3.3146,0.0236,0.0225,0.0207,0.2415680625597688
51818667,2.7895,2.7208,3.2271,0.046,0.0441,0.0374,0.2415680625597688
51818669,3.1697,3.0546,3.5275,0.0744,0.0702,0.0577,0.23262772230212783
51818670,4.1848,4.0844,4.6098,0.0274,0.0271,0.029,0.2415680625597688
51818673,2.9065,2.8235,3.7973,0.0367,0.0342,0.034,0.2415680625597688
51818675,3.7055,3.654,5.2664,0.0299,0.0286,0.0336,0.1653175867489029
51818676,4.0143,4.0391,4.5586,0.0234,0.0237,0.0265,0.2415680625597688
51818679,2.7787,2.7704,3.5982,0.0027,0.0026,0.0061,0.2415680625597688
51818681,6.8722,6.7953,8.4086,0.0563,0.0548,0.0547,0.12440706908215582
51818682,11.5014,11.1669,13.008,0.0625,0.0614,0.0718,0.08003728818317192
51818683,4.6911,4.5432,5.6552,0.0201,0.02,0.0267,0.16108014280507627
51818684,4.6263,4.4866,5.4927,0.0195,0.0192,0.0261,0.1721088567938853
51818687,32.5969,32.7457,33.6263,0.2093,0.212,0.2588,0.06579069379816853
51818688,8.6251,8.4552,9.5796,0.0364,0.0362,0.0469,0.11423011752805243
51818689,6.2114,6.0614,6.4579,0.0256,0.0256,0.032,0.1903544897796419
51818690,3.2203,3.242,4.8142,0.1097,0.1052,0.0906,0.16978395275546265
51818692,5.0123,4.9796,7.7797,0.0444,0.0437,0.0507,0.1132011898318306
51818705,4.8239,4.6724,5.2278,0.0196,0.0196,0.0253,0.2129260181386661
51818708,2.4667,2.5886,4.8137,0.0813,0.0882,0.0806,0.1256508846247525
51818721,2.9505,2.9263,3.8269,0.0313,0.0313,0.0263,0.2059488517353309
51818722,5.0768,4.8763,5.7887,0.0898,0.0876,0.085,0.16752101074657041
51818723,6.8813,6.7689,7.1916,0.0275,0.0275,0.0339,0.1903544897796419
51818734,6.5398,6.3044,7.3076,0.0346,0.0343,0.0407,0.14781870195462177
51818757,1.2246,1.3073,2.7573,0.0313,0.0347,0.0332,0.18208192715442573
51818761,1.4545,1.5365,2.9902,0.0348,0.0378,0.0339,0.16978395275546265
51818772,3.1467,2.943,4.4241,0.0671,0.0606,0.0655,0.19941430995731257
51818780,4.4994,4.1978,5.4127,0.0559,0.0517,0.0516,0.19328157927359077
51818793,3.6676,3.3845,4.9126,0.0179,0.0156,0.021,0.18751471302418415
51818799,3.2026,2.9107,4.2361,0.0473,0.0421,0.042,0.20262892686416292
51818802,3.9238,3.7941,4.8081,0.2061,0.1971,0.1642,0.15904183716398032
51818812,10.2862,10.0962,11.3036,0.0408,0.0408,0.0497,0.13807493637999585
51818813,7.8025,9.2499,13.9204,0.1835,0.2114,0.2662,0.11527791973048969
51818816,2.7185,2.7006,3.9083,0.0512,0.0509,0.0528,0.2093793437612272
51818847,4.0351,4.8692,8.6503,0.1313,0.1567,0.2198,0.11966865507387159
51818848,3.8114,3.7087,5.8682,0.0754,0.0744,0.0779,0.12953615542145414
