detection_id,B,G,R,nB,nG,nR,Compactness
428280096,33.807,33.9782,37.7717,0.1554,0.1598,0.1771,0.05257802831020273
428280097,14.9999,15.6902,18.8937,1.5799,1.6819,1.6161,0.08106994029334431
428280101,15.9367,16.4599,18.0124,0.0001,0.0071,0.016,0.07756719641593564
428280103,16.833,17.5109,20.4885,0.6964,0.7231,0.7045,0.08787235948346774
428280104,16.5336,17.1805,20.2974,0.785,0.8077,0.7979,0.08975514439115811
428280106,22.4439,22.9317,25.4593,0.7621,0.7844,0.7886,0.077091360650504
428280107,25.1003,25.4871,27.856,0.6044,0.6236,0.6164,0.07221810771057427
428280109,25.8793,25.9264,27.1182,0.4959,0.5061,0.4733,0.07348500463068167
428280118,16.1759,15.6493,16.208,0.16,0.1548,0.1388,0.09972671719555438
428280119,17.9589,16.5796,17.3619,0.2727,0.2465,0.222,0.09239471398211957
428280122,16.4452,16.1273,16.4591,0.448,0.429,0.3698,0.10471236017896915
428280123,15.9941,15.8217,16.5097,0.4513,0.4379,0.3811,0.10052442674077641
428280124,14.1731,13.7771,15.5096,0.9044,0.868,0.7816,0.09665858053229819
428280125,15.0617,15.183,16.7828,0.0066,0.0055,0.0121,0.1021587506273488
428280129,17.8469,18.2198,19.4687,0.0861,0.0926,0.0485,0.08106994029334431
428280130,16.1959,16.501,17.7878,0.0773,0.0824,0.0408,0.08490398027194407
428280131,14.4455,14.8314,16.274,0.0584,0.0687,0.0253,0.08975514439115811
428280132,12.3536,12.7717,14.5034,0.0408,0.0631,0.0161,0.09239471398211957
428280133,11.6692,11.5617,13.3498,0.1307,0.1311,0.117,0.10299600257653854
428280134,12.1409,11.8815,13.7591,0.2556,0.2495,0.2138,0.09519422993221213
428280136,11.016,10.8337,12.4683,0.253,0.2529,0.206,0.09172037375316221
428280138,13.4351,12.9261,15.632,0.7555,0.7189,0.6826,0.08003728818317192
428280139,12.2218,11.6333,14.2668,0.6027,0.5669,0.5436,0.08266986501266944
428280143,8.9613,9.7081,12.826,0.0992,0.1133,0.1168,0.10299600257653854
428280144,11.2869,12.0794,15.5081,0.1947,0.2066,0.2164,0.09307904275505513
428280146,16.9778,17.3609,20.6873,0.8355,0.858,0.7959,0.07020097205976435
428280147,16.0408,15.6163,19.586,0.9094,0.898,0.801,0.06129789587454133
428280152,23.7691,24.3608,30.4435,0.0618,0.0732,0.1188,0.06041383338136221
428280153,28.2634,29.0331,35.2161,0.0995,0.1206,0.1545,0.05439884443645084
428280154,32.6945,33.4775,39.5664,0.1281,0.1511,0.1949,0.056098740702361524
428280155,31.8037,32.5467,37.0278,0.1155,0.1329,0.1498,0.06100034753906654
428280156,33.7046,34.0136,36.3463,0.1492,0.1572,0.1412,0.05686023067241032
428280157,32.0884,32.3426,34.2974,0.1335,0.1393,0.1201,0.0607056738604871
428280158,29.412,29.7074,31.6065,0.114,0.1201,0.1009,0.06411244968272661
428280160,12.8026,12.7294,15.3636,0.0182,0.0182,0.0173,0.08321729873508964
428280161,14.6151,15.0047,15.9198,0.0028,0.01,0.0123,0.10052442674077641
428280165,22.9227,23.1758,23.42,0.0675,0.0731,0.0165,0.08212958633865283
428280166,23.7385,24.178,24.2217,0.0839,0.1005,0.0211,0.07569824722699373
428280169,29.0377,29.0888,28.8928,0.1534,0.157,0.0798,0.06792432131461863
428280170,29.3702,29.3709,29.3126,0.1572,0.1598,0.0948,0.0675591583065621
