detection_id,B,G,R,nB,nG,nR,Compactness
427982244,20.6659,22.6772,32.8882,0.3355,0.38,0.4892,0.06012478543760053
427982246,11.1558,12.2335,18.6804,0.1763,0.1846,0.2337,0.07099415216660818
427982247,9.1016,10.1931,15.7894,0.1595,0.1701,0.2107,0.07804894248762141
427982248,9.2862,10.0017,15.5179,0.1255,0.1294,0.169,0.08433420746488306
427982250,10.4226,11.0468,17.7638,0.1685,0.1698,0.2335,0.07953076456813789
427982251,8.4338,8.819,15.4128,0.2203,0.2302,0.3385,0.08212958633865283
427982252,8.8863,9.417,15.803,0.2129,0.2243,0.3224,0.08433420746488306
427982253,8.7405,9.4038,15.6095,0.2132,0.2329,0.3239,0.08548150399146558
427982254,7.6258,8.4187,13.752,0.2547,0.2863,0.3934,0.09105580497377844
427982256,6.6215,5.7373,9.3454,0.0,0.0,0.0128,0.09665858053229819
427982257,11.4165,11.548,16.0246,0.0858,0.0947,0.112,0.07903061153879146
427982260,14.7275,15.7855,22.2542,0.7042,0.7395,0.8134,0.05463535211139932
427982270,10.2331,10.5079,14.5056,0.6576,0.6814,0.6919,0.08055030487456037
427982271,8.3295,8.603,12.4721,0.4098,0.4293,0.4503,0.08548150399146558
427982272,7.9667,8.3238,11.8947,0.2928,0.3065,0.3249,0.08849111644335216
427982291,21.2191,22.2027,32.7725,0.3409,0.3764,0.494,0.05192625725187585
427982304,17.3536,18.6209,25.1887,0.6239,0.6705,0.7662,0.07756719641593564
427982305,17.1719,18.3495,24.9351,0.5465,0.5852,0.6663,0.07615699026400004
427982307,9.6914,10.0619,12.428,0.1204,0.1273,0.1308,0.10559216905199818
427982348,27.6335,28.4484,36.8914,0.3485,0.366,0.4255,0.059274001684944774
427982349,26.171,26.9624,35.0725,0.3527,0.3668,0.4247,0.0607056738604871
427982352,16.7793,17.2294,23.2021,0.4528,0.4735,0.5535,0.07180546030797123
427982353,15.6231,16.1109,21.5462,0.9573,0.9979,1.1179,0.07435458803139107
