detection_id,B,G,R,nB,nG,nR,Compactness
432556924,2.9313,3.7571,5.6158,0.0514,0.0665,0.0773,0.1963000700655754
432556928,8.8696,9.9226,12.3606,0.1022,0.1198,0.1367,0.12691981982432735
432556930,46.6034,51.9681,57.7446,1.1991,1.359,1.3477,0.04569528448132631
432556937,8.77,10.2384,14.0672,0.1038,0.1261,0.1425,0.08490398027194407
432556939,14.721,15.9489,19.4849,0.1552,0.1921,0.2391,0.08849111644335216
432556940,6.4793,7.4678,12.1611,0.0928,0.1121,0.155,0.10299600257653854
432556941,4.1936,5.2245,8.4123,0.0382,0.0511,0.0712,0.12821464331793822
432556943,7.5679,8.1816,12.1396,0.1404,0.1582,0.1739,0.07804894248762141
432556947,14.7059,16.8857,24.5186,0.2147,0.2529,0.3461,0.08726219508235135
432556948,14.6181,16.6851,24.0206,0.2185,0.2552,0.3465,0.09040079679516942
432556950,10.6951,12.2603,19.0319,0.2073,0.2453,0.336,0.08212958633865283
432556952,4.5292,5.2946,9.0495,0.1049,0.1259,0.1707,0.12953615542145414
432556954,9.5787,11.1518,17.6829,0.2618,0.3125,0.4317,0.09172037375316221
432556960,11.8125,13.6415,20.4817,0.1853,0.2189,0.3019,0.08787235948346774
432556962,5.4867,6.1577,9.8478,0.1024,0.1156,0.1585,0.13657449043501094
432556963,9.4917,10.9097,16.6369,0.1239,0.148,0.2098,0.1132011898318306
432556965,5.6206,6.4727,10.9765,0.1024,0.1202,0.1785,0.11853991327830876
432556967,5.7062,6.56,11.455,0.098,0.115,0.1722,0.10739689511380088
432556970,5.2314,6.1357,10.0697,0.0888,0.105,0.1463,0.12440706908215582
432556974,3.2692,3.5088,5.8532,0.0641,0.0689,0.0891,0.18751471302418415
432556976,4.0784,4.5598,8.0002,0.0996,0.1133,0.1625,0.14781870195462177
432556977,2.5381,2.8661,6.3619,0.0306,0.0355,0.061,0.115195458639996
432556979,4.8742,5.5807,11.1562,0.0534,0.062,0.0993,0.07479714303071543
432556981,3.4948,4.0826,7.094,0.0387,0.0466,0.0721,0.16978395275546265
432556982,5.8474,6.8351,11.9512,0.1131,0.1378,0.2052,0.10299600257653854
432556983,4.8424,5.2,6.2877,0.0346,0.0375,0.0397,0.1903544897796419
432556985,3.6945,3.9537,4.9239,0.025,0.0267,0.0291,0.22840111198938143
432556986,7.1185,7.6164,8.8615,0.0589,0.0639,0.0642,0.15705446369492315
432556988,10.9855,11.3693,13.112,0.0506,0.0508,0.0601,0.12821464331793822
432556989,9.5902,9.9552,11.6565,0.0459,0.0469,0.0546,0.13226261511265314
432556990,7.4661,7.8507,9.0684,0.0494,0.0561,0.05,0.15904183716398032
432556991,7.3581,7.7562,8.9354,0.0571,0.0654,0.0531,0.15904183716398032
432556997,5.5101,6.0516,7.3756,0.0574,0.062,0.0613,0.12081909724428652
432557001,3.4323,3.8982,6.0429,0.035,0.0401,0.0545,0.20262892686416292
432557002,13.4843,14.9001,19.4371,0.6155,0.6836,0.7194,0.07662132709270902
432557003,12.0842,13.1791,17.7925,0.6629,0.7212,0.7656,0.07662132709270902
432557004,21.3904,22.9782,28.1952,1.1122,1.1979,1.2311,0.06251769380643689
432557005,5.0396,5.4037,7.2256,0.43,0.4639,0.4817,0.1794818739290955
432557008,6.4201,7.0428,10.7602,0.0612,0.0708,0.0974,0.11743226366213184
432557010,6.3807,6.8712,11.2427,0.0711,0.0801,0.1136,0.09894156757337469
432557012,18.7164,20.4999,28.3129,0.1837,0.2115,0.2863,0.06829345312829196
432557018,9.2787,10.1829,15.8803,0.1344,0.1523,0.2061,0.08266986501266944
432557020,5.8764,6.5172,9.8484,0.0588,0.0646,0.0887,0.14781870195462177
432557026,3.367,3.3376,5.436,0.2046,0.2031,0.2377,0.1721088567938853
432557029,6.6748,7.5083,8.9829,0.0545,0.057,0.0595,0.11219063124580061
