detection_id,B,G,R,nB,nG,nR,Compactness
432491235,10.9515,9.6388,3.7649,0.1607,0.1393,0.0229,0.09816868357674101
432491237,5.6504,5.0451,2.9963,0.0405,0.0409,0.0171,0.11022268844923072
432491239,7.1065,6.9064,4.0032,0.0747,0.0705,0.0223,0.08606693785815557
432491242,6.7004,8.0815,3.9633,0.034,0.0396,0.015,0.08726219508235135
432491243,6.4929,6.7684,3.8348,0.0344,0.0355,0.0188,0.08911864874469005
432491244,5.1701,6.2848,3.8862,0.0433,0.0475,0.019,0.08911864874469005
432491247,4.3816,5.7774,3.8341,0.0327,0.0418,0.0181,0.09105580497377844
432491255,0.2655,1.9632,5.3557,0.0004,0.0668,0.0213,0.06012478543760053
432491256,0.828,3.1701,6.9661,0.0016,0.0312,0.0286,0.046541470193173916
432491257,0.6598,3.1236,5.68,0.002,0.0394,0.0252,0.05686023067241032
432491258,0.5783,0.9052,4.4117,0.0142,0.0398,0.0407,0.07391723900466864
432491260,0.4953,0.8778,3.7016,0.0072,0.0253,0.0222,0.08911864874469005
432491262,8.076,9.0044,3.6759,0.0745,0.0751,0.0202,0.09239471398211957
432491263,7.6097,8.3751,3.3661,0.1083,0.105,0.0194,0.10133499999681532
432491264,6.4317,7.1007,3.0442,0.0593,0.0604,0.0154,0.1132011898318306
432491265,0.7965,3.992,4.041,0.0,0.0471,0.0156,0.07953076456813789
432491266,0.7814,3.8623,4.0497,0.0,0.0414,0.0156,0.07953076456813789
432491267,0.4622,2.5675,3.3771,0.0,0.0404,0.013,0.09519422993221213
432491278,8.0371,17.6325,6.8399,0.1284,0.2396,0.0588,0.07139750161301212
432491282,20.8081,27.1931,8.0529,0.3854,0.5087,0.0937,0.06579069379816853
432491285,9.4577,11.9981,9.3484,0.1429,0.1754,0.0584,0.04986575853700407
432491287,16.155,18.3489,5.6941,0.1703,0.1816,0.0355,0.07435458803139107
432491290,1.1037,2.8292,5.4702,0.0161,0.0419,0.0332,0.0752449975094086
432491291,12.0161,14.1647,8.7303,0.068,0.0881,0.0387,0.04671448198421
432491303,8.1263,10.6852,4.9969,0.0688,0.083,0.0255,0.07099415216660818
432491304,10.1548,13.1229,5.3869,0.0058,0.0064,0.0167,0.07615699026400004
432491305,11.5173,15.2059,6.7524,0.0827,0.1,0.0323,0.05790830079919458
432491306,5.9184,9.077,5.1016,0.0694,0.0869,0.0258,0.07180546030797123
432491307,3.1849,3.4157,2.8033,0.0039,0.0047,0.0107,0.11634512054520679
432491308,3.0277,3.5094,3.058,0.0006,0.0007,0.0118,0.10648688664370398
432491309,3.6057,3.9529,3.2762,0.0089,0.0087,0.0147,0.10559216905199818
432491310,3.346,4.0285,3.2409,0.0119,0.0147,0.015,0.10471236017896915
432491311,3.6891,4.6598,3.3741,0.0124,0.0136,0.0148,0.10299600257653854
432491312,3.1156,3.9658,3.0776,0.0139,0.0144,0.0154,0.10926437976474195
432491314,2.8803,3.914,3.0187,0.0214,0.0209,0.0164,0.11219063124580061
432491322,8.551,10.2847,6.3003,0.0701,0.1023,0.0292,0.05790830079919458
432491329,6.0751,10.1776,4.8755,0.0068,0.01,0.0194,0.07139750161301212
432491332,5.0386,5.8549,3.6705,0.0576,0.0585,0.0171,0.09172037375316221
432491333,5.1285,5.685,3.7307,0.0161,0.0159,0.0144,0.09040079679516942
432491334,8.0475,8.3195,4.1788,0.028,0.0263,0.0163,0.08321729873508964
432491345,0.9929,3.0766,5.8744,0.0015,0.0793,0.0282,0.05487392523583279
432491349,1.8277,3.5127,4.9326,0.0022,0.0531,0.0197,0.0661369411690469
432491350,1.3211,2.7272,4.5972,0.0021,0.0469,0.0184,0.07020097205976435
432491351,0.9221,3.1045,4.6242,0.0,0.0647,0.0178,0.06981099120988524
432491352,0.5703,2.2657,3.6927,0.0,0.0223,0.0143,0.08666044549832956
432491357,2.3897,6.4029,6.5443,0.0292,0.1095,0.0428,0.07435458803139107
432491358,2.2228,6.0279,6.3093,0.0505,0.1416,0.063,0.07569824722699373
432491359,0.949,3.4663,4.5721,0.0119,0.092,0.0244,0.08666044549832956
432491360,16.3,24.7044,8.7225,0.2934,0.4435,0.0938,0.06792432131461863
432491364,7.0361,7.8352,3.5461,0.0415,0.0426,0.0141,0.10133499999681532
432491365,6.9565,7.1357,3.4298,0.0798,0.077,0.0178,0.10133499999681532
432491366,7.0774,6.7878,3.5205,0.042,0.0383,0.0155,0.09740778003073822
432491367,6.661,6.6915,3.615,0.0502,0.0514,0.0178,0.09592081711552267
432491368,6.3795,6.1752,3.4665,0.0673,0.0667,0.02,0.10299600257653854
432491369,6.2317,5.8719,3.3135,0.078,0.078,0.0139,0.10471236017896915
432491370,7.312,7.6576,3.6925,0.0589,0.0584,0.0176,0.09665858053229819
432491371,8.2082,9.236,4.2447,0.0578,0.06,0.0177,0.09040079679516942
432491373,8.915,9.1505,4.0142,0.1114,0.1164,0.0219,0.1038470904936626
432491374,8.8871,8.8777,3.9851,0.1162,0.1171,0.0231,0.10299600257653854
432491388,14.1013,17.3383,7.2018,0.2418,0.318,0.0442,0.05635029433027713
432491389,12.5743,15.731,6.0194,0.1515,0.1763,0.0293,0.06444121395927624
432491390,12.732,15.7629,6.0649,0.1559,0.1848,0.0297,0.06411244968272661
