detection_id,B,G,R,nB,nG,nR,Compactness
273080286,10.8283,15.0948,14.687,0.2444,0.3465,0.2266,0.06904388481989716
273080287,10.6156,14.9621,14.1336,0.1985,0.2783,0.1871,0.07348500463068167
273080288,11.1789,14.9641,13.7511,0.3886,0.4878,0.3212,0.07953076456813789
273080289,11.1425,14.9338,13.7492,0.422,0.5369,0.354,0.07953076456813789
273080290,7.6938,11.0769,11.7556,0.2827,0.4219,0.3383,0.09172037375316221
273080291,7.6281,11.1108,11.8257,0.3282,0.507,0.4149,0.09239471398211957
273080292,7.6901,11.1242,11.8058,0.3246,0.5034,0.4104,0.09239471398211957
273080293,7.5318,11.0009,11.6994,0.3473,0.5446,0.4473,0.09307904275505513
273080294,7.5246,10.9908,11.6644,0.3477,0.5446,0.4471,0.0937735836449438
273080295,7.4853,10.9303,11.6214,0.3481,0.5446,0.4473,0.0937735836449438
273080296,7.4552,10.8892,11.6102,0.3481,0.5445,0.4474,0.09307904275505513
273080297,7.4336,10.8769,11.6,0.3451,0.538,0.4417,0.09307904275505513
273080298,6.3942,9.8145,10.5616,0.1855,0.3118,0.2164,0.1038470904936626
273080299,6.2605,9.7524,10.4422,0.1944,0.3306,0.2322,0.10471236017896915
273080300,6.259,9.7519,10.4429,0.1944,0.3307,0.2321,0.10471236017896915
273080301,6.2498,9.7388,10.4367,0.1944,0.3307,0.2321,0.10471236017896915
273080302,6.4085,9.8403,10.624,0.1801,0.3016,0.2153,0.1038470904936626
273080303,6.3287,9.7177,10.4452,0.1703,0.2882,0.2064,0.10739689511380088
273080304,6.3287,9.7177,10.4452,0.1703,0.2882,0.2064,0.10739689511380088
273080305,6.3287,9.7177,10.4452,0.1703,0.2882,0.2064,0.10739689511380088
273080306,6.1879,9.5364,10.3187,0.1703,0.2872,0.2064,0.10739689511380088
273080307,6.1758,9.5124,10.2998,0.1697,0.2859,0.2054,0.10739689511380088
273080332,11.6581,27.3204,27.8753,0.6029,1.2393,1.0254,0.04927912092245134
273080334,13.0608,30.9713,31.8705,0.6609,1.3599,1.1334,0.044879318492720414
273080336,18.8506,41.9771,38.7632,0.9432,1.9231,1.517,0.04520218287170602
273080337,2.995,20.9943,24.7387,0.002,0.0038,0.0334,0.04106612917780369
273080339,20.0533,43.4128,40.3535,0.9605,1.987,1.5243,0.042310529255340984
273080340,2.2627,20.2032,23.9532,0.0,0.0,0.029,0.0430350075951413
273080350,7.8825,12.0154,13.8942,0.0056,0.0729,0.0649,0.07756719641593564
273080351,8.1243,12.2497,14.0356,0.0058,0.0737,0.0652,0.07804894248762141
273080352,8.8117,13.487,14.8236,0.0154,0.0934,0.0786,0.07953076456813789
273080354,7.8537,12.0231,13.1174,0.0311,0.1067,0.0824,0.08975514439115811
273080358,14.363,30.4439,38.3187,0.215,0.4677,0.4199,0.04133629519476816
273080359,1.8222,16.4678,28.9572,0.0576,0.1015,0.13,0.0404059159192194
273080360,1.6934,16.6465,29.1456,0.0312,0.0568,0.0896,0.040536254848845585
273080361,10.2431,29.042,34.0014,0.1424,0.4958,0.4725,0.040536254848845585
273080363,4.1563,24.1954,39.3434,0.132,0.2104,0.225,0.04001988008125082
273080364,16.7241,44.6856,48.2233,0.2196,0.7496,0.6898,0.03976659483909075
273080365,8.4435,30.8895,34.9929,0.1132,0.2041,0.1793,0.038784722731202766
273080367,2.9896,24.4527,40.263,0.0434,0.0684,0.0942,0.03785016842433463
273080368,15.8657,41.63,44.8833,0.2266,0.7672,0.7123,0.04456103357379679
273080370,3.1927,17.3859,29.6156,0.1014,0.1396,0.1395,0.04759920052280796
273080371,11.9986,31.5695,33.9243,0.1791,0.577,0.5238,0.05235896091135454
273080373,2.7974,15.3201,25.7363,0.0298,0.0413,0.0572,0.05302170881884524
273080374,2.4116,7.9588,10.9473,0.1102,0.3027,0.31,0.10832258979485408
273080375,7.562,10.6163,11.2168,0.1278,0.2042,0.1514,0.09592081711552267
273080376,7.94,11.2089,11.9158,0.3384,0.5003,0.388,0.09592081711552267
273080377,8.0638,11.3145,11.99,0.4074,0.5999,0.4712,0.09740778003073822
273080378,7.5639,10.6401,11.2635,0.3169,0.4622,0.3618,0.1021587506273488
273080397,52.7557,44.2625,30.289,1.1923,0.9435,0.402,0.03222125017923064
273080398,5.4275,18.477,28.4169,0.1253,0.2832,0.2749,0.03359967992684208
273080399,45.951,38.682,26.7297,0.9388,0.7571,0.3254,0.034713464607924294
273080400,5.9488,18.4602,27.0798,0.201,0.4723,0.4352,0.034906314196356196
273080402,37.4192,32.7593,21.9767,0.6173,0.5169,0.2182,0.04245346694193159
273080403,3.1447,13.9043,21.6143,0.1072,0.2522,0.2361,0.04471960971181389
273080405,33.6682,29.2367,20.3792,0.5789,0.4832,0.2055,0.043331793643939145
273080406,4.4164,12.4229,16.381,0.1251,0.2927,0.2508,0.05635029433027713
273080408,29.4274,26.1746,16.8258,0.4413,0.379,0.1524,0.05686023067241032
273080409,4.3397,12.2093,16.1352,0.1244,0.2916,0.2498,0.05686023067241032
273080411,29.0615,24.4729,14.688,0.6713,0.5334,0.2221,0.08055030487456037
273080412,4.684,12.3346,14.6365,0.148,0.339,0.285,0.07804894248762141
273080413,28.6956,23.8634,14.7203,0.7168,0.5672,0.2413,0.07804894248762141
273080414,4.1451,11.5343,13.9075,0.1264,0.2859,0.238,0.08106994029334431
273080433,16.0804,13.5543,12.0365,0.3696,0.283,0.1295,0.05983849013957345
273080434,3.4875,7.2776,11.9989,0.0,0.0,0.0209,0.0595549083537657
273080435,15.0337,12.7209,11.8538,0.3441,0.2684,0.1256,0.05686023067241032
273080442,2.9876,6.9556,12.5489,0.0,0.0,0.0267,0.04671448198421
273080443,11.8091,10.6606,12.1712,0.2813,0.2527,0.1403,0.046199262889625364
273080448,21.9087,24.7321,21.3135,0.5254,0.5786,0.2819,0.03529851376697597
273080449,21.5135,24.2962,20.5575,0.4629,0.5222,0.2511,0.03739957928443719
273080450,20.8085,23.3326,19.4176,0.4689,0.5244,0.2518,0.040536254848845585
273080451,26.5819,21.9678,18.2199,1.6675,1.3116,0.5978,0.040536254848845585
273080452,20.6895,23.1449,19.2124,0.4517,0.4979,0.2332,0.0406674373693737
273080463,17.9003,18.9125,16.0147,0.4385,0.4736,0.2015,0.04671448198421
273080464,4.6479,10.5385,16.8201,0.0,0.0,0.0266,0.04688878485347726
273080465,17.6617,18.704,16.0058,0.4203,0.4542,0.1946,0.04636973518878762
273080466,4.3602,10.0135,16.2702,0.0,0.0,0.0269,0.04636973518878762
273080467,17.556,18.561,15.8483,0.3914,0.4225,0.1815,0.04671448198421
273080468,4.2127,9.6555,15.7208,0.0,0.0,0.026,0.047962542530693694
273080469,16.3408,17.118,14.2854,0.2827,0.3004,0.1219,0.05324636892277132
273080470,4.0094,9.1921,14.6923,0.0,0.0,0.0235,0.05302170881884524
273080471,16.2749,17.0484,14.2617,0.2825,0.2996,0.1231,0.05324636892277132
273080472,3.9554,9.0563,14.5572,0.0,0.0,0.0236,0.05279893651282317
273080473,15.5286,16.2367,13.9496,0.2672,0.2828,0.118,0.05235896091135454
273080474,4.0657,9.1821,14.8412,0.0,0.0,0.0238,0.05235896091135454
273080475,15.4155,16.113,13.8759,0.2638,0.2862,0.1134,0.05235896091135454
273080476,3.911,8.4754,11.9649,0.0,0.0,0.0186,0.06684048540909966
273080477,11.7901,12.1062,10.3271,0.4901,0.4997,0.2255,0.06684048540909966
273080478,3.8451,8.367,11.8432,0.0,0.0,0.0184,0.0675591583065621
273080479,11.6403,11.9751,10.1996,0.4665,0.4761,0.2163,0.0675591583065621
273080480,3.2522,7.0653,10.9011,0.0,0.0,0.0198,0.06283026644890574
273080481,7.4397,7.5468,8.8141,0.3528,0.363,0.1817,0.0607056738604871
273080499,25.3176,26.2796,19.2028,0.5268,0.5488,0.2286,0.04552972625896745
273080500,6.6408,16.728,22.7354,0.0,0.0,0.0272,0.04586205110904071
273080501,22.4713,23.7688,17.4484,0.5992,0.6209,0.2701,0.05279893651282317
273080502,22.1785,23.4739,17.5948,0.6194,0.643,0.285,0.05046653131091824
273080503,22.1007,23.4009,17.5374,0.6135,0.6377,0.2822,0.050670018704328156
273080504,22.2608,23.3874,17.4856,0.5045,0.5182,0.2176,0.050670018704328156
273080505,22.1078,23.4461,17.2115,0.63,0.6644,0.2836,0.05108195634991484
