detection_id,B,G,R,nB,nG,nR,Compactness
432279499,1.4002,1.8414,4.5065,0.0,0.0014,0.0131,0.09447856694680049
432279500,1.3811,4.865,4.4711,0.0049,0.0251,0.017,0.09105580497377844
432279503,2.3848,8.0096,6.0952,0.0517,0.1146,0.0678,0.08606693785815557
432279505,1.6376,4.0157,4.1481,0.0356,0.0527,0.0415,0.11423011752805243
432279509,1.304,2.0725,4.656,0.0,0.0037,0.0141,0.08787235948346774
432279510,1.4617,5.3737,4.8105,0.023,0.0476,0.0332,0.08726219508235135
432279561,0.6353,2.738,3.2291,0.0009,0.0114,0.0115,0.12199187159268324
432279568,0.6216,2.6172,3.1425,0.0079,0.0232,0.0175,0.1256508846247525
432279575,0.3932,4.1013,4.0916,0.0,0.0175,0.0149,0.08548150399146558
432279589,0.501,1.7079,2.5486,0.0,0.005,0.0082,0.1495779344429456
432279590,1.3985,2.0092,3.2211,0.0296,0.0404,0.0321,0.15322506464696445
432279645,2.5283,2.591,3.7822,0.011,0.0117,0.0155,0.224325293611701
432279646,3.7395,3.7713,5.0568,0.0349,0.0354,0.0369,0.20262892686416292
432279647,3.8614,3.8846,5.2451,0.0519,0.0532,0.0535,0.19328157927359077
432279648,4.5568,4.5446,6.0936,0.0722,0.0711,0.0719,0.16978395275546265
