detection_id,B,G,R,nB,nG,nR,Compactness
433026396,9.5197,13.1955,15.0201,0.0501,0.0847,0.0362,0.047419586082077345
433026401,15.0793,23.6838,23.9636,0.4595,0.7422,0.6302,0.07479714303071543
433026403,12.3382,19.5774,19.901,0.3458,0.5722,0.4709,0.08548150399146558
433026404,9.3733,12.7751,12.9997,0.0521,0.112,0.0653,0.08726219508235135
433026407,27.6791,43.9936,42.172,0.4787,0.8307,0.6957,0.046199262889625364
433026408,26.4595,38.8721,35.2508,0.5909,0.9171,0.6426,0.043784728166320654
433026409,16.5723,26.3918,25.6973,0.2577,0.4462,0.3533,0.0607056738604871
433026410,13.2365,19.3149,18.5416,0.1511,0.2704,0.191,0.07569824722699373
433026411,16.5039,25.4,24.084,0.2672,0.4642,0.3632,0.06719790044098876
433026413,11.2496,16.0916,15.2843,0.1194,0.2184,0.1494,0.08666044549832956
433026414,10.8839,15.5433,15.2833,0.114,0.2072,0.1435,0.07953076456813789
433026415,9.7537,14.0554,14.0146,0.2037,0.3271,0.2382,0.0815963233535219
433026416,8.9219,12.9097,14.0903,0.1016,0.1844,0.1327,0.06579069379816853
433026417,10.7138,15.5727,15.5236,0.157,0.2721,0.1899,0.06904388481989716
433026418,10.8907,15.6679,15.4107,0.1675,0.2803,0.1933,0.07139750161301212
433026419,10.6955,15.3041,15.0438,0.1241,0.2136,0.1476,0.07305779571290515
433026420,10.2713,14.6594,13.799,0.1619,0.2689,0.1839,0.08975514439115811
433026421,9.3944,13.8325,13.2434,0.1107,0.1973,0.1316,0.08787235948346774
433026422,9.5289,13.9359,13.5129,0.1611,0.269,0.1848,0.08433420746488306
433026423,14.7792,21.9889,15.833,0.4981,0.7873,0.4086,0.07756719641593564
433026424,14.6584,21.9466,15.4548,0.6257,0.965,0.4855,0.07615699026400004
433026425,17.8066,28.9471,21.8965,0.5101,0.7792,0.4316,0.05192625725187585
433026426,13.0395,21.7802,17.6227,0.7073,1.1766,0.6536,0.05487392523583279
433026427,16.7404,24.8465,18.7273,0.4933,0.7439,0.4275,0.06100034753906654
433026428,18.2186,28.1927,20.9342,0.5492,0.8363,0.4855,0.05370144932732833
433026429,20.0397,32.48,23.4242,0.37,0.6151,0.369,0.05192625725187585
433026430,16.7938,31.3444,23.5452,0.4257,0.8697,0.4959,0.04870612541107282
433026431,16.5278,30.862,23.0473,0.3234,0.7292,0.4017,0.05006442052760694
433026432,13.7887,24.6947,18.5312,0.2774,0.5752,0.2973,0.05737948033237819
433026433,16.0377,27.5921,20.9981,0.3441,0.6605,0.3445,0.05046653131091824
433026435,21.9732,33.7053,23.9522,0.475,0.7639,0.3918,0.05347294092237722
433026436,25.3915,39.0309,27.7147,0.7139,1.1168,0.6117,0.04851807655625124
433026437,25.566,39.8991,28.0901,0.7643,1.1877,0.6416,0.048331474165630606
433026438,35.8971,55.9289,40.863,1.1516,1.8163,1.0341,0.03452273419695088
433026439,36.7186,60.2084,41.0872,1.0172,1.6699,0.9201,0.038784722731202766
433026441,38.0695,58.9143,40.1986,1.2853,2.0058,1.0998,0.04079947169724779
433026442,30.5735,47.9939,32.9447,0.9632,1.5517,0.872,0.05214171140333059
433026443,30.4375,46.6433,31.9975,1.0077,1.5293,0.8192,0.05370144932732833
433026444,25.5041,38.331,27.8195,1.2109,1.8004,0.989,0.051712576293637055
433026445,22.4491,34.5453,24.9457,1.0713,1.6509,0.8998,0.06041383338136221
433026446,23.1967,35.681,25.2051,0.7019,1.0867,0.564,0.06100034753906654
433026447,19.9775,30.5964,21.6944,0.6913,1.0463,0.5515,0.06346488289866778
433026448,14.9644,21.6166,16.4861,0.3882,0.5813,0.3133,0.06314598028335774
433026450,6.1585,9.4837,8.9964,0.0,0.0,0.0147,0.08433420746488306
433026452,6.8781,8.8127,6.637,0.1663,0.2155,0.1077,0.10926437976474195
433026453,14.2291,18.4237,12.9468,0.1964,0.2568,0.1371,0.06866661880204716
433026454,14.7771,18.6968,13.1968,0.3972,0.4667,0.228,0.06866661880204716
433026455,13.659,22.6842,19.2083,0.122,0.2142,0.1712,0.0541643755046309
