detection_id,B,G,R,nB,nG,nR,Compactness
428143453,6.5717,8.9965,16.9611,0.044,0.0854,0.134,0.05584942297118333
428143454,3.5725,5.1517,8.7373,0.0,0.0,0.0158,0.07853670966610296
428143519,36.3006,45.1086,42.1033,1.8772,2.2438,1.4403,0.05108195634991484
428143522,20.9364,26.4255,28.0911,0.2504,0.3231,0.2253,0.05764267775279962
428143535,18.2713,19.5715,17.7298,0.3026,0.3403,0.249,0.09816868357674101
428143536,17.4445,18.5488,17.3382,0.3171,0.3451,0.2729,0.09740778003073822
428143537,17.4681,18.5245,18.0492,0.3778,0.403,0.3242,0.0937735836449438
428143538,16.7349,17.9264,18.4786,0.5597,0.5912,0.4998,0.08787235948346774
428143539,16.3703,17.6884,18.4307,0.5669,0.6038,0.5218,0.08548150399146558
428143540,19.9728,21.9697,20.9598,1.5253,1.6974,1.2816,0.08106994029334431
428143541,20.2422,22.3567,21.0898,1.1739,1.3099,0.9877,0.08106994029334431
428143543,19.1044,21.0879,19.7481,0.7353,0.8133,0.6356,0.08212958633865283
428143544,18.4537,20.4136,18.9766,0.7488,0.839,0.6313,0.08321729873508964
428143545,17.5995,19.612,18.0072,0.4238,0.4814,0.3634,0.08321729873508964
428143548,17.5137,19.5117,17.7026,0.261,0.2937,0.2261,0.08666044549832956
428143550,16.2434,18.0541,16.6593,0.5096,0.5645,0.4257,0.08666044549832956
428143551,21.7323,24.2842,19.9135,0.3179,0.358,0.2335,0.08666044549832956
428143552,14.4949,15.9444,15.1687,0.326,0.3633,0.2701,0.08787235948346774
428143553,19.631,21.8625,18.32,0.3805,0.4266,0.2905,0.08911864874469005
428143554,9.0129,9.7573,10.4428,0.3321,0.3497,0.2788,0.09816868357674101
428143555,10.5954,11.6333,11.9242,0.4351,0.4638,0.3565,0.08606693785815557
428143556,10.7123,11.6204,12.1315,0.3729,0.4023,0.3112,0.08911864874469005
428143557,10.2,10.9633,11.6542,0.3588,0.3843,0.2982,0.09239471398211957
428143558,8.6871,9.356,10.4544,0.4666,0.4978,0.3924,0.0937735836449438
428143560,12.4197,14.006,14.3662,0.341,0.3682,0.286,0.06981099120988524
428143561,8.7966,9.649,12.2156,0.2638,0.2838,0.2301,0.06159836113714365
