detection_id,B,G,R,nB,nG,nR,Compactness
428619409,2.1167,3.6735,10.4647,0.0069,0.0085,0.0305,0.0675591583065621
428619426,16.4207,13.635,18.314,0.3616,0.2975,0.3025,0.06346488289866778
428619432,7.1073,6.0285,11.1488,0.0541,0.0457,0.0696,0.0815963233535219
428619435,88.2257,83.4869,83.2697,0.4562,0.4392,0.4395,0.03631868507741698
428619438,5.6345,6.201,14.1354,0.3756,0.3832,0.4845,0.04688878485347726
428619474,7.1089,8.1121,23.7966,0.0065,0.0075,0.0523,0.029021485633084727
428619485,6.1083,6.3494,12.0497,0.064,0.0665,0.1053,0.08321729873508964
428619486,9.9266,10.3301,18.917,0.0503,0.0534,0.0919,0.058176383157876974
428619487,13.6498,14.5556,25.7688,0.0473,0.0465,0.0846,0.050875153686925724
428619488,12.7574,14.1117,25.9796,0.0436,0.0467,0.0928,0.049086630312145024
428619493,13.8381,15.2059,22.3254,0.1476,0.1704,0.243,0.06829345312829196
428619494,18.7814,20.7333,29.6992,0.1764,0.2159,0.3042,0.05737948033237819
