detection_id,B,G,R,nB,nG,nR,Compactness
428391828,5.2814,4.4764,8.9571,0.0103,0.0078,0.0253,0.0686496172451103
428391876,10.4845,14.9417,23.6315,0.0391,0.0391,0.0952,0.08490398027194407
428391880,10.3042,14.6262,23.235,0.0398,0.041,0.0965,0.08490398027194407
428391883,3.5335,3.6839,7.6921,0.0029,0.002,0.0177,0.08266986501266944
428391973,9.9155,26.2134,62.8726,0.1334,0.525,1.5173,0.03539565586592322
428392016,19.9828,24.6661,34.4154,0.2287,0.3307,0.481,0.07348500463068167
428392018,17.4233,15.4458,23.4185,0.0565,0.0561,0.0769,0.06159836113714365
428392022,25.1435,33.9389,46.5168,0.2712,0.4164,0.6044,0.06159836113714365
428392024,17.5284,15.5335,23.5222,0.0565,0.0558,0.0767,0.06159836113714365
428392027,22.5503,31.2838,46.091,0.2328,0.3601,0.5456,0.06159836113714365
428392034,22.322,30.8498,45.9546,0.2904,0.4161,0.6319,0.06159836113714365
428392042,22.1,30.4539,45.3077,0.2221,0.3113,0.4833,0.06159836113714365
428392049,22.0043,33.0303,50.0238,0.2964,0.4617,0.6889,0.0539319190680174
428392050,9.1095,17.705,25.5749,0.1203,0.3334,0.4287,0.0541643755046309
428392096,3.8658,4.3101,8.9442,0.0,0.0,0.0177,0.07020097205976435
428392097,12.4385,16.582,29.7394,0.1877,0.3316,0.6639,0.07059533429497317
428392136,25.494,48.0128,79.9341,0.386,0.876,1.5865,0.03368975819406328
428392166,20.7213,22.0671,31.1654,0.1696,0.1823,0.2582,0.08055030487456037
428392171,18.6102,20.1418,30.0086,0.2467,0.2781,0.4171,0.08212958633865283
428392174,22.6693,20.9362,30.0219,0.2061,0.2089,0.2731,0.08212958633865283
428392177,17.9054,19.9931,29.5325,0.2288,0.2655,0.39,0.08266986501266944
428392180,22.9606,21.0184,29.9904,0.142,0.1427,0.1846,0.08212958633865283
428392184,18.488,19.6889,29.7452,0.1986,0.2151,0.3316,0.08266986501266944
428392187,22.9676,20.3604,29.8832,0.1516,0.1529,0.2029,0.08106994029334431
428392188,23.4129,21.4933,28.4252,0.1783,0.17,0.1997,0.08106994029334431
428392191,16.9685,18.1228,28.6409,0.2779,0.2976,0.4643,0.08106994029334431
428392197,20.9185,25.7006,42.0624,0.2536,0.3493,0.6464,0.06648685222060789
428392209,5.7002,14.5137,34.6037,0.0861,0.2345,0.5527,0.048140503976046946
428392215,16.155,27.345,51.7099,0.309,0.5272,1.0219,0.048331474165630606
428392221,18.3186,29.4258,53.0175,0.3338,0.5821,1.1734,0.04759920052280796
428392224,14.9325,15.1303,37.0465,0.1946,0.2008,0.6033,0.04759920052280796
428392228,19.0857,29.5671,54.6972,0.343,0.5832,1.1891,0.047419586082077345
