detection_id,B,G,R,nB,nG,nR,Compactness
432535402,5.8087,4.4316,3.8636,0.0154,0.0114,0.0155,0.09307904275505513
432535403,5.3663,4.143,3.0434,0.0146,0.0109,0.0129,0.11634512054520679
432535404,12.5448,9.2604,7.3077,0.0579,0.0239,0.0229,0.06411244968272661
432535408,6.1492,6.9681,4.6421,0.1068,0.0922,0.0404,0.08787235948346774
432535410,7.9509,7.2317,4.41,0.0345,0.0284,0.0238,0.0815963233535219
432535412,11.0541,8.5044,5.3518,0.0847,0.0704,0.0391,0.07139750161301212
432535413,13.8028,8.3748,6.2468,0.0652,0.0427,0.0303,0.05844695914181379
432535448,6.6269,10.2838,6.3376,0.0238,0.0455,0.0368,0.07804894248762141
432535449,6.2564,8.7077,5.4099,0.0071,0.0127,0.0199,0.08321729873508964
432535450,4.7343,7.0696,4.5815,0.0038,0.0076,0.017,0.08911864874469005
432535451,4.886,6.5881,4.6141,0.0214,0.0271,0.025,0.08433420746488306
432535452,4.8438,6.0549,3.9362,0.0368,0.0324,0.0174,0.09239471398211957
432535453,5.2013,5.7932,4.1823,0.0283,0.0301,0.0235,0.08849111644335216
432535454,5.5916,5.8412,5.0314,0.0711,0.0707,0.0385,0.07615699026400004
432535455,13.9156,12.9304,7.1076,0.4343,0.3919,0.1127,0.09307904275505513
432535458,11.9168,9.6957,4.8465,0.1187,0.0957,0.0315,0.10299600257653854
432535459,10.5439,8.8201,4.6576,0.1437,0.1163,0.0341,0.10559216905199818
432535460,12.0374,10.2387,5.6384,0.227,0.1875,0.0563,0.09894156757337469
432535461,5.6378,4.5458,3.6741,0.0135,0.0104,0.0149,0.09592081711552267
432535462,5.8822,4.3062,3.6406,0.0145,0.0111,0.0154,0.09519422993221213
432535463,8.284,5.9549,4.2544,0.0341,0.0241,0.0195,0.08787235948346774
432535465,2.5963,11.1706,6.1541,0.0086,0.0443,0.0274,0.06544805286939072
432535466,4.2218,14.6026,7.5858,0.0168,0.0615,0.033,0.05872006370526449
432535469,10.5715,7.4458,4.2137,0.1024,0.0758,0.0277,0.09740778003073822
432535475,3.8596,3.4803,3.5304,0.0,0.0,0.013,0.09519422993221213
432535482,2.9631,4.7362,3.9164,0.0043,0.0085,0.015,0.0937735836449438
432535510,4.825,11.4814,7.262,0.0631,0.1378,0.0814,0.06719790044098876
432535511,3.4034,9.4086,7.0102,0.024,0.061,0.0433,0.09447856694680049
432535513,11.4017,19.0523,14.2783,0.2432,0.4789,0.2331,0.07348500463068167
432535515,12.1488,20.4047,13.9606,0.2218,0.459,0.1999,0.07662132709270902
432535525,5.1504,4.7804,3.5444,0.0,0.0,0.0137,0.09040079679516942
432535527,7.3789,5.52,4.3102,0.0042,0.0033,0.0165,0.0815963233535219
432535528,6.4029,4.3116,3.1877,0.0086,0.0061,0.0127,0.10648688664370398
432535529,6.2745,14.4536,8.7901,0.139,0.4199,0.1671,0.10299600257653854
432535532,18.7458,26.8923,18.7603,0.2471,0.4438,0.225,0.0752449975094086
432535533,18.9632,29.4864,19.0567,0.3516,0.6469,0.3176,0.09105580497377844
432535539,15.7381,23.3003,13.5073,0.4296,0.6385,0.2709,0.09740778003073822
432535540,17.3566,25.9351,14.867,0.3979,0.6222,0.2653,0.0937735836449438
432535543,20.1226,27.9833,22.9207,0.1827,0.3188,0.2147,0.08726219508235135
432535546,14.8128,22.5076,17.7857,0.1047,0.1684,0.1187,0.08606693785815557
432535548,18.6942,23.901,21.8966,0.148,0.2346,0.1561,0.09592081711552267
432535552,18.6761,23.7221,13.6538,0.3094,0.4685,0.1914,0.08548150399146558
432535554,23.7708,30.1276,17.052,0.3434,0.5044,0.1931,0.077091360650504
432535555,20.8579,33.436,21.0679,0.4206,0.6852,0.3212,0.06719790044098876
432535556,22.8918,31.8479,17.6826,0.4169,0.641,0.2511,0.08212958633865283
432535558,20.8937,29.3618,15.0451,0.4551,0.6751,0.2339,0.08726219508235135
432535559,8.797,22.5171,12.7213,0.0543,0.2538,0.0911,0.08787235948346774
432535561,9.0309,20.2175,12.0352,0.0647,0.2629,0.092,0.09665858053229819
432535562,11.5699,25.974,14.7294,0.1736,0.497,0.1779,0.08726219508235135
432535563,11.0668,26.2266,14.9252,0.2146,0.5712,0.219,0.0815963233535219
432535564,16.2065,30.2364,17.689,0.2791,0.6921,0.2899,0.08726219508235135
432535565,19.2875,29.7285,19.2572,0.2917,0.4964,0.2267,0.077091360650504
432535566,16.6956,26.6648,17.8451,0.1971,0.4015,0.1839,0.08490398027194407
432535567,11.161,18.2288,12.159,0.1315,0.2564,0.1081,0.10133499999681532
432535570,12.4578,25.3948,14.4773,0.2974,0.6346,0.2429,0.08433420746488306
432535571,12.6975,25.7194,14.7088,0.2333,0.4936,0.1951,0.08321729873508964
432535572,12.9451,28.6292,16.2206,0.2691,0.5844,0.2276,0.07756719641593564
432535573,13.3378,29.9942,16.7039,0.3164,0.6571,0.2554,0.07756719641593564
432535574,11.9574,24.723,15.0354,0.3541,0.6415,0.2547,0.06378702284985524
432535575,18.4581,22.6363,17.3323,0.2326,0.3493,0.1988,0.09592081711552267
432535577,18.99,23.4444,17.8007,0.216,0.3168,0.1928,0.10133499999681532
432535578,21.2564,27.2213,20.5452,0.2045,0.3452,0.2119,0.09740778003073822
432535579,21.9922,28.5609,21.2854,0.1844,0.3102,0.1923,0.09740778003073822
432535580,22.5057,28.7673,20.9028,0.2604,0.4066,0.2371,0.09447856694680049
432535581,20.964,30.1773,20.2341,0.3124,0.5468,0.2889,0.09816868357674101
432535582,18.819,29.5529,18.9962,0.343,0.6294,0.2994,0.06981099120988524
432535583,19.6348,31.8351,19.6604,0.3829,0.7084,0.3279,0.0752449975094086
432535584,17.0262,30.5037,17.7628,0.3729,0.699,0.3104,0.08377203058083679
432535585,14.2935,24.962,15.2252,0.3214,0.5835,0.2618,0.08490398027194407
432535586,14.8558,25.8741,15.4924,0.4841,0.8066,0.3521,0.08548150399146558
432535587,13.9311,26.578,14.8652,0.3708,0.6934,0.285,0.0937735836449438
432535588,11.9156,26.1534,14.1702,0.1289,0.3999,0.1269,0.0937735836449438
432535589,13.0534,26.6925,14.4265,0.0857,0.305,0.0934,0.08433420746488306
432535590,18.719,23.189,12.0283,0.4867,0.6145,0.1656,0.07348500463068167
432535591,12.4964,26.9617,15.4783,0.2242,0.5776,0.2168,0.07139750161301212
432535593,8.2279,15.4137,9.355,0.164,0.3183,0.1174,0.09040079679516942
432535594,12.0696,15.2513,8.6823,0.4331,0.52,0.1545,0.09105580497377844
432535595,15.1077,18.0482,9.2223,0.6912,0.7314,0.1916,0.09592081711552267
432535596,7.7848,19.2154,10.948,0.1975,0.5151,0.2038,0.09592081711552267
432535597,11.8122,21.3353,12.9119,0.221,0.4251,0.1928,0.09740778003073822
432535598,14.5881,24.9297,15.9794,0.2677,0.5112,0.2482,0.08911864874469005
432535599,14.537,26.5356,16.5404,0.2728,0.5776,0.2896,0.08787235948346774
432535600,14.8592,29.7997,17.3354,0.3006,0.6587,0.2977,0.07479714303071543
432535601,12.8928,26.9803,15.9709,0.2007,0.4891,0.2193,0.07435458803139107
432535602,12.5925,26.8266,16.1745,0.2105,0.6103,0.2681,0.07615699026400004
432535603,7.7724,19.1119,10.8523,0.1697,0.522,0.2164,0.10471236017896915
432535604,8.4102,16.0049,9.2548,0.0688,0.1917,0.0654,0.11853991327830876
432535605,7.2255,16.5095,10.0774,0.0372,0.2033,0.0786,0.10926437976474195
432535606,7.7858,17.6876,10.5905,0.036,0.1874,0.0689,0.10832258979485408
432535609,14.5651,24.0744,14.64,0.4252,0.7389,0.3463,0.09519422993221213
432535610,14.8175,24.2006,13.5901,0.3833,0.6102,0.2413,0.09307904275505513
432535611,14.0021,23.8961,12.8564,0.2763,0.4846,0.1761,0.08787235948346774
432535612,13.4335,22.0616,12.2797,0.1867,0.3402,0.1166,0.09105580497377844
432535613,23.1759,37.4788,19.7444,0.3422,0.6084,0.2079,0.06220821570931003
432535614,17.0155,30.1775,15.9095,0.2854,0.5461,0.1773,0.07615699026400004
432535615,12.6904,23.488,12.809,0.2049,0.4221,0.1492,0.09665858053229819
432535616,16.7986,30.0087,16.1529,0.2572,0.5266,0.1853,0.08321729873508964
432535617,17.4927,30.5772,16.7972,0.2904,0.5703,0.2205,0.07853670966610296
