detection_id,B,G,R,nB,nG,nR,Compactness
432944926,10.6523,11.1898,9.549,0.0122,0.0124,0.0195,0.08726219508235135
432944937,6.244,8.4483,19.4647,0.1038,0.1457,0.2921,0.06904388481989716
432944940,4.8571,5.055,4.6659,0.1257,0.1315,0.0844,0.21659487670178934
432944941,2.72,2.7996,3.116,0.0169,0.0179,0.0148,0.2093793437612272
432944950,2.3382,2.3809,2.9058,0.0294,0.0301,0.0212,0.2093793437612272
432944951,4.9683,5.2256,4.4615,0.4202,0.4419,0.2571,0.2093793437612272
432944956,2.2871,2.3942,2.8338,0.0209,0.0222,0.0164,0.2129260181386661
432944958,4.8662,5.1121,4.4009,0.487,0.5123,0.2925,0.2093793437612272
432944959,1.8293,1.8431,2.7458,0.0225,0.0226,0.0193,0.2129260181386661
432944975,2.0677,2.2803,4.3368,0.0116,0.0166,0.034,0.22039234176969208
432944978,3.5758,3.7859,3.7696,0.1625,0.1681,0.1108,0.224325293611701
432944979,1.3719,1.3763,2.1638,0.0151,0.0151,0.0134,0.23262772230212783
432944995,4.2336,4.4585,3.864,0.5183,0.5469,0.3081,0.22840111198938143
432944996,2.8896,2.7476,3.5399,0.0476,0.0467,0.0368,0.22840111198938143
432944998,3.8417,4.0089,4.0737,0.2643,0.2759,0.1774,0.224325293611701
432944999,2.2749,2.3865,3.4452,0.0702,0.0739,0.0767,0.224325293611701
432945000,3.8087,3.9137,3.8103,0.1023,0.1043,0.0709,0.23262772230212783
432945007,3.7707,3.8958,3.7936,0.1046,0.1075,0.0726,0.23262772230212783
432945008,1.2819,1.2665,1.902,0.0097,0.0101,0.0093,0.23262772230212783
432945013,3.5959,3.8293,3.4138,0.5815,0.6228,0.3404,0.23262772230212783
432945016,2.9584,2.9683,3.2811,0.0051,0.0049,0.0078,0.23701364694242527
432945018,1.032,1.078,1.8227,0.0063,0.0068,0.0076,0.23701364694242527
432945021,1.0072,1.0321,2.5011,0.0014,0.0014,0.006,0.23701364694242527
432945040,1.9592,1.9425,2.6117,0.0301,0.0307,0.0204,0.2059488517353309
432945042,1.8823,2.032,5.294,0.0087,0.0109,0.041,0.22039234176969208
432945043,1.1831,1.2793,3.1345,0.0239,0.0249,0.0325,0.2059488517353309
432945044,4.916,5.008,4.6849,0.2117,0.2154,0.1372,0.2059488517353309
432945045,4.6825,4.7478,4.5035,0.4581,0.4644,0.2991,0.21659487670178934
432945046,4.4069,4.6812,4.0772,0.4623,0.4933,0.2809,0.2129260181386661
432945049,4.4718,4.5368,4.4063,0.4794,0.4851,0.3165,0.2093793437612272
432945051,3.747,3.8888,3.8072,0.3215,0.3336,0.2063,0.2093793437612272
432945052,3.8341,3.892,3.7954,0.1348,0.1361,0.0899,0.224325293611701
432945053,4.3845,4.4819,4.2517,0.5013,0.5122,0.3224,0.2129260181386661
432945055,2.5229,2.5007,3.3367,0.1417,0.1438,0.099,0.2129260181386661
432945056,1.5158,1.5663,2.5476,0.0062,0.0063,0.0097,0.2129260181386661
432945057,1.6093,1.677,2.622,0.0066,0.0063,0.0094,0.2129260181386661
432945058,4.3469,4.4423,4.1263,0.5021,0.5122,0.3216,0.22840111198938143
432945061,2.2198,2.7088,4.1178,0.0337,0.0422,0.0467,0.22039234176969208
432945063,1.8389,1.8668,2.8292,0.0185,0.0188,0.0189,0.21659487670178934
432945064,4.1894,4.2922,4.0336,0.3888,0.4008,0.2494,0.224325293611701
432945065,4.1079,4.3206,3.8153,0.4814,0.5067,0.2802,0.21659487670178934
432945070,3.6254,3.8333,4.1792,0.8684,0.9173,0.5106,0.15322506464696445
432945071,2.1785,2.1473,3.3713,0.0577,0.0567,0.063,0.2093793437612272
432945072,0.6106,0.8794,3.3375,0.0013,0.0019,0.0103,0.14442151192814084
432945082,3.5876,3.5549,4.5387,0.0672,0.0664,0.0561,0.18208192715442573
432945084,4.5954,4.7874,4.4848,0.2349,0.2421,0.1495,0.19941430995731257
432945092,10.7703,10.8083,11.0739,0.0854,0.0852,0.0827,0.09816868357674101
432945093,13.7137,14.7869,12.6617,0.7319,0.7837,0.4552,0.08666044549832956
432945094,13.3636,14.1739,13.7596,0.6441,0.6692,0.4302,0.07953076456813789
432945099,2.8476,2.8197,3.7142,0.0767,0.0776,0.0599,0.2059488517353309
432945100,13.5524,15.2835,17.0496,0.6689,0.7174,0.5393,0.07853670966610296
432945101,45.5967,51.7796,44.7522,0.8262,0.9767,0.8418,0.050670018704328156
432945103,20.7044,24.6336,28.0092,0.0748,0.1223,0.1773,0.06041383338136221
432945104,40.7465,41.0854,33.4743,0.3079,0.319,0.2242,0.07348500463068167
432945105,25.6071,27.5238,23.4785,1.1918,1.2593,0.8298,0.07853670966610296
432945108,9.274,10.2011,10.0483,0.0978,0.1049,0.0878,0.12318763468639518
432945109,22.6151,22.7412,20.143,0.1495,0.1534,0.1277,0.08548150399146558
432945111,14.4805,15.1763,12.7652,0.9154,0.9548,0.6196,0.11119795425652645
432945112,10.2304,10.9885,9.079,0.8719,0.9327,0.5112,0.10559216905199818
432945114,3.0817,3.2931,4.1857,0.0589,0.0609,0.0454,0.14442151192814084
432945115,1.9885,2.2625,5.8076,0.0576,0.0653,0.093,0.10471236017896915
432945118,7.0727,7.3149,7.7473,0.2325,0.2416,0.1693,0.11423011752805243
432945119,2.233,2.2319,3.0457,0.0366,0.0368,0.029,0.1963000700655754
432945124,4.1688,4.3349,4.2307,0.0842,0.0881,0.0598,0.21659487670178934
432945125,1.9656,1.9959,2.691,0.0632,0.0669,0.0446,0.224325293611701
432945126,3.1328,3.0757,3.8617,0.0336,0.0328,0.0337,0.23262772230212783
432945128,4.5279,4.6772,4.3241,0.2971,0.3042,0.1882,0.21659487670178934
432945130,4.1603,4.3032,4.1228,0.1314,0.1361,0.0882,0.224325293611701
432945131,1.9203,1.9132,2.7114,0.0175,0.0185,0.0168,0.22039234176969208
432945137,4.1213,4.2951,4.0728,0.1359,0.143,0.0898,0.224325293611701
432945142,3.7547,3.9549,3.7466,0.3752,0.3983,0.2361,0.22039234176969208
432945143,4.0781,4.2594,4.0326,0.1513,0.1595,0.1015,0.224325293611701
432945149,1.7413,1.8034,2.5751,0.0037,0.004,0.0073,0.224325293611701
432945151,3.9303,4.1036,3.8489,0.2898,0.2995,0.1871,0.22840111198938143
432945155,1.6506,1.6865,2.3064,0.0127,0.0134,0.0121,0.23262772230212783
432945156,3.7569,3.9763,3.6187,0.0,0.0,0.0052,0.23262772230212783
432945168,3.6699,3.8823,3.525,0.0,0.0,0.0051,0.23701364694242527
432945179,1.641,1.6544,2.4032,0.0193,0.0201,0.0166,0.23701364694242527
432945180,3.5063,3.6597,3.465,0.0,0.0,0.0051,0.23701364694242527
432945186,1.6649,1.8049,2.3624,0.0079,0.0086,0.0092,0.23701364694242527
432945187,3.4305,3.6978,3.2346,0.0,0.0,0.0051,0.23701364694242527
432945188,3.359,3.5296,3.3867,0.0,0.0,0.005,0.2415680625597688
432945189,3.2174,3.3448,3.3214,0.2657,0.2749,0.1732,0.2463008640414398
432945190,2.5094,2.6526,3.54,0.009,0.01,0.012,0.16108014280507627
432945191,4.4273,4.6581,4.877,0.1491,0.1569,0.0996,0.14781870195462177
432945192,3.1529,3.3521,4.1157,0.0081,0.0088,0.0115,0.14781870195462177
432945193,4.2782,4.4907,4.7762,0.2402,0.2527,0.1561,0.1495779344429456
432945194,3.6835,3.8891,4.3844,0.0061,0.0064,0.0094,0.15137953892966877
432945195,4.4569,4.7051,4.8993,0.2342,0.248,0.1546,0.14610036423614817
432945196,5.5703,5.8831,5.0432,0.0862,0.0901,0.0625,0.1963000700655754
432945206,3.3873,3.5343,3.4266,0.0018,0.0021,0.0056,0.21659487670178934
432945207,1.5052,1.5506,2.4735,0.0081,0.0089,0.0104,0.224325293611701
432945225,27.3002,29.3052,22.0985,0.0036,0.0187,0.0266,0.04688878485347726
432945226,10.0681,10.5957,10.2816,0.1336,0.1358,0.1104,0.07615699026400004
432945228,18.3882,19.7399,14.9012,0.0005,0.0133,0.0176,0.07059533429497317
432945229,3.5059,3.6404,4.2784,0.0567,0.0567,0.0527,0.16317136358672749
432945231,4.2846,4.5704,3.9112,0.0,0.0,0.0058,0.2093793437612272
432945235,4.0793,4.1904,4.623,0.1745,0.176,0.1383,0.17449830252036147
432945241,3.3702,3.5848,3.6395,0.0,0.0,0.0067,0.18208192715442573
432945244,3.3648,3.6312,3.2203,0.0,0.0,0.0051,0.23701364694242527
432945246,1.3381,1.4965,2.2957,0.0213,0.0242,0.0192,0.23701364694242527
432945251,3.5402,3.6688,3.4439,0.3534,0.3654,0.2237,0.2415680625597688
432945256,3.5266,3.6426,3.463,0.4769,0.493,0.2997,0.2415680625597688
432945257,1.4108,1.495,2.3189,0.0072,0.0077,0.0096,0.2415680625597688
432945258,3.5247,3.6463,3.4467,0.5677,0.5868,0.3577,0.2415680625597688
432945259,2.3843,2.4855,3.26,0.0252,0.0269,0.021,0.2415680625597688
432945260,3.4967,3.6309,3.4642,0.327,0.3374,0.2097,0.2415680625597688
432945261,3.5106,3.6267,3.4959,0.4282,0.443,0.2744,0.2415680625597688
432945262,3.5063,3.6384,3.4652,0.325,0.3361,0.2079,0.2415680625597688
432945263,1.0589,1.1534,2.0724,0.0022,0.0025,0.0065,0.2415680625597688
432945264,2.2769,2.3945,3.442,0.0101,0.0117,0.0135,0.2415680625597688
432945265,4.3028,4.4623,4.4957,0.2417,0.2526,0.1561,0.16752101074657041
432945282,5.8184,6.0665,5.1625,0.2816,0.2926,0.1758,0.18208192715442573
432945286,3.7844,3.9085,3.6955,0.6369,0.6579,0.3974,0.22840111198938143
432945287,1.0319,1.1598,2.314,0.0109,0.0118,0.0152,0.23262772230212783
432945288,4.2252,4.386,3.9954,0.5211,0.5396,0.3253,0.21659487670178934
432945302,4.7919,4.9558,4.4675,0.5954,0.6148,0.3751,0.2093793437612272
432945314,0.5196,0.62,2.022,0.0,0.0,0.0063,0.19941430995731257
432945315,0.8833,1.0544,2.4085,0.0041,0.0048,0.0096,0.18208192715442573
432945316,1.056,1.2612,2.5374,0.0033,0.0038,0.0096,0.1721088567938853
432945317,1.5131,1.6608,2.7964,0.0076,0.0086,0.0121,0.15705446369492315
432945320,3.0755,3.0866,4.4026,0.041,0.0417,0.0344,0.12953615542145414
432945334,2.8084,2.918,3.7436,0.022,0.0234,0.0203,0.16108014280507627
432945345,2.1959,2.1767,3.0011,0.0054,0.0059,0.0086,0.19328157927359077
432945359,10.417,12.6217,21.4483,0.1442,0.1662,0.2312,0.07263552511680024
432945365,15.9754,19.3198,31.4458,0.266,0.3228,0.4737,0.06283026644890574
432945366,16.253,19.7237,32.2653,0.2462,0.3006,0.4538,0.06159836113714365
432945367,15.7503,18.9832,32.2785,0.2807,0.3408,0.5268,0.06684048540909966
432945369,17.7602,21.8445,37.2182,0.3437,0.4288,0.6685,0.05560231145909046
432945370,19.0308,23.6476,39.0086,0.3891,0.4951,0.7392,0.05584942297118333
432945371,24.4101,30.193,35.9155,0.3731,0.4967,0.5675,0.05324636892277132
432945375,22.8797,26.8753,28.5859,0.2665,0.3407,0.3964,0.05584942297118333
432945390,15.4098,15.9426,17.6073,0.1857,0.1978,0.1967,0.08266986501266944
432945391,10.7614,10.6884,10.2298,0.154,0.1532,0.1099,0.11119795425652645
432945392,3.3362,3.2094,4.2497,0.0847,0.081,0.0635,0.15322506464696445
432945393,2.3206,2.039,3.4488,0.02,0.0184,0.0213,0.1721088567938853
432945395,3.3916,3.3165,3.4892,0.0186,0.0179,0.0155,0.17695501477362918
432945398,2.3836,2.4235,2.9787,0.0151,0.0158,0.0131,0.18751471302418415
432945400,1.6298,1.634,2.2349,0.0124,0.013,0.0104,0.224325293611701
432945402,2.5277,2.4795,3.2695,0.0203,0.0198,0.0176,0.16108014280507627
432945404,2.9025,2.8269,3.6315,0.0419,0.041,0.0304,0.15322506464696445
