detection_id,B,G,R,nB,nG,nR,Compactness
432821941,9.383,17.2485,11.9256,0.2116,0.4205,0.2187,0.09816868357674101
432821942,12.9179,20.2734,14.3798,0.2215,0.4158,0.2133,0.09519422993221213
432821943,13.8255,21.1552,15.0847,0.2201,0.3827,0.1903,0.09105580497377844
432821944,13.9293,22.3032,15.78,0.2209,0.4253,0.2253,0.07569824722699373
432821945,13.7617,23.3683,15.5539,0.2436,0.4527,0.246,0.07853670966610296
432821946,13.8033,23.9349,15.2879,0.2616,0.5541,0.2919,0.08266986501266944
432821947,11.7441,21.0213,13.6604,0.183,0.382,0.19,0.0815963233535219
432821948,0.6227,2.7625,4.8215,0.0002,0.0578,0.0181,0.06904388481989716
432821949,0.8875,3.5474,3.7822,0.0,0.047,0.0139,0.08911864874469005
432821977,7.1444,5.6002,3.4584,0.0196,0.0151,0.0146,0.09519422993221213
432821978,7.5351,5.7926,3.45,0.0205,0.0159,0.0147,0.09665858053229819
432821979,7.747,5.75,3.4201,0.0976,0.0772,0.022,0.09972671719555438
432821980,8.3519,7.0163,3.2086,0.1036,0.0939,0.0179,0.10471236017896915
