detection_id,B,G,R,nB,nG,nR,Compactness
427582829,1.2172,3.5948,3.356,0.0,0.0224,0.012,0.10299600257653854
427582830,1.7986,5.1881,4.088,0.0,0.0265,0.0145,0.08548150399146558
427582831,2.4143,5.4799,4.4385,0.0,0.015,0.016,0.07756719641593564
427582832,2.652,5.8747,4.3464,0.0035,0.0226,0.0173,0.07903061153879146
427582833,2.486,5.4731,4.5088,0.0,0.0195,0.0165,0.0752449975094086
427582837,2.7836,6.1722,4.7618,0.0065,0.0281,0.0206,0.07348500463068167
427582838,2.9456,6.2637,4.9622,0.0033,0.024,0.0199,0.06981099120988524
427582840,3.2032,7.1146,4.8505,0.0022,0.0295,0.0182,0.07221810771057427
427582842,3.2171,7.3659,4.8944,0.0047,0.0276,0.0206,0.07139750161301212
427582847,4.7089,8.5432,5.027,0.0272,0.0422,0.0289,0.07569824722699373
427582848,4.2835,8.8373,5.0183,0.0089,0.0263,0.0209,0.07615699026400004
427582851,4.8712,9.2045,5.0054,0.031,0.048,0.0287,0.07903061153879146
427582856,4.3694,7.9884,4.1345,0.087,0.1302,0.0541,0.10832258979485408
427582857,4.5427,8.0521,4.1293,0.0591,0.0902,0.0402,0.10926437976474195
427582858,4.642,7.9921,4.0234,0.067,0.1105,0.0542,0.10926437976474195
427582859,5.0221,8.3286,4.2136,0.0457,0.073,0.0365,0.10648688664370398
427582860,6.5072,11.8255,5.5701,0.088,0.1404,0.0619,0.08666044549832956
427582881,1.1306,2.6532,5.0856,0.0058,0.0678,0.0227,0.06346488289866778
427582885,1.0746,2.7709,4.1703,0.0024,0.0485,0.0169,0.07804894248762141
427582898,1.3098,2.2971,3.3939,0.0115,0.0303,0.0169,0.10648688664370398
427582899,1.2763,2.325,3.3128,0.0027,0.0252,0.0136,0.10739689511380088
427582900,1.2687,2.223,3.3293,0.0072,0.0262,0.0172,0.10648688664370398
427582901,1.1794,2.1965,3.2638,0.0045,0.0287,0.0135,0.10648688664370398
427582902,1.1776,2.1547,3.3879,0.0191,0.037,0.0203,0.1038470904936626
427582903,1.1784,1.9877,3.3239,0.0112,0.0243,0.0179,0.10471236017896915
427582904,1.1255,2.0982,3.3229,0.0085,0.0249,0.0178,0.10471236017896915
427582905,1.1177,2.0037,3.2652,0.0094,0.031,0.017,0.10648688664370398
427582906,26.9028,31.1163,15.5004,0.8408,1.0078,0.2902,0.06283026644890574
