detection_id,B,G,R,nB,nG,nR,Compactness
29289101,12.366,27.6325,17.8162,0.0892,0.2414,0.1182,0.06378702284985524
29289102,12.3241,27.3973,17.3237,0.077,0.2103,0.1,0.06579069379816853
29289103,12.3872,27.2693,17.3635,0.1239,0.3123,0.1458,0.06510896233025722
29289104,12.3497,27.2632,17.3466,0.1239,0.3123,0.1458,0.06510896233025722
29289105,12.8326,28.7033,19.4955,0.1846,0.4526,0.243,0.05535737701133239
29289106,13.1937,29.7925,19.6905,0.2024,0.4934,0.265,0.05983849013957345
29289108,9.7445,25.6652,17.2606,0.0874,0.2829,0.1455,0.06579069379816853
29289109,9.9363,25.8612,17.4534,0.1324,0.3702,0.1971,0.06579069379816853
29289110,9.1997,24.421,16.4123,0.099,0.3033,0.1549,0.06942531913488556
29289111,9.1519,24.2431,16.3867,0.1199,0.3516,0.183,0.06866661880204716
29289112,8.9984,23.8673,16.0228,0.0888,0.284,0.1467,0.07020097205976435
29289113,9.104,23.7757,16.041,0.1339,0.3667,0.1999,0.07099415216660818
29289114,8.3663,22.394,15.2315,0.097,0.3165,0.1603,0.07139750161301212
29289115,8.3566,22.2783,15.1883,0.1106,0.3402,0.1757,0.07180546030797123
29289116,8.0252,22.1588,15.9958,0.0693,0.2358,0.1303,0.05872006370526449
29289117,6.9958,19.3948,14.8351,0.0486,0.1599,0.0965,0.05463535211139932
29289118,6.3886,17.4869,13.2954,0.0515,0.1593,0.0949,0.05608132340292525
29289120,8.0994,20.9396,15.4904,0.0758,0.1842,0.1061,0.048331474165630606
29289121,7.9897,20.5662,14.9194,0.0746,0.1889,0.1078,0.05192625725187585
29289122,8.277,21.1459,15.0401,0.0453,0.1245,0.0751,0.05347294092237722
29289123,8.6361,21.059,15.2878,0.0444,0.1094,0.0686,0.05214171140333059
29289124,8.7044,21.2254,15.4179,0.047,0.1158,0.0716,0.051712576293637055
29289125,8.536,21.0176,15.3317,0.0645,0.1604,0.093,0.05192625725187585
29289126,8.5202,20.9911,15.3195,0.0644,0.1602,0.0929,0.05192625725187585
29289128,14.4658,35.16,22.3398,0.1597,0.3583,0.1925,0.046199262889625364
29289129,14.4775,34.976,22.3831,0.145,0.3272,0.177,0.04603003942056844
29289130,14.2782,34.8129,22.1067,0.1347,0.3072,0.1644,0.04706439330664793
29289133,15.052,36.7405,24.2852,0.1471,0.3407,0.1913,0.03976659483909075
29289134,14.6825,36.2652,23.7761,0.1705,0.3925,0.2191,0.040536254848845585
29289135,13.739,34.2175,22.0607,0.2212,0.4815,0.2672,0.04424723137071616
29289136,13.6578,34.0979,22.034,0.2543,0.545,0.3066,0.04409198179755562
29289138,13.411,33.8175,21.9333,0.1195,0.2917,0.1633,0.0430350075951413
29289142,12.9553,32.8087,21.8105,0.1682,0.3753,0.2141,0.0406674373693737
29289162,9.4143,25.1747,18.7651,0.0361,0.1152,0.0795,0.03890479695236772
29289163,9.3596,25.0095,18.7176,0.0357,0.1136,0.0791,0.03890479695236772
29289164,9.466,25.3202,19.5753,0.0433,0.1355,0.0929,0.035901232394086456
29289165,9.4271,25.1677,19.5255,0.0422,0.1334,0.0917,0.035901232394086456
29289166,9.3072,24.6743,20.3535,0.0426,0.1374,0.0965,0.032553366874520144
29289167,9.5714,25.4751,20.9455,0.0481,0.1502,0.1058,0.03298237162633052
29289168,9.481,25.27,20.4461,0.044,0.1414,0.1013,0.034334088223882446
