detection_id,B,G,R,nB,nG,nR,Compactness
432779749,3.9541,4.0239,4.5276,0.0253,0.0278,0.0244,0.1963000700655754
432779750,2.7178,3.0386,4.255,0.0751,0.0819,0.0602,0.15137953892966877
432779751,1.102,1.5779,4.566,0.0153,0.0174,0.0326,0.12199187159268324
432779752,10.9429,11.247,10.3718,0.0822,0.0931,0.0618,0.13226261511265314
432779753,4.3213,5.1217,7.3205,0.06,0.0717,0.0753,0.1132011898318306
432779754,0.6373,1.1166,4.8182,0.0031,0.0056,0.0212,0.10648688664370398
432779755,14.4861,14.9546,13.8486,0.1181,0.1267,0.0886,0.09972671719555438
432779756,1.9161,2.2383,4.0823,0.0125,0.0148,0.0195,0.15705446369492315
432779758,11.2831,11.5222,10.5389,0.077,0.0844,0.0596,0.14610036423614817
432779759,0.6644,1.0366,3.5693,0.0,0.0,0.0085,0.14442151192814084
432779760,2.8647,4.4329,10.6862,0.0515,0.0703,0.1179,0.07305779571290515
432779761,4.0425,6.1039,13.8576,0.0826,0.109,0.1831,0.07391723900466864
432779762,3.7351,5.5773,13.8761,0.1008,0.1359,0.2247,0.06579069379816853
432779763,30.8961,32.4765,27.0593,0.4144,0.4412,0.2905,0.06684048540909966
432779764,3.1374,4.9027,13.1461,0.0751,0.1029,0.1844,0.06314598028335774
432779765,10.2749,10.6235,10.0952,0.0825,0.092,0.0563,0.12440706908215582
432779774,4.3772,4.7487,4.504,0.2243,0.2468,0.1495,0.19328157927359077
432779777,4.3892,4.7842,4.5522,0.1842,0.2055,0.1296,0.1903544897796419
432779778,3.1651,3.3739,3.7328,0.057,0.0614,0.0434,0.19941430995731257
432779782,2.4862,2.7068,3.0375,0.0438,0.049,0.0335,0.224325293611701
432779784,3.9686,4.3123,4.2231,0.1482,0.1639,0.1018,0.1963000700655754
432779785,2.3538,2.4885,2.9128,0.0302,0.0317,0.0227,0.23262772230212783
432779787,4.0616,4.4037,4.1976,0.191,0.2071,0.1295,0.2059488517353309
432779788,2.9497,3.1033,3.5484,0.0343,0.0372,0.0259,0.2059488517353309
432779790,3.9456,4.244,4.1633,0.1681,0.1839,0.116,0.2059488517353309
432779791,2.951,3.0736,3.5762,0.0351,0.038,0.0287,0.2059488517353309
432779793,4.0683,4.3948,4.2326,0.1415,0.1544,0.0971,0.2059488517353309
432779794,2.7995,2.9355,3.4576,0.0381,0.0414,0.0289,0.2059488517353309
432779796,3.4801,3.7731,3.7149,0.111,0.1205,0.0753,0.21659487670178934
432779797,2.6479,2.7418,3.2872,0.0204,0.0216,0.0171,0.22039234176969208
432779799,2.5769,2.6432,3.2965,0.0681,0.0705,0.0533,0.2129260181386661
432779801,4.0634,4.4057,4.1192,0.141,0.1531,0.0955,0.2129260181386661
432779802,2.6864,2.8361,3.3791,0.0266,0.0279,0.0214,0.2129260181386661
432779804,2.4064,2.4899,3.2343,0.0231,0.0233,0.0225,0.2129260181386661
432779805,4.0555,4.4037,4.1506,0.1299,0.147,0.0916,0.2129260181386661
432779806,2.6929,2.8437,3.3828,0.0238,0.0252,0.02,0.2129260181386661
432779808,1.243,1.3352,2.3047,0.0107,0.0113,0.0127,0.2129260181386661
432779810,3.9878,4.3044,4.124,0.1236,0.1356,0.0858,0.2129260181386661
432779811,2.6666,2.8108,3.4018,0.025,0.0267,0.0214,0.2129260181386661
432779812,1.3217,1.4563,2.528,0.0113,0.0126,0.0151,0.21659487670178934
432779813,1.5533,1.7147,3.3198,0.0727,0.0796,0.0953,0.224325293611701
432779816,2.9968,3.1022,3.4835,0.0313,0.0333,0.0232,0.224325293611701
432779817,1.3135,1.3913,2.4039,0.0082,0.0088,0.0101,0.22840111198938143
432779818,1.5254,1.7274,3.2454,0.0352,0.0387,0.0493,0.22840111198938143
432779819,4.1145,4.4468,4.1674,0.1199,0.1287,0.0805,0.21659487670178934
432779828,4.2106,4.5412,4.2052,0.1261,0.1422,0.0887,0.21659487670178934
432779834,2.937,3.0445,3.4331,0.0264,0.0283,0.0206,0.224325293611701
432779844,3.9273,4.2506,3.9639,0.12,0.1321,0.0828,0.22840111198938143
432779846,3.917,4.2672,3.9695,0.1114,0.122,0.0772,0.22840111198938143
432779848,3.94,4.2927,3.9696,0.1003,0.1152,0.0751,0.22840111198938143
432779850,3.7727,4.11,3.8622,0.1021,0.1124,0.0734,0.22840111198938143
432779852,3.7553,4.1002,3.8582,0.1002,0.1131,0.0705,0.22840111198938143
432779854,3.5625,3.9045,3.6863,0.0903,0.1009,0.0631,0.23262772230212783
432779891,3.0966,3.2946,3.8719,0.1533,0.1622,0.116,0.20262892686416292
432779948,4.4498,4.5304,5.754,0.0309,0.0326,0.0294,0.14781870195462177
432779953,4.3797,4.4408,5.5625,0.019,0.02,0.0169,0.14610036423614817
432779954,4.291,4.4246,5.4198,0.0218,0.0233,0.019,0.15322506464696445
432779956,4.1817,4.3072,5.1518,0.029,0.0313,0.0246,0.16752101074657041
432779985,5.9929,6.3813,7.0268,0.0205,0.0271,0.0228,0.12691981982432735
432780010,8.3374,8.7392,8.6951,0.1287,0.1382,0.0991,0.11634512054520679
432780011,11.3057,11.8598,10.7417,0.1394,0.1513,0.1065,0.12081909724428652
432780025,6.1807,6.2824,6.4385,0.0355,0.0359,0.0372,0.1721088567938853
432780026,5.2895,5.7293,5.9708,0.4275,0.47,0.303,0.14610036423614817
432780027,0.5721,1.4536,5.3706,0.0042,0.0076,0.0219,0.14781870195462177
432780028,8.0005,8.1786,8.0412,0.0656,0.0675,0.06,0.15511613727099602
432780029,3.8508,4.2247,4.5163,0.2197,0.2418,0.1598,0.17449830252036147
432780031,3.9092,4.0207,4.4751,0.0572,0.0593,0.051,0.2059488517353309
432780032,2.8314,3.0605,3.4868,0.1401,0.1515,0.1011,0.20262892686416292
432780056,2.2173,2.3439,3.0002,0.0234,0.0259,0.0209,0.23262772230212783
432780062,2.9651,3.0732,3.6633,0.0278,0.0293,0.0232,0.21659487670178934
432780069,0.9497,1.6796,6.5494,0.0028,0.0041,0.0228,0.09740778003073822
432780070,10.1176,10.5687,10.2127,0.1028,0.1074,0.0698,0.10739689511380088
432780071,0.2848,0.5889,3.2736,0.0018,0.0021,0.013,0.1794818739290955
432780072,7.453,7.7693,7.7604,0.069,0.0748,0.0531,0.1351063003197879
432780073,18.5802,19.3866,17.7393,0.184,0.1914,0.1266,0.07059533429497317
432780074,27.6705,28.898,25.0712,0.2854,0.304,0.1997,0.05872006370526449
432780077,2.2914,2.5423,3.9292,0.0106,0.0134,0.0165,0.15137953892966877
432780083,5.5763,5.9303,6.299,0.0505,0.0533,0.0389,0.14610036423614817
432780086,0.7517,1.0645,3.1955,0.0001,0.0003,0.0083,0.1495779344429456
432780088,21.7129,28.1903,36.0732,0.3774,0.4934,0.5647,0.05686023067241032
432780090,1.8153,2.8749,11.3554,0.0261,0.0313,0.0711,0.03989283543241531
432780093,2.1682,3.244,9.1491,0.0556,0.0667,0.0875,0.0539319190680174
432780097,24.0521,25.6522,22.2203,0.5169,0.5657,0.3722,0.06378702284985524
432780115,9.1174,10.6675,12.8759,0.0726,0.0972,0.117,0.0815963233535219
432780126,21.3569,22.4272,19.8353,0.9512,1.0144,0.6604,0.06942531913488556
432780144,4.2016,4.6299,6.0479,0.084,0.0887,0.0773,0.14442151192814084
432780158,13.6297,15.0718,12.3277,0.407,0.4415,0.2774,0.11119795425652645
432780172,23.0697,26.1197,29.4391,0.6162,0.6873,0.5763,0.04759920052280796
432780174,6.6455,7.5819,12.4811,0.1065,0.1177,0.1261,0.06719790044098876
432780175,3.6823,4.8809,9.0582,0.0449,0.0657,0.0899,0.10133499999681532
432780176,2.7849,3.1351,3.9072,0.0229,0.0256,0.0232,0.16978395275546265
432780177,1.3311,1.4918,2.6229,0.0116,0.0132,0.0149,0.2415680625597688
432780178,1.6594,1.8602,2.5228,0.0294,0.0314,0.0253,0.23262772230212783
432780179,2.443,2.7607,3.3524,0.0078,0.0089,0.0117,0.22840111198938143
432780180,2.6154,2.8659,3.034,0.1549,0.1666,0.1056,0.22840111198938143
432780238,2.7233,2.8324,3.5464,0.0282,0.0298,0.0214,0.2059488517353309
432780239,1.0458,1.2905,5.1648,0.0,0.0,0.0122,0.10133499999681532
432780242,1.89,3.1538,10.7572,0.0,0.0,0.0203,0.06129789587454133
432780243,27.4632,28.3063,25.5011,0.1923,0.1986,0.1823,0.06942531913488556
432780244,16.9293,20.5287,26.2724,0.4738,0.5568,0.4999,0.045040172094838404
432780247,2.9112,3.0308,3.6895,0.0308,0.0327,0.0241,0.22840111198938143
432780248,2.5867,2.8147,3.5946,0.0451,0.0489,0.036,0.18475840065665078
432780250,6.1972,6.277,6.7352,0.0433,0.0441,0.0332,0.16108014280507627
432780274,0.4866,1.2068,4.9488,0.0,0.0,0.0103,0.11966865507387159
432780282,33.4399,34.7039,29.7783,0.1865,0.1987,0.1833,0.0607056738604871
432780284,24.4076,27.3893,27.1527,0.6675,0.7516,0.5931,0.05560231145909046
432780285,35.5997,36.8653,31.6385,0.295,0.314,0.2277,0.05192625725187585
432780286,16.4434,18.0988,17.1316,0.7812,0.852,0.5705,0.07391723900466864
432780288,5.8597,6.2805,6.0604,0.3537,0.3816,0.2457,0.15322506464696445
432780291,3.3029,3.4042,4.3393,0.0194,0.0208,0.012,0.1721088567938853
432780292,3.3526,3.4705,4.0669,0.0138,0.0153,0.0066,0.2059488517353309
432780294,3.4804,3.6162,4.3826,0.0172,0.0183,0.0094,0.18208192715442573
432780295,3.5875,3.6865,4.5432,0.0211,0.0229,0.014,0.1794818739290955
432780296,2.7842,2.7942,3.4831,0.014,0.0141,0.0123,0.2415680625597688
432780299,3.7785,3.8482,5.1664,0.0675,0.0685,0.061,0.13657449043501094
432780305,3.1423,3.1279,4.0424,0.0291,0.0296,0.022,0.1963000700655754
432780326,13.1393,13.7904,16.4198,0.5143,0.538,0.4156,0.046541470193173916
432780328,11.7922,12.3865,15.4168,0.3012,0.319,0.2686,0.04688878485347726
432780330,12.8884,13.5799,16.0375,0.3582,0.3779,0.3102,0.04759920052280796
432780345,3.0143,3.0536,3.7072,0.0347,0.0348,0.0268,0.2059488517353309
432780346,2.9945,2.9873,3.6774,0.0341,0.0341,0.0274,0.2129260181386661
432780347,2.6183,2.6576,3.2743,0.0348,0.0358,0.0266,0.224325293611701
432780348,2.1989,2.2302,2.8312,0.0268,0.0277,0.0217,0.2415680625597688
432780349,3.9197,3.872,4.6878,0.0398,0.0395,0.0344,0.2059488517353309
432780350,3.2027,3.4392,3.7056,0.0298,0.0339,0.0233,0.2129260181386661
432780351,4.2874,4.3186,5.0538,0.0251,0.0244,0.0217,0.20262892686416292
432780352,2.9091,3.14,3.5998,0.0559,0.0624,0.0433,0.20262892686416292
432780353,3.7138,3.7519,4.5861,0.0246,0.0253,0.0171,0.19941430995731257
432780354,2.5585,2.7096,3.0692,0.0873,0.0921,0.0652,0.23701364694242527
432780356,5.5024,5.802,5.8091,0.2182,0.2322,0.1491,0.1495779344429456
432780360,5.1357,5.6495,6.7682,0.0303,0.0331,0.0303,0.1132011898318306
432780370,2.7697,2.7899,3.5545,0.0124,0.013,0.0101,0.23701364694242527
432780389,2.4005,2.566,3.0434,0.0196,0.0219,0.0177,0.23262772230212783
432780393,2.5187,2.6736,3.3084,0.0189,0.0199,0.017,0.224325293611701
432780425,6.3954,6.5057,7.2193,0.069,0.0705,0.057,0.16752101074657041
