detection_id,B,G,R,nB,nG,nR,Compactness
432284810,2.0647,6.3655,5.2659,0.0486,0.0839,0.0629,0.1021587506273488
432284811,0.0835,5.0439,3.1768,0.0,0.0233,0.0122,0.10133499999681532
432284816,1.3729,3.5193,3.9033,0.0,0.0078,0.0104,0.11853991327830876
432284820,1.5925,2.3727,4.3022,0.0357,0.0402,0.043,0.10648688664370398
432284823,1.1097,1.6079,2.3711,0.0,0.0024,0.0057,0.2129260181386661
432284824,2.3091,5.4989,4.775,0.0293,0.0678,0.0387,0.12691981982432735
432284831,2.1755,5.1466,8.274,0.0055,0.0231,0.031,0.04986575853700407
432284834,0.8775,2.5328,3.8441,0.0169,0.0303,0.0296,0.10642219348266366
432284836,1.6291,2.2172,3.0855,0.0,0.0031,0.0068,0.1794818739290955
432284837,3.5496,5.0925,5.3173,0.1546,0.1733,0.1616,0.17695501477362918
432284841,0.9302,1.0752,2.5656,0.0,0.0001,0.0067,0.18208192715442573
432284844,1.9907,1.9603,3.8018,0.0,0.0,0.0086,0.1427807996875266
432284846,1.0581,1.3135,3.7226,0.0151,0.0152,0.0229,0.11119795425652645
432284851,1.142,3.1352,3.3988,0.0077,0.0249,0.0169,0.1396087127968195
432284854,2.7926,4.2329,5.2506,0.0594,0.0799,0.0735,0.1411769425941694
432284855,0.317,2.5465,2.5245,0.0,0.01,0.0085,0.14442151192814084
432284857,1.0431,0.9837,4.7088,0.0,0.0,0.0151,0.08001020251173196
432284877,2.7748,3.579,4.4091,0.0713,0.1067,0.0818,0.2093793437612272
432284878,17.5081,18.0595,18.5223,0.1144,0.1209,0.1173,0.10299600257653854
432284879,11.6063,11.9957,12.8896,0.0879,0.0928,0.0892,0.12691981982432735
432284880,4.2739,4.2618,5.1825,0.0662,0.0651,0.0572,0.17449830252036147
432284882,18.1167,17.7082,16.6648,0.2007,0.195,0.1499,0.09447856694680049
432284886,8.073,7.8913,8.8701,0.0617,0.0617,0.0409,0.11119795425652645
432284889,6.4057,6.6201,7.5549,0.2024,0.2097,0.1783,0.15322506464696445
432284892,2.4714,2.4715,3.5072,0.0178,0.0185,0.016,0.21659487670178934
432284897,5.6444,6.2471,8.0754,0.0687,0.0736,0.0664,0.11022268844923072
432284899,17.5864,17.7972,17.526,0.5859,0.5765,0.4315,0.08726219508235135
432284901,6.2759,6.3678,8.2809,0.3034,0.306,0.2358,0.09665858053229819
432284902,13.8172,13.9981,15.2097,0.1841,0.1858,0.1496,0.08490398027194407
432284904,8.6996,8.7151,10.1278,0.1895,0.1891,0.1527,0.1021587506273488
432284905,3.3803,3.4202,4.5976,0.0833,0.0855,0.0856,0.224325293611701
432284906,11.791,12.6517,15.4828,0.046,0.0562,0.0498,0.08212958633865283
432284907,15.7669,16.7973,18.6902,0.0625,0.0826,0.0782,0.0815963233535219
432284910,6.5342,7.0156,8.6319,0.1778,0.1821,0.1662,0.1427807996875266
432284916,8.3569,9.0035,11.6896,0.126,0.1353,0.1466,0.1336693370934263
432284925,1.6631,2.3588,4.0404,0.003,0.0157,0.0215,0.18751471302418415
