detection_id,B,G,R,nB,nG,nR,Compactness
427574752,8.0383,9.0419,19.4401,0.0,0.0,0.0187,0.06648685222060789
427574753,10.2733,11.6612,23.5853,0.0,0.0,0.019,0.06544805286939072
427574754,12.2622,13.9833,28.3904,0.0,0.0,0.0226,0.05511459098459456
427574773,25.6153,29.6789,49.8482,0.6104,0.7224,1.1639,0.05439884443645084
427574774,16.7168,19.0148,34.6848,0.4167,0.5286,0.873,0.06041383338136221
427574775,19.0033,22.0317,38.4576,0.4539,0.5498,0.9304,0.06942531913488556
427574776,11.2259,12.5363,23.1147,0.2545,0.3024,0.54,0.08321729873508964
427574796,15.4315,16.7331,29.3279,0.1525,0.1777,0.2732,0.06411244968272661
427574797,19.8575,21.6252,37.9078,0.2056,0.2298,0.3583,0.05487392523583279
427574799,23.3345,24.6797,39.9975,0.1793,0.203,0.3558,0.05660411406725943
427574800,12.9172,13.8543,23.6446,0.0377,0.0576,0.1512,0.08055030487456037
427574801,10.4405,10.2193,18.6967,0.2061,0.1991,0.3363,0.09172037375316221
427574804,58.0569,59.7777,87.3595,0.1525,0.208,0.5519,0.04409198179755562
427574825,32.2682,31.391,47.0284,0.6634,0.6506,0.9062,0.05487392523583279
427574826,24.9884,24.2405,37.0345,0.35,0.3432,0.5034,0.06100034753906654
427574828,13.2882,14.0861,27.3344,0.124,0.1308,0.2613,0.05560231145909046
427574838,57.2502,54.6763,74.7563,0.711,0.668,0.9576,0.05487392523583279
427574839,57.049,54.2325,73.9687,0.627,0.5902,0.8419,0.05487392523583279
427574840,55.8982,53.1799,71.959,0.4993,0.471,0.6715,0.05635029433027713
427574842,39.021,36.9152,53.8457,0.4974,0.4609,0.7156,0.05279893651282317
427574845,29.9557,28.1949,40.7798,0.5066,0.4751,0.6933,0.06314598028335774
427574846,17.0643,17.357,32.109,0.1615,0.1629,0.3352,0.05872006370526449
427574847,28.7435,26.9979,40.2052,0.2951,0.2735,0.4153,0.05686023067241032
427574849,26.1573,24.3795,37.3797,0.3816,0.3581,0.522,0.05686023067241032
427574850,24.2977,22.8247,35.4417,0.3479,0.3268,0.4741,0.05737948033237819
427574852,16.0272,15.0802,25.1368,0.2322,0.2188,0.3266,0.06220821570931003
427574854,24.8165,25.3883,42.6792,0.6963,0.7321,1.1502,0.05370144932732833
427574862,9.5864,10.2434,18.7788,0.2516,0.2761,0.4425,0.07853670966610296
