detection_id,B,G,R,nB,nG,nR,Compactness
432647597,3.7358,3.9662,6.0423,0.0443,0.0507,0.0524,0.1351063003197879
432647599,2.6063,2.8006,3.9448,0.0021,0.0031,0.0058,0.22039234176969208
432647600,2.2277,2.0679,3.5799,0.0232,0.0212,0.026,0.19328157927359077
432647601,2.0631,1.9136,3.4332,0.0213,0.019,0.0247,0.19328157927359077
432647604,6.3546,6.045,8.2506,0.0749,0.0671,0.0728,0.12691981982432735
432647611,2.9706,2.8654,5.0891,0.0235,0.0235,0.0325,0.1336693370934263
432647612,2.7863,2.9359,4.8837,0.0114,0.0144,0.0251,0.1721088567938853
432647614,2.2471,2.3165,3.9391,0.0112,0.0126,0.0216,0.20262892686416292
432647616,3.4708,3.666,6.185,0.0115,0.0172,0.032,0.1396087127968195
432647617,2.2056,2.1996,3.9426,0.0204,0.0196,0.0279,0.1903544897796419
432647618,1.9354,1.8418,3.3546,0.0176,0.0176,0.0236,0.1903544897796419
432647620,3.2856,3.0942,4.9073,0.0345,0.0324,0.0393,0.15322506464696445
432647621,3.6939,3.4605,5.3257,0.0395,0.0378,0.0432,0.14781870195462177
432647634,4.1444,3.8934,5.8975,0.0388,0.0374,0.0443,0.1427807996875266
432647639,5.7036,5.2653,6.1205,0.0097,0.006,0.0091,0.1351063003197879
432647640,6.2807,5.73,6.5911,0.0057,0.0034,0.0092,0.1336693370934263
432647642,3.3958,3.0993,5.0219,0.1477,0.1426,0.1419,0.13657449043501094
432647643,1.1088,1.8727,4.645,0.0749,0.1333,0.2201,0.1794818739290955
432647645,1.676,2.7307,6.1232,0.2217,0.371,0.6051,0.17695501477362918
432647646,5.4947,5.1267,6.4807,0.0346,0.0316,0.0344,0.15511613727099602
432647650,2.9498,3.1299,4.9946,0.0,0.0001,0.0065,0.2129260181386661
432647652,24.2094,24.4275,28.1589,0.1676,0.178,0.1948,0.07059533429497317
432647653,8.6273,9.2288,13.7009,0.079,0.0799,0.0945,0.09040079679516942
432647654,13.5708,13.8008,15.2484,0.517,0.5279,0.4575,0.09105580497377844
432647655,15.2531,14.9941,15.8745,0.106,0.1011,0.1092,0.09740778003073822
432647657,10.6681,10.6324,11.8964,0.2207,0.2192,0.1915,0.1038470904936626
432647658,6.6361,7.749,10.7687,0.0048,0.0089,0.0239,0.10926437976474195
432647659,15.7083,14.7573,14.4463,0.1457,0.1302,0.121,0.10471236017896915
432647660,11.783,10.4497,10.8416,0.168,0.1401,0.1239,0.10832258979485408
432647662,5.3647,7.0204,14.6277,0.1902,0.2577,0.4094,0.07059533429497317
432647663,24.966,24.6452,29.98,0.4919,0.4951,0.521,0.04927912092245134
432647664,2.6375,2.4291,3.5335,0.0707,0.0614,0.0579,0.22039234176969208
432647669,13.3833,15.7688,25.9386,0.0519,0.0875,0.1656,0.04552483014500364
432647670,8.4637,10.9357,18.9128,0.1253,0.1781,0.246,0.06866661880204716
432647671,12.0088,10.9341,11.2245,0.2211,0.2008,0.1757,0.10559216905199818
432647675,9.7329,12.0603,18.972,0.3492,0.5058,0.7218,0.07020097205976435
432647677,8.9067,9.8324,14.3452,0.2333,0.2952,0.4037,0.09040079679516942
432647678,4.8446,5.0042,6.7432,0.0086,0.0105,0.0135,0.14610036423614817
432647692,4.6443,4.5915,6.8173,0.0554,0.0559,0.0657,0.14442151192814084
432647693,1.8968,2.4204,5.068,0.0,0.0026,0.0234,0.18208192715442573
432647694,4.3846,4.2672,5.6414,0.0844,0.0827,0.0762,0.16752101074657041
432647695,3.9475,3.8185,5.4065,0.0534,0.052,0.0595,0.18475840065665078
432647696,2.8233,3.4227,6.1977,0.0157,0.0286,0.0395,0.17449830252036147
432647697,8.3162,8.3552,11.041,0.1386,0.138,0.1385,0.1132011898318306
432647698,8.2178,7.7005,9.4136,0.0868,0.0808,0.0837,0.12953615542145414
432647699,3.6266,4.9661,9.3774,0.0068,0.0215,0.0528,0.14442151192814084
432647700,4.3116,4.1185,5.0838,0.1754,0.1664,0.1364,0.16978395275546265
432647701,3.5612,3.9759,5.9117,0.0342,0.0388,0.0446,0.15322506464696445
432647702,3.0122,3.7251,7.1276,0.0219,0.0334,0.0502,0.1396087127968195
432647703,3.6319,4.0296,5.4493,0.0928,0.1062,0.1096,0.20262892686416292
432647704,6.8374,7.3118,9.1152,0.1042,0.1176,0.119,0.14442151192814084
432647706,5.1863,5.6502,7.2329,0.112,0.1256,0.1268,0.16978395275546265
432647708,2.6762,2.8454,6.254,0.0245,0.026,0.0405,0.16978395275546265
432647709,2.7804,3.0741,6.8567,0.0192,0.0204,0.0426,0.15904183716398032
432647721,5.5985,5.9274,9.0319,0.0626,0.0627,0.0838,0.12440706908215582
432647727,5.9716,6.3558,9.1989,0.0732,0.0734,0.0948,0.15511613727099602
432647730,4.7404,4.7583,6.3557,0.0468,0.0437,0.0516,0.1903544897796419
432647731,6.4249,6.5069,9.6762,0.0647,0.0686,0.0812,0.10559216905199818
432647732,6.8438,6.968,10.4084,0.1129,0.111,0.1212,0.09592081711552267
432647734,10.7925,11.0724,15.0307,0.1047,0.1075,0.1379,0.09592081711552267
432647737,3.0014,2.7856,3.8756,0.0002,0.0,0.0056,0.21659487670178934
432647758,8.5299,8.4399,9.8244,0.0044,0.0041,0.0129,0.1336693370934263
432647765,4.3568,3.9351,5.5282,0.0552,0.048,0.053,0.1721088567938853
432647766,4.2471,3.793,5.2902,0.0431,0.0356,0.0392,0.1721088567938853
432647767,4.8074,4.4391,5.8841,0.0452,0.0401,0.0443,0.1721088567938853
432647768,4.5775,4.1658,5.7162,0.0711,0.0622,0.0623,0.16317136358672749
432647769,5.0745,4.6012,6.178,0.0606,0.0537,0.0571,0.15705446369492315
432647770,7.0903,6.5383,8.4101,0.0956,0.085,0.0927,0.1396087127968195
432647771,8.2995,7.8049,9.9899,0.1065,0.0947,0.1076,0.1351063003197879
432647772,9.7981,9.3046,11.7463,0.1114,0.1014,0.1133,0.12199187159268324
432647776,1.9532,2.2577,4.3276,0.0053,0.0089,0.0235,0.2059488517353309
432647777,1.9665,2.2555,4.4704,0.0076,0.0097,0.0241,0.1963000700655754
432647780,6.9845,7.1082,10.667,0.1097,0.1027,0.1183,0.11853991327830876
432647782,3.7259,4.0289,5.9243,0.1367,0.1416,0.1461,0.17695501477362918
432647788,3.5867,3.7324,5.5075,0.03,0.0326,0.0417,0.1903544897796419
432647792,3.4148,3.3882,5.0401,0.051,0.0504,0.0571,0.1903544897796419
432647793,5.5854,5.6289,8.3821,0.0882,0.0874,0.1044,0.12953615542145414
432647794,5.0005,5.2904,8.2898,0.0289,0.0342,0.0549,0.12081909724428652
432647795,7.7179,7.9859,11.6648,0.0875,0.0846,0.1172,0.10926437976474195
432647817,3.3517,3.3453,4.8377,0.9785,0.9778,0.9847,0.2093793437612272
432647819,3.0155,3.5695,5.7767,0.1848,0.2273,0.2315,0.14442151192814084
432647838,7.3364,6.9537,9.4488,0.0483,0.0251,0.0298,0.1021587506273488
432647841,4.3978,4.5892,7.9264,0.4547,0.4757,0.5254,0.10471236017896915
432647844,4.3333,4.1177,6.7304,0.1449,0.1404,0.1459,0.11527791973048969
432647846,4.513,4.9549,6.1519,0.1546,0.1736,0.167,0.1903544897796419
432647847,4.0112,4.3541,5.501,0.0526,0.0574,0.0586,0.19941430995731257
432647857,9.5317,8.8393,10.2272,0.1039,0.0959,0.0944,0.12821464331793822
432647864,10.8276,10.0555,12.2656,0.0094,0.0009,0.0137,0.09040079679516942
432647868,4.884,4.4319,6.1495,0.0115,0.0003,0.0089,0.13807493637999585
432647869,4.7151,4.3266,6.0104,0.0236,0.0156,0.0102,0.1396087127968195
432647873,2.7432,2.4704,3.6133,0.0085,0.0036,0.0064,0.22039234176969208
432647874,1.4489,1.5574,3.2827,0.0762,0.0805,0.0961,0.2129260181386661
432647876,1.2653,1.9927,4.4756,0.0298,0.0545,0.0845,0.1721088567938853
432647886,4.133,4.5046,5.9506,0.0362,0.0403,0.046,0.18475840065665078
432647887,3.0245,3.2692,4.5405,0.012,0.0135,0.0184,0.2059488517353309
432647888,2.8463,3.0596,4.3017,0.002,0.0024,0.0079,0.2093793437612272
432647889,1.8744,1.897,3.6539,0.0182,0.018,0.0252,0.23262772230212783
432647890,2.3885,2.5257,4.3988,0.0187,0.0208,0.0287,0.21659487670178934
432647891,2.4938,2.7304,5.1352,0.013,0.0163,0.0305,0.18751471302418415
432647892,4.6409,5.261,6.8069,0.1338,0.1568,0.1581,0.16978395275546265
432647899,8.8867,9.1032,14.5612,0.0653,0.0685,0.1019,0.07903061153879146
432647900,6.3278,6.1567,8.1487,0.1039,0.1016,0.1019,0.12691981982432735
432647902,5.0304,4.5258,5.7613,0.1031,0.0915,0.0805,0.15137953892966877
432647904,4.441,4.1213,5.2641,0.1663,0.1572,0.1338,0.1653175867489029
432647905,6.2908,5.664,6.7391,0.1442,0.1253,0.1126,0.14610036423614817
432647907,1.7715,1.9812,4.2563,0.0175,0.0192,0.0255,0.2093793437612272
432647908,4.7288,4.1356,4.8831,0.0805,0.0693,0.0632,0.20262892686416292
432647909,3.9135,4.297,8.0024,0.0221,0.0427,0.0591,0.13088518977836702
432647911,7.6891,6.9686,7.8682,0.1856,0.1685,0.1374,0.13807493637999585
432647914,11.45,12.0712,13.8976,0.1785,0.1941,0.1918,0.13226261511265314
432647918,21.9654,22.1014,27.6982,0.4265,0.4314,0.4494,0.06510896233025722
432647926,5.0406,4.8466,6.8021,0.1579,0.1515,0.1563,0.15705446369492315
432647927,5.5388,5.2822,7.471,0.1041,0.0973,0.1016,0.1411769425941694
432647928,4.8024,4.6821,6.8696,0.0857,0.0814,0.0857,0.1396087127968195
432647929,10.4244,10.0273,12.987,0.185,0.1774,0.1965,0.1256508846247525
432647930,10.6689,10.3377,13.4299,0.1343,0.1254,0.1423,0.13088518977836702
432647932,15.7403,15.2118,18.8154,0.2224,0.2058,0.2272,0.09894156757337469
432647933,14.3825,13.8714,17.5752,0.2942,0.2759,0.3002,0.09307904275505513
432647934,5.1054,5.1326,6.3757,0.0999,0.0994,0.098,0.19328157927359077
432647935,6.675,6.682,7.9185,0.1955,0.1937,0.1805,0.17449830252036147
432647936,8.1691,8.8222,14.7747,0.0,0.0,0.0454,0.09740778003073822
432647939,3.5866,6.5053,13.1058,0.1333,0.2456,0.4075,0.11853991327830876
432647949,6.0008,5.8962,8.5006,0.1102,0.1068,0.1152,0.11634512054520679
432647953,4.6517,4.913,7.5583,0.0343,0.0378,0.0601,0.16108014280507627
432647955,8.4849,8.5732,11.5257,0.0821,0.0836,0.0992,0.11527791973048969
432647962,3.0994,3.3772,4.6391,0.0203,0.0237,0.0271,0.20262892686416292
432647963,3.3045,3.5352,4.7124,0.0444,0.0481,0.0506,0.2129260181386661
432647964,3.4723,3.5175,4.8173,0.1409,0.1423,0.1372,0.19941430995731257
432647965,4.0499,4.0701,5.3979,0.0742,0.0742,0.073,0.19941430995731257
432647967,4.591,5.9451,12.2268,0.0001,0.013,0.0624,0.07342087635766537
432647971,9.2171,10.0694,15.431,0.0989,0.1068,0.1417,0.07756719641593564
432647973,3.0273,3.7827,7.0311,0.0084,0.017,0.0393,0.1721088567938853
432647974,4.8357,5.6214,9.7172,0.0633,0.0733,0.1009,0.11527791973048969
432647975,6.8289,7.4882,11.2719,0.0378,0.045,0.0784,0.11853991327830876
432647981,28.9516,28.0431,31.0506,0.5023,0.4993,0.528,0.07348500463068167
432647984,22.8982,21.305,22.387,0.2297,0.2136,0.2072,0.07903061153879146
432647988,26.1724,25.3179,29.1217,0.1749,0.163,0.21,0.0752449975094086
432647990,8.4665,11.5744,20.8846,0.0,0.0086,0.1087,0.08911864874469005
432647991,17.0447,19.3965,26.2291,0.265,0.3097,0.3243,0.04120076930564869
432647992,24.1909,22.6418,23.1588,0.3419,0.3216,0.27,0.06981099120988524
432647993,2.5777,2.6635,4.8086,0.1141,0.1233,0.1301,0.1427807996875266
432647997,2.8128,3.0125,4.6227,0.06,0.0666,0.0722,0.18751471302418415
432647998,6.836,6.4714,7.8761,0.0606,0.055,0.0611,0.14442151192814084
432648004,12.5391,13.6005,18.2516,0.1028,0.1188,0.1403,0.07569824722699373
432648012,25.087,23.5258,25.2962,0.4604,0.4257,0.3509,0.05129044711249124
432648014,9.7865,10.2557,12.865,0.3655,0.3755,0.3758,0.11423011752805243
432648015,14.0261,17.4759,29.2968,0.0207,0.1079,0.1641,0.0661369411690469
