detection_id,B,G,R,nB,nG,nR,Compactness
300084257,14.2538,14.0641,19.5797,0.8466,0.8431,0.8683,0.05790830079919458
300084269,40.4044,38.5682,38.3103,1.617,1.5549,1.3449,0.0595549083537657
300084301,14.1059,14.3872,18.5646,0.4099,0.4144,0.4457,0.07953076456813789
300084375,18.3407,19.2873,24.2749,0.822,0.8553,0.9132,0.08212958633865283
300084395,24.7022,23.6293,25.7011,0.9143,0.8598,0.746,0.05487392523583279
300084396,18.4913,19.2388,26.3816,0.2165,0.2252,0.2746,0.0541643755046309
300084397,8.7279,8.4719,14.4084,0.1167,0.1089,0.1384,0.05370144932732833
300084398,22.421,21.3741,23.9322,0.8615,0.8126,0.7075,0.05463535211139932
300084399,15.0049,15.5694,21.2223,0.2714,0.2857,0.3274,0.06544805286939072
300084400,6.6538,6.5423,11.2842,0.0969,0.0921,0.1239,0.06544805286939072
300084401,17.7605,16.8374,19.1457,0.8138,0.7666,0.6622,0.06477336728387235
300084402,13.2675,14.2374,18.8994,0.145,0.1654,0.1974,0.09740778003073822
300084404,17.6324,16.722,16.9172,0.8522,0.8018,0.6639,0.09665858053229819
300084460,33.1705,35.7322,46.7071,0.4623,0.5094,0.6417,0.06792432131461863
300084462,53.3003,51.1401,48.7764,1.1856,1.1219,0.9668,0.0675591583065621
300084473,23.9504,23.0259,25.6532,0.6658,0.6299,0.5369,0.06346488289866778
300084474,7.0441,6.9594,11.7347,0.0,0.0,0.0201,0.06190178642991358
300084475,23.2748,22.4242,25.4463,0.4581,0.4376,0.3988,0.06190178642991358
300084477,16.9118,16.3581,18.0499,0.2535,0.2415,0.2161,0.07756719641593564
300084478,5.4975,5.6528,9.3341,0.0,0.0,0.0161,0.077091360650504
300084479,16.7234,16.1848,19.0616,0.2072,0.2005,0.2028,0.077091360650504
300084481,22.5222,21.4402,23.584,0.3877,0.3636,0.3333,0.07435458803139107
300084482,6.923,7.055,10.6869,0.0,0.0,0.0169,0.07348500463068167
300084491,13.8112,15.9979,22.6746,0.1823,0.2258,0.3055,0.08106994029334431
300084492,14.8428,17.0379,23.9479,0.2075,0.255,0.3459,0.077091360650504
300084497,16.7045,16.8201,18.9138,0.2966,0.2962,0.2594,0.07853670966610296
300084498,16.6917,16.8204,18.8795,0.2897,0.2901,0.2523,0.07903061153879146
300084499,23.0213,22.812,24.8296,0.5,0.4971,0.4298,0.06829345312829196
300084500,41.9131,41.2069,41.9124,1.3147,1.2872,1.0886,0.046541470193173916
300084557,36.3016,37.6667,45.7063,0.9102,0.9388,1.0064,0.05487392523583279
300084562,54.7514,52.723,49.1753,3.037,2.9565,2.5462,0.06100034753906654
300084577,17.3055,17.0086,22.2988,0.2471,0.2421,0.275,0.06792432131461863
300084581,11.9237,12.5714,17.6956,0.0922,0.1032,0.1444,0.08548150399146558
300084582,12.3144,13.1836,18.2134,0.0987,0.1168,0.1647,0.08666044549832956
300084586,16.3129,18.0105,23.4033,0.2822,0.3271,0.3855,0.07903061153879146
300084587,9.2174,9.2747,13.4084,0.6081,0.6176,0.6329,0.07903061153879146
300084588,26.6544,28.8768,35.9633,0.2594,0.3008,0.3641,0.06444121395927624
300084590,25.0204,26.9984,33.2966,0.3194,0.3577,0.412,0.07059533429497317
300084591,14.0516,14.1387,18.7221,0.936,0.9523,0.9749,0.07059533429497317
300084593,10.0885,10.0805,14.9557,0.7884,0.7946,0.8191,0.06792432131461863
300084599,24.9147,26.8608,32.8316,0.2525,0.2859,0.3285,0.07139750161301212
300084601,28.1543,30.0902,35.9948,0.3235,0.3578,0.4041,0.07435458803139107
300084602,28.1912,29.8367,35.7741,0.3434,0.3676,0.4101,0.07435458803139107
300084603,27.4803,29.9175,35.8692,0.3157,0.3708,0.4232,0.07180546030797123
300084657,26.8317,30.6816,36.6557,0.2289,0.2661,0.2917,0.07263552511680024
300084679,47.9098,46.4,39.116,1.4123,1.3428,1.0726,0.06866661880204716
300084683,47.6103,45.9449,38.7653,1.2413,1.1936,0.9382,0.07020097205976435
300084686,30.8017,37.712,46.426,0.7085,0.957,1.1043,0.06579069379816853
300084688,33.1247,34.7888,39.9599,0.6733,0.7251,0.7609,0.06411244968272661
300084690,40.2006,47.4498,57.7507,0.7276,0.9362,1.0966,0.06314598028335774
300084692,39.2725,41.5014,47.1313,0.5829,0.6221,0.6573,0.058176383157876974
300084758,20.2087,19.4081,18.066,0.2354,0.2244,0.1882,0.09172037375316221
300084760,18.887,20.5399,24.5459,0.1298,0.1361,0.1537,0.09665858053229819
300084761,19.3075,18.5163,18.6134,0.3291,0.3156,0.2627,0.09172037375316221
300084762,14.1946,15.7324,19.1334,0.3004,0.3514,0.367,0.09172037375316221
300084763,18.5059,22.6092,28.0483,0.1261,0.1557,0.1908,0.09239471398211957
300084771,16.4996,19.077,22.9887,0.1392,0.146,0.165,0.10739689511380088
300084779,15.2913,16.6156,19.4698,0.1957,0.2225,0.2335,0.1021587506273488
300084780,21.0604,19.1713,18.4809,0.1797,0.1654,0.1238,0.1038470904936626
300084781,17.2726,20.3533,23.7866,0.114,0.1236,0.1366,0.1038470904936626
300084782,17.4457,19.259,21.8108,0.4132,0.4628,0.473,0.09307904275505513
300084783,26.3358,24.0568,22.6461,0.2349,0.2118,0.1731,0.0937735836449438
300084784,26.3424,30.0658,34.4245,0.1899,0.2009,0.2196,0.08911864874469005
300084787,30.7878,35.143,40.8605,0.2139,0.2327,0.2662,0.07435458803139107
300084788,23.6883,26.0109,29.6318,0.5925,0.6522,0.6706,0.07391723900466864
300084789,37.7742,35.3443,31.994,0.2748,0.251,0.2167,0.08106994029334431
300084790,30.4072,34.1263,39.1552,0.2572,0.2664,0.2928,0.08106994029334431
300084791,23.6778,25.9575,29.2282,0.5298,0.5913,0.5968,0.08106994029334431
300084792,40.5177,38.2021,34.0848,0.2895,0.2696,0.2277,0.08055030487456037
300084793,30.2912,34.0838,39.2358,0.2388,0.2488,0.2769,0.08003728818317192
300084794,24.5845,26.8927,30.4042,0.5547,0.613,0.6206,0.0752449975094086
300084795,42.1844,39.8539,35.5452,0.2911,0.2714,0.2314,0.07615699026400004
300084873,17.4219,18.4841,21.3112,0.6052,0.6362,0.6234,0.09172037375316221
300084874,27.6063,26.0661,24.1757,0.2928,0.268,0.2244,0.09172037375316221
300084875,20.0763,21.4621,25.6659,0.2359,0.2569,0.284,0.08849111644335216
300084876,19.9165,20.9239,24.3068,0.2784,0.2924,0.3081,0.08726219508235135
300084877,29.7149,28.0693,25.6682,0.3187,0.2873,0.236,0.09447856694680049
300084878,21.8529,23.6137,27.7681,0.3394,0.3726,0.4068,0.09447856694680049
300084882,15.5331,16.3679,19.7058,0.5205,0.5495,0.5592,0.09447856694680049
300084883,24.1849,22.3791,20.5659,0.299,0.2672,0.2149,0.10052442674077641
300084885,16.2541,17.6143,20.8674,0.48,0.5238,0.5333,0.10133499999681532
300084888,12.7787,13.3872,17.3226,0.438,0.4557,0.4738,0.08212958633865283
300084889,34.3876,32.2971,29.3332,0.3689,0.3332,0.274,0.07479714303071543
300084891,19.0891,21.4121,26.9459,0.3744,0.4261,0.4666,0.07263552511680024
300084903,13.6667,14.437,17.8955,0.0407,0.0477,0.0652,0.09972671719555438
300084904,20.3108,18.5691,17.455,0.3754,0.3372,0.266,0.10559216905199818
300084957,12.872,13.3892,17.0212,0.3427,0.3575,0.3895,0.11219063124580061
300084958,18.5546,17.1054,16.1235,0.3109,0.2795,0.2211,0.11219063124580061
300084973,14.1755,14.9816,18.8763,0.6224,0.6561,0.6904,0.09740778003073822
300084979,14.8383,15.4884,18.9045,0.4648,0.4853,0.5107,0.09740778003073822
300084980,17.6588,16.3694,16.4595,0.4304,0.3966,0.3277,0.1021587506273488
