detection_id,B,G,R,nB,nG,nR,Compactness
433075243,7.4757,8.3729,11.8035,0.1039,0.1171,0.1385,0.10926437976474195
433075244,7.7038,8.5787,12.5748,0.3304,0.3718,0.4127,0.09816868357674101
433075245,6.7913,7.4803,11.4409,0.2773,0.3048,0.3384,0.09519422993221213
433075242,4.3837,4.3039,5.5143,0.2027,0.1988,0.1842,0.1903544897796419
433075225,1.2237,1.4639,2.8103,0.0124,0.0153,0.0209,0.21659487670178934
433075195,1.4414,1.4413,2.5194,0.0045,0.0046,0.0096,0.2093793437612272
433075194,3.0978,3.0489,4.0097,0.0156,0.0152,0.0209,0.15904183716398032
433075184,1.8271,1.7411,2.8555,0.0492,0.0473,0.0449,0.2059488517353309
433075185,2.1914,2.0897,3.2192,0.0006,0.0006,0.0072,0.18208192715442573
433075166,2.7795,2.812,4.4207,0.1132,0.1169,0.1069,0.15322506464696445
433075142,3.0726,3.3989,5.0694,0.0333,0.0404,0.045,0.15137953892966877
433075144,3.747,4.3087,6.4414,0.0627,0.0763,0.0903,0.13807493637999585
433075145,2.5548,2.9387,4.4585,0.052,0.0624,0.0678,0.17449830252036147
433075106,3.1729,3.6381,5.3878,0.034,0.0403,0.051,0.14610036423614817
433075107,3.3515,3.7205,5.7104,0.0375,0.0445,0.0566,0.1396087127968195
433075098,1.9749,2.3471,4.0549,0.019,0.023,0.0306,0.15904183716398032
433075093,3.4332,3.5088,4.9695,0.1462,0.151,0.1359,0.15511613727099602
433075094,4.8087,5.0212,6.7232,0.2691,0.2799,0.2491,0.12691981982432735
