detection_id,B,G,R,nB,nG,nR,Compactness
432433786,2.1396,1.8325,3.7459,0.1183,0.1012,0.1206,0.1794818739290955
432433787,2.2167,1.9655,4.0293,0.0464,0.0407,0.053,0.16752101074657041
432433789,3.4593,3.4552,5.1287,0.0502,0.0499,0.0595,0.20262892686416292
432433790,7.9575,8.0645,10.2135,0.0703,0.07,0.0812,0.14442151192814084
432433791,9.1736,9.2908,11.6117,0.078,0.0786,0.0903,0.1336693370934263
432433792,9.5639,9.6797,12.2152,0.1278,0.1282,0.1474,0.1256508846247525
432433793,10.191,10.3166,12.7514,0.0546,0.0552,0.0692,0.12691981982432735
432433794,8.7376,8.8304,10.7819,0.0653,0.0654,0.0753,0.14442151192814084
432433795,8.7919,9.0391,11.1106,0.0937,0.0966,0.1072,0.1411769425941694
432433797,8.8878,9.0569,11.1114,0.1264,0.132,0.1382,0.1351063003197879
432433800,3.4728,3.6406,5.1842,0.0391,0.0409,0.0446,0.1794818739290955
432433801,3.1835,3.3408,4.8456,0.0505,0.0529,0.0554,0.18208192715442573
432433820,6.1188,6.2204,8.0501,0.4262,0.4193,0.3451,0.10739689511380088
432433823,5.5778,5.7812,7.802,0.1033,0.1033,0.0993,0.10739689511380088
432433871,1.5982,1.8784,4.0247,0.0037,0.0046,0.0139,0.1351063003197879
432433896,5.6918,5.8848,7.8774,0.1441,0.1492,0.1312,0.09816868357674101
432433935,10.3265,10.2299,12.7262,0.1186,0.1139,0.1143,0.07020097205976435
432433936,17.0817,17.0144,18.5429,0.0973,0.0983,0.1006,0.06220821570931003
432433938,20.5541,20.5091,24.2167,0.0567,0.0599,0.0847,0.04456103357379679
432433942,12.005,9.6617,13.1536,0.3432,0.2662,0.2675,0.07099415216660818
432433990,3.3874,3.8354,7.2969,0.0644,0.0774,0.0957,0.08787235948346774
