detection_id,B,G,R,nB,nG,nR,Compactness
432466685,2.5418,2.42,2.3002,0.039,0.0393,0.0171,0.18751471302418415
432466690,6.77,6.4769,4.5171,0.1636,0.1604,0.0514,0.12691981982432735
432466692,16.0652,15.259,9.2321,0.3548,0.3522,0.1218,0.07020097205976435
432466703,4.5232,4.6471,4.5363,0.0563,0.0602,0.0281,0.13807493637999585
432466705,5.8708,6.1015,8.4201,0.094,0.101,0.1097,0.12081909724428652
432466707,6.7931,6.8225,8.7804,0.0974,0.0986,0.102,0.12440706908215582
432466708,6.6361,6.7631,8.7315,0.0877,0.0924,0.1103,0.1256508846247525
432466709,6.7924,6.9246,8.9181,0.1253,0.13,0.1349,0.11966865507387159
432466710,7.9214,8.0345,9.9163,0.1459,0.1495,0.1486,0.11966865507387159
432466711,7.7586,7.8237,9.4978,0.1388,0.1386,0.1193,0.11966865507387159
432466712,6.1623,6.5275,8.0917,0.0891,0.0954,0.095,0.11853991327830876
432466716,2.6632,2.6233,3.8324,0.0568,0.053,0.0486,0.15137953892966877
432466717,2.311,3.1324,4.5462,0.0298,0.0554,0.0611,0.1721088567938853
432466718,3.358,3.7327,4.8682,0.0577,0.0637,0.0694,0.1721088567938853
432466725,4.093,3.9239,5.4657,0.0719,0.0704,0.078,0.15137953892966877
432466731,5.6393,5.556,5.7221,0.1477,0.1438,0.1057,0.11219063124580061
432466733,4.2342,4.3381,5.3802,0.0991,0.0997,0.0766,0.12440706908215582
432466741,2.8537,2.9089,4.4153,0.0263,0.0275,0.0283,0.15322506464696445
432466775,2.2026,2.4517,3.942,0.074,0.0829,0.0811,0.2059488517353309
432466776,2.4773,2.839,4.2851,0.0579,0.0662,0.0629,0.20262892686416292
432466777,2.8808,3.1016,4.9927,0.0581,0.0652,0.1023,0.19328157927359077
432466779,2.3471,2.5695,4.5257,0.0682,0.0755,0.0911,0.18751471302418415
