detection_id,B,G,R,nB,nG,nR,Compactness
430977484,11.1876,9.8222,13.3953,0.1321,0.1117,0.1188,0.07903061153879146
430977487,13.6508,13.8756,20.7013,0.2561,0.2625,0.3031,0.05302170881884524
430977488,14.649,14.816,20.2998,0.1643,0.165,0.1918,0.0607056738604871
430977495,11.9983,10.5394,14.7115,0.1772,0.1473,0.1589,0.07099415216660818
430977496,8.7765,9.0823,15.4868,0.0846,0.0888,0.1115,0.049086630312145024
430977497,12.0456,12.1286,19.5348,0.4718,0.473,0.4933,0.04146902302738527
430977499,16.2171,15.4204,21.5469,0.1559,0.1448,0.1795,0.0661369411690469
430977508,21.594,20.5683,26.6377,0.5888,0.5524,0.6268,0.07391723900466864
430977520,27.5799,27.7357,35.8226,0.2165,0.2175,0.2683,0.04889563761385481
430977528,19.0583,18.7451,25.2171,0.1104,0.1065,0.1358,0.048146301614186766
430977532,9.8817,8.8375,13.4981,0.1117,0.0972,0.1127,0.06579069379816853
430977537,14.6421,15.0329,19.3516,0.2127,0.224,0.2508,0.08606693785815557
430977541,18.623,17.6168,23.7016,0.1343,0.1207,0.1491,0.06129789587454133
430977549,26.9903,27.7212,35.4071,0.3379,0.3496,0.409,0.05737948033237819
430977560,18.0986,18.6155,24.8747,0.3063,0.3179,0.3462,0.0541643755046309
430977571,13.7155,13.7303,21.286,0.5197,0.5068,0.6136,0.05790830079919458
430977582,22.9429,23.2442,30.3053,0.3353,0.3368,0.4025,0.06411244968272661
430977597,33.4272,33.9339,44.2483,0.2083,0.2097,0.2566,0.04133629519476816
430977607,13.1547,11.4641,15.8947,0.182,0.1482,0.1528,0.06251769380643689
430977613,22.7187,23.5754,29.0538,0.4521,0.4766,0.4998,0.0595549083537657
430977618,28.4976,29.0772,34.9687,0.1616,0.1632,0.1956,0.06220821570931003
430977623,14.5505,14.7667,20.5121,0.1824,0.1859,0.2097,0.05584942297118333
430977628,34.1562,34.5646,43.4541,0.1976,0.199,0.2447,0.041610039451085
430977632,11.1635,11.7045,17.267,0.4125,0.4341,0.4804,0.06792432131461863
430977634,15.5889,15.2699,20.4622,0.1958,0.1874,0.2262,0.07305779571290515
430977637,27.1115,25.15,31.9758,0.2725,0.2441,0.2791,0.04318289069619264
430977645,16.5419,16.8674,22.5633,0.2687,0.275,0.3142,0.06942531913488556
430977646,19.3518,19.7929,25.852,0.1967,0.2024,0.2364,0.06579069379816853
430977658,17.7198,17.91,24.9428,0.2489,0.2507,0.2895,0.04927912092245134
430977661,11.5754,11.8538,17.9124,0.3717,0.3825,0.4317,0.059274001684944774
430977663,15.8794,16.1639,21.4088,0.1817,0.1837,0.2171,0.07615699026400004
430977664,14.3989,14.2181,19.7126,0.1717,0.1743,0.1965,0.06378702284985524
430977665,14.0344,14.0969,18.5489,0.2156,0.217,0.2405,0.077091360650504
430977672,25.8164,23.0955,27.0168,0.3249,0.2648,0.281,0.07756719641593564
430977680,13.1832,11.4592,15.8758,0.1746,0.1464,0.1546,0.06579069379816853
430977750,13.1314,13.3671,18.356,0.2741,0.2791,0.3127,0.07348500463068167
430977751,10.8437,9.6362,13.4736,0.1491,0.1169,0.1272,0.07479714303071543
430977752,16.9597,17.4474,23.1869,0.2483,0.2586,0.3028,0.07139750161301212
430977754,14.5108,14.652,20.4058,0.2052,0.2056,0.2452,0.0675591583065621
430977755,11.4862,11.7337,16.7148,0.0561,0.0601,0.1007,0.08106994029334431
430977756,11.4255,10.3881,14.8576,0.0455,0.0342,0.0495,0.06866661880204716
430977757,17.3259,17.7054,22.964,0.2087,0.2132,0.2509,0.07662132709270902
430977758,18.118,17.9787,22.6896,0.3381,0.3364,0.3606,0.07263552511680024
430977760,15.0319,15.8264,21.9329,0.3197,0.3414,0.3956,0.06866661880204716
430977767,15.7049,16.2337,22.1923,0.2932,0.3047,0.3494,0.06684048540909966
430977769,18.5231,17.8709,24.169,0.2574,0.2479,0.2828,0.06100034753906654
430977770,11.2201,11.4816,16.4912,0.4234,0.4371,0.4352,0.0589957324588329
430977775,11.6515,12.0434,18.2415,0.2313,0.2391,0.285,0.06098847637340955
430977778,9.3338,9.6079,13.9953,0.0436,0.0527,0.0795,0.08490398027194407
430977779,23.0461,23.5669,30.3317,0.3366,0.3433,0.3979,0.06041383338136221
430977781,16.868,17.0413,23.1822,0.2762,0.28,0.3242,0.06190178642991358
430977783,19.1449,17.8992,23.9968,0.2248,0.2095,0.2392,0.057118675464029094
430977785,22.4333,22.783,27.8804,0.096,0.0959,0.1153,0.06942531913488556
430977789,17.178,15.5606,19.3817,0.1845,0.1641,0.183,0.07953076456813789
430977799,20.9392,21.3467,26.8504,0.1042,0.1037,0.1295,0.06378702284985524
430977835,18.3183,18.5708,23.7675,0.0816,0.0815,0.1008,0.07348500463068167
430977836,35.2254,33.6028,42.9597,0.2793,0.2751,0.3199,0.045040172094838404
430977841,20.1199,19.6634,27.3948,0.3469,0.3339,0.3961,0.05584942297118333
430977843,14.1399,14.2297,19.6432,0.2004,0.2013,0.2399,0.07569824722699373
430977844,10.1048,9.3529,13.2411,0.1874,0.1682,0.1812,0.0815963233535219
430977855,11.7196,10.5634,14.2837,0.2969,0.2594,0.2501,0.07099415216660818
430977858,14.6925,15.2714,21.8983,0.3456,0.3602,0.4148,0.05790830079919458
430977859,20.6998,18.8752,23.8388,0.3075,0.275,0.2954,0.05844695914181379
430977860,14.8797,15.2578,20.8434,0.2529,0.2627,0.3121,0.07435458803139107
430977866,25.1711,25.4312,30.6754,0.1388,0.1396,0.1651,0.06942531913488556
430977867,9.6669,9.9035,15.1707,0.0904,0.0912,0.111,0.06411244968272661
430977869,15.4907,15.5859,23.5595,0.1537,0.1557,0.2042,0.049086630312145024
