detection_id,B,G,R,nB,nG,nR,Compactness
427592863,2.8975,4.2503,4.7225,0.0574,0.097,0.0417,0.0937735836449438
427592864,2.9409,4.4787,5.0062,0.0657,0.1119,0.0411,0.08666044549832956
427592865,5.1207,9.7421,8.393,0.0946,0.1952,0.0727,0.05660411406725943
427592866,4.6848,6.8733,7.2388,0.0766,0.1438,0.0562,0.057118675464029094
427592867,4.1484,7.3687,7.0503,0.0922,0.1706,0.0646,0.05872006370526449
427592868,5.5986,9.2371,7.9131,0.0867,0.1755,0.0662,0.0539319190680174
427592872,6.2079,10.7766,7.8247,0.1055,0.1813,0.0734,0.05324636892277132
427592873,5.7297,9.7996,7.4745,0.1003,0.1772,0.0666,0.0541643755046309
427592874,4.9827,8.0803,7.0813,0.1084,0.1663,0.0588,0.05511459098459456
427592875,4.9153,8.1392,7.0503,0.0943,0.1654,0.056,0.05511459098459456
427592876,4.7135,8.0966,6.9621,0.0845,0.1528,0.056,0.05535737701133239
427592877,6.4325,10.4307,7.7001,0.1118,0.2138,0.057,0.05584942297118333
427592878,7.9685,11.7496,8.6618,0.1176,0.1925,0.0649,0.051500646728563054
427592879,6.1892,10.3039,8.3623,0.086,0.1656,0.0585,0.051712576293637055
427592882,4.2755,7.8546,5.9386,0.0561,0.1157,0.0346,0.06544805286939072
427592883,2.7655,5.915,4.8574,0.0202,0.0658,0.026,0.07569824722699373
427592884,2.8483,6.0843,4.8254,0.0298,0.0804,0.0287,0.07662132709270902
427592885,2.8763,5.2943,4.4992,0.0365,0.0751,0.0314,0.07953076456813789
427592886,2.53,5.6919,4.6193,0.0336,0.0911,0.03,0.07903061153879146
427592887,2.4923,5.6998,4.5937,0.0451,0.1043,0.0319,0.08003728818317192
427592888,9.0539,11.2737,4.2196,0.0002,0.0239,0.0159,0.07804894248762141
427592889,2.6298,4.9527,4.5745,0.0308,0.0623,0.0285,0.08106994029334431
427592890,10.087,12.4311,4.3028,0.0,0.0323,0.0159,0.07804894248762141
427592891,9.8971,14.147,7.69,0.0306,0.1012,0.0229,0.077091360650504
427592892,11.0446,13.2562,5.0777,0.0071,0.0413,0.0198,0.07479714303071543
427592893,4.3223,7.1043,5.3553,0.0248,0.0837,0.0224,0.077091360650504
427592896,9.8141,11.2091,5.6726,0.1548,0.1941,0.0207,0.09447856694680049
427592897,5.8987,6.7239,5.7823,0.0266,0.0538,0.0214,0.0937735836449438
427592898,10.812,12.5824,6.4433,0.1501,0.1951,0.0269,0.08606693785815557
427592899,4.9925,6.1889,5.6575,0.0182,0.0509,0.0184,0.09040079679516942
427592900,4.7514,7.9967,6.2179,0.0384,0.0961,0.0251,0.06792432131461863
427592902,7.0458,10.2056,6.8255,0.0823,0.1418,0.0322,0.06283026644890574
427592903,23.9897,28.6192,13.4493,0.1229,0.1663,0.0239,0.06510896233025722
427592904,7.5543,12.3106,7.4913,0.0776,0.1281,0.0339,0.06544805286939072
427592905,22.555,26.2766,12.4207,0.1828,0.2121,0.0352,0.06477336728387235
427592906,12.2121,16.0744,8.787,0.1084,0.1494,0.0331,0.0661369411690469
427592907,22.8854,24.9878,11.7049,0.1477,0.1606,0.022,0.06648685222060789
427592908,11.0696,13.5083,8.0477,0.1002,0.1226,0.0323,0.07099415216660818
427592909,13.5847,14.2282,7.8364,0.0832,0.0869,0.0165,0.08321729873508964
427592910,10.3762,12.1272,6.577,0.0882,0.1067,0.0216,0.08911864874469005
427592923,8.2018,21.0734,18.3883,0.1502,0.3764,0.2521,0.0541643755046309
427592924,10.2854,24.8927,20.8268,0.2666,0.6055,0.3692,0.0502646717369248
427592925,8.4329,23.6892,19.1828,0.3112,0.7453,0.4541,0.06041383338136221
427592933,2.8844,8.1099,5.7847,0.0061,0.0115,0.0261,0.06041383338136221
427592935,3.051,10.1923,5.9546,0.0149,0.0326,0.0331,0.06283026644890574
427592936,3.2254,10.1636,5.5275,0.0,0.0003,0.0202,0.06159836113714365
427592937,3.1071,10.6563,5.769,0.0,0.0018,0.021,0.059274001684944774
427592939,3.1526,10.0299,5.1259,0.0,0.0004,0.0195,0.06378702284985524
427592940,2.9926,8.8777,4.6728,0.0,0.0,0.0179,0.06942531913488556
427592941,2.4444,7.6614,4.2215,0.0,0.0,0.0162,0.07662132709270902
427592943,3.8832,9.8206,4.6365,0.0,0.0,0.0168,0.07391723900466864
427592944,3.1347,9.6679,4.4662,0.0,0.0,0.016,0.07756719641593564
427592947,4.2816,8.5546,4.7009,0.045,0.0825,0.0288,0.09307904275505513
427592948,4.2557,7.9675,4.4627,0.0357,0.0503,0.0248,0.09740778003073822
427592949,3.9919,8.3572,4.4326,0.0529,0.0823,0.0355,0.09972671719555438
427592950,4.6786,7.3253,4.1586,0.0425,0.057,0.0226,0.1021587506273488
427592951,3.8927,7.7932,4.2894,0.0317,0.0549,0.024,0.09972671719555438
427592952,3.885,7.3861,4.2773,0.0379,0.0643,0.0236,0.0937735836449438
427592953,3.7191,7.0438,4.5306,0.0381,0.0747,0.0295,0.08849111644335216
427592954,4.3657,9.1406,5.2778,0.052,0.1161,0.0332,0.08003728818317192
427592955,3.9503,8.3607,4.9403,0.0489,0.0964,0.0323,0.08266986501266944
427592972,0.8849,2.662,5.5057,0.0088,0.0317,0.0348,0.09040079679516942
427593012,4.3489,7.3013,9.2202,0.0746,0.1501,0.1263,0.0937735836449438
427593013,0.1432,2.6913,5.5371,0.001,0.0032,0.0228,0.08787235948346774
427593036,7.9085,9.9068,4.6339,0.0641,0.0894,0.0334,0.08606693785815557
427593037,2.5575,5.2121,4.4963,0.0311,0.0855,0.0275,0.08490398027194407
427593038,11.9174,18.4974,8.6825,0.0831,0.1676,0.0884,0.07059533429497317
427593039,27.7951,33.9872,16.3315,1.206,1.4669,0.5381,0.0661369411690469
427593040,11.6445,17.643,8.9171,0.0525,0.1358,0.0676,0.06283026644890574
