detection_id,B,G,R,nB,nG,nR,Compactness
432255817,5.1026,5.2135,6.8399,0.0338,0.0354,0.0404,0.15904183716398032
432255818,5.3549,5.3992,7.3004,0.023,0.023,0.0308,0.15322506464696445
432255821,5.4083,5.4427,7.2894,0.0238,0.0238,0.0316,0.15137953892966877
432255822,5.093,5.2125,7.0643,0.0288,0.0294,0.0363,0.15137953892966877
432255823,4.2737,4.3299,5.9383,0.0254,0.026,0.0321,0.17449830252036147
432255824,5.8155,5.8885,7.6436,0.0297,0.0303,0.0375,0.15137953892966877
432255825,6.08,6.1676,7.9229,0.0309,0.0312,0.0383,0.14781870195462177
432255826,5.5632,5.701,7.4997,0.0382,0.039,0.0451,0.14442151192814084
432255828,4.1644,4.2189,5.7947,0.0182,0.0184,0.0246,0.1903544897796419
432255829,4.8444,5.0252,6.9515,0.0208,0.0208,0.0286,0.15705446369492315
432255830,5.1847,5.1897,7.0017,0.0222,0.022,0.0295,0.16317136358672749
432255831,4.1118,4.1522,5.9086,0.0285,0.0289,0.0359,0.17449830252036147
432255832,5.1335,5.3111,7.3952,0.0424,0.0451,0.0513,0.1427807996875266
432255833,2.8825,3.3397,4.7961,0.0035,0.0039,0.0108,0.16317136358672749
432255836,3.9991,4.0139,5.5095,0.0507,0.0506,0.053,0.1794818739290955
432255837,4.1179,4.2064,5.8003,0.0198,0.02,0.0265,0.17695501477362918
432255838,2.7224,2.9506,4.495,0.2254,0.2417,0.2287,0.17449830252036147
432255839,3.0437,3.3357,4.8871,0.0161,0.0173,0.0232,0.1653175867489029
432255840,3.2636,3.5829,5.0029,0.1295,0.1424,0.1333,0.1721088567938853
432255841,2.9186,3.227,4.6482,0.0222,0.0242,0.0288,0.1721088567938853
432255842,4.107,3.9945,5.8799,0.0499,0.0484,0.0557,0.1721088567938853
432255845,4.6357,4.778,6.6885,0.0518,0.0539,0.06,0.15511613727099602
432255846,3.2446,3.6756,5.1009,0.0,0.0,0.0072,0.16978395275546265
432255850,2.8339,3.1866,4.6713,0.0117,0.013,0.0188,0.16752101074657041
432255851,2.6335,2.9675,4.2304,0.0,0.0,0.0064,0.1903544897796419
432255853,2.9,3.267,4.7884,0.0862,0.0984,0.0939,0.16317136358672749
432255855,2.4789,2.8361,4.2023,0.0,0.0,0.0067,0.18208192715442573
432255856,3.475,3.6122,5.2854,0.0528,0.0554,0.0619,0.18751471302418415
432255857,3.0426,3.5175,5.2211,0.0,0.0,0.0078,0.15705446369492315
432255858,4.7145,4.8481,6.7673,0.0516,0.0523,0.0592,0.15137953892966877
432255859,2.4366,2.8187,4.3039,0.0,0.0,0.0068,0.1794818739290955
432255861,2.7156,3.0637,4.7295,0.0868,0.0971,0.1001,0.1721088567938853
432255869,3.3147,3.6618,5.0992,0.0345,0.0389,0.044,0.19941430995731257
432255870,4.7566,4.8974,6.1887,0.0478,0.0504,0.0528,0.19941430995731257
432255871,3.1915,3.5808,4.9716,0.0221,0.0243,0.0298,0.20262892686416292
432255873,3.0841,3.5614,4.8638,0.0037,0.0041,0.01,0.20262892686416292
432255874,4.8982,5.0056,6.2663,0.0247,0.0249,0.0302,0.19941430995731257
432255875,3.0053,3.4848,4.7873,0.0,0.0,0.006,0.20262892686416292
432255876,4.6686,4.8838,6.1328,0.0302,0.031,0.0358,0.20262892686416292
432255877,3.0378,3.4686,4.7802,0.0,0.0,0.006,0.20262892686416292
432255878,4.5705,4.8091,6.069,0.0305,0.0318,0.0363,0.20262892686416292
432255882,3.0446,3.5415,4.7596,0.0,0.0,0.006,0.20262892686416292
432255883,2.9939,3.5225,4.6486,0.0,0.0,0.006,0.20262892686416292
432255884,2.8786,3.3951,4.5085,0.0,0.0,0.0059,0.2059488517353309
432255890,4.4924,4.6946,6.0555,0.0227,0.0234,0.029,0.2129260181386661
432255891,3.0138,3.4926,4.6842,0.0416,0.0479,0.0491,0.2093793437612272
432255892,4.528,4.7032,6.0334,0.0545,0.0567,0.0603,0.2093793437612272
432255893,2.9564,3.427,4.5568,0.089,0.1042,0.0982,0.21659487670178934
432255895,2.7398,3.1215,4.2559,0.0625,0.0717,0.0704,0.22039234176969208
432255896,2.8587,3.2575,4.5479,0.0111,0.0127,0.0175,0.2129260181386661
432255897,2.7236,3.1299,4.3777,0.0,0.0,0.0056,0.21659487670178934
432255898,4.4209,4.6006,5.6672,0.0248,0.0255,0.0299,0.2129260181386661
432255899,2.8535,3.2663,4.5071,0.0652,0.074,0.0746,0.21659487670178934
432255900,4.1614,4.3077,5.3802,0.0194,0.0199,0.0246,0.22039234176969208
432255902,3.776,3.979,4.976,0.033,0.0348,0.0366,0.22039234176969208
432255903,3.9639,4.105,5.1842,0.0235,0.0243,0.028,0.22039234176969208
432255904,4.0739,4.1799,5.3019,0.0248,0.0252,0.0298,0.224325293611701
432255905,3.4836,3.7856,4.7929,0.046,0.0504,0.0503,0.21659487670178934
432255906,3.8387,4.0208,5.3725,0.0296,0.0314,0.0367,0.224325293611701
432255908,4.044,4.1704,5.2188,0.0203,0.0205,0.0252,0.224325293611701
432255910,3.2823,3.5948,5.0108,0.0488,0.0544,0.0564,0.18475840065665078
432255911,3.8208,4.2506,5.8763,0.0465,0.054,0.0599,0.18475840065665078
432255912,3.5778,3.8984,5.3236,0.0554,0.0605,0.0621,0.17695501477362918
432255913,2.9451,3.2426,4.5675,0.0333,0.0372,0.0404,0.1903544897796419
432255914,2.9798,3.3051,4.5188,0.0089,0.01,0.0149,0.19328157927359077
432255915,6.1663,6.8254,8.6958,0.1462,0.1642,0.1676,0.15511613727099602
432255916,5.2668,5.7914,7.1157,0.0209,0.023,0.028,0.15705446369492315
432255917,8.0186,8.6179,10.9805,0.0647,0.0691,0.0779,0.12821464331793822
432255918,7.561,8.2706,10.6647,0.1068,0.119,0.126,0.1256508846247525
432255919,2.9518,3.3147,4.6822,0.1153,0.1296,0.1274,0.1963000700655754
432255922,6.1545,6.8248,8.7213,0.0896,0.1018,0.1089,0.15705446369492315
432255924,5.371,5.7832,7.402,0.1493,0.1606,0.156,0.1495779344429456
432255925,6.6704,7.2971,9.0498,0.0997,0.1093,0.1145,0.15511613727099602
432255926,6.627,7.2476,8.9367,0.081,0.0886,0.0933,0.15705446369492315
432255928,6.3935,6.9745,8.8186,0.1012,0.1135,0.1193,0.15904183716398032
432255931,5.1084,5.6212,7.0232,0.0734,0.082,0.0804,0.15705446369492315
432255932,3.0956,3.4471,4.8982,0.069,0.0768,0.0821,0.20262892686416292
432255933,3.5324,3.7662,5.1973,0.0307,0.0328,0.038,0.2059488517353309
432255934,3.8761,4.2017,5.6277,0.0501,0.0538,0.0576,0.1963000700655754
432255938,2.7978,3.0696,4.365,0.0297,0.0324,0.0358,0.19941430995731257
432255939,2.7245,3.0092,4.2873,0.0286,0.0322,0.0344,0.19941430995731257
432255940,2.5482,2.7965,4.0798,0.0158,0.0174,0.0219,0.20262892686416292
432255941,2.6132,2.9141,4.1291,0.0087,0.0109,0.0141,0.20262892686416292
432255949,3.6317,4.164,5.8067,0.1936,0.225,0.2246,0.1721088567938853
432255952,3.6451,4.2937,6.0214,0.0854,0.102,0.1066,0.16978395275546265
432255954,3.8657,4.4921,6.3298,0.0732,0.087,0.0941,0.16978395275546265
432255955,3.3788,4.0609,5.7946,0.0957,0.1174,0.1228,0.17449830252036147
432255956,3.4561,4.1753,5.9814,0.0964,0.1183,0.1266,0.1721088567938853
432255959,3.2268,3.832,5.5649,0.0796,0.0948,0.103,0.1794818739290955
432255960,3.362,3.9618,5.7421,0.1277,0.1508,0.1597,0.17695501477362918
432255967,3.2047,3.8362,5.5344,0.0987,0.1202,0.1242,0.1794818739290955
432255971,3.6464,4.2959,5.9854,0.1161,0.1403,0.1425,0.1721088567938853
432255984,3.285,3.8355,5.4009,0.0692,0.0819,0.0866,0.18751471302418415
432255985,3.9231,4.5973,6.2364,0.0771,0.0939,0.0973,0.17695501477362918
432255986,2.946,3.4903,5.0838,0.119,0.1441,0.1456,0.18475840065665078
432255987,2.829,3.3115,4.9484,0.0818,0.0971,0.1014,0.18208192715442573
432255988,3.4835,4.1828,5.6543,0.0533,0.0677,0.0715,0.19941430995731257
432255989,3.6741,4.413,5.8726,0.0626,0.0795,0.0833,0.19941430995731257
432255990,3.5089,4.1215,5.5732,0.0538,0.0677,0.0716,0.2059488517353309
432255991,3.788,4.3081,5.8599,0.0305,0.0358,0.0416,0.19941430995731257
432255992,3.5903,4.1472,5.716,0.0344,0.0416,0.0476,0.1963000700655754
432255995,3.3485,3.9532,5.3683,0.0229,0.0281,0.0328,0.2093793437612272
432255997,3.3916,4.0213,5.4699,0.0269,0.0331,0.0384,0.20262892686416292
432256001,3.2442,3.8003,5.2497,0.0292,0.0355,0.0408,0.2093793437612272
432256002,3.0123,3.5328,5.7612,0.1175,0.1415,0.1484,0.1396087127968195
432256004,3.9436,4.825,7.1286,0.2081,0.2554,0.26,0.13088518977836702
432256005,3.9803,4.8348,7.1947,0.2196,0.2674,0.2757,0.13226261511265314
432256018,4.7487,4.9117,6.7356,0.0337,0.0357,0.0425,0.16108014280507627
432256022,5.6112,5.7774,7.8082,0.0264,0.0273,0.0352,0.15904183716398032
432256024,5.1151,5.3846,7.4944,0.027,0.0285,0.0367,0.16317136358672749
432256026,4.6607,4.9609,7.1374,0.041,0.0436,0.0519,0.15904183716398032
432256027,4.4478,4.7456,6.8203,0.0306,0.0329,0.0411,0.1653175867489029
432256028,4.3103,4.6175,6.5191,0.0287,0.032,0.0397,0.1794818739290955
432256029,4.5604,4.863,6.903,0.0273,0.0299,0.0382,0.16317136358672749
432256030,4.9205,5.1221,7.045,0.0224,0.0228,0.03,0.16978395275546265
