detection_id,B,G,R,nB,nG,nR,Compactness
131189484,10.0436,9.6001,14.9488,0.2105,0.2017,0.2301,0.06378702284985524
131190008,13.7784,13.5333,20.778,0.3325,0.3299,0.4193,0.05302170881884524
131190871,10.1695,10.2383,14.3596,0.2107,0.2123,0.224,0.06866661880204716
131191210,6.2743,6.1325,9.7445,0.1288,0.1281,0.1343,0.0752449975094086
131192072,9.1909,8.6606,14.2601,0.0739,0.0743,0.0964,0.05686023067241032
131193615,7.7008,7.795,10.436,0.125,0.1283,0.1358,0.10052442674077641
131194993,9.3846,9.4669,13.7191,0.1915,0.1929,0.2069,0.07305779571290515
131196194,8.8785,9.0969,13.4434,0.201,0.2058,0.2206,0.07099415216660818
131196357,2.7875,2.4358,6.9375,0.0,0.0,0.0175,0.07099415216660818
131196705,5.6113,6.0611,12.7131,0.0762,0.0825,0.1306,0.07139750161301212
131197044,9.4561,9.6199,13.6019,0.203,0.2059,0.2177,0.07615699026400004
131197215,2.9572,2.5919,6.7078,0.0,0.0,0.0163,0.07615699026400004
131197557,5.9386,6.4995,12.8424,0.1013,0.1101,0.1663,0.07615699026400004
131197901,3.8067,3.0948,7.0397,0.0,0.0,0.0171,0.07263552511680024
131198246,6.2591,6.8448,13.2184,0.0758,0.0842,0.1233,0.07391723900466864
131198593,3.8188,3.1094,7.094,0.0,0.0,0.0172,0.07221810771057427
131198936,6.2349,6.8273,13.2645,0.1151,0.1246,0.1783,0.07221810771057427
131199283,5.6786,4.9702,8.8722,0.2118,0.1962,0.1967,0.07059533429497317
131199453,9.2858,9.5532,16.1134,0.1978,0.2038,0.2715,0.07059533429497317
131199802,5.651,4.9525,8.8271,0.2557,0.2386,0.232,0.07099415216660818
131200329,6.0576,5.2156,9.3168,0.0858,0.0764,0.09,0.07099415216660818
131200867,6.7768,6.0662,9.7077,0.1451,0.1341,0.1359,0.07099415216660818
131201569,7.0414,6.2528,9.4708,0.1062,0.0947,0.0985,0.07569824722699373
131206913,10.8678,10.4405,16.8415,0.1843,0.181,0.2012,0.05046653131091824
131207450,10.5809,10.2499,16.1778,0.1506,0.1471,0.1672,0.05370144932732833
131208184,9.0646,8.0666,12.7401,0.1403,0.1233,0.1317,0.05635029433027713
131208724,7.7966,6.8828,10.7584,0.1559,0.138,0.1407,0.06684048540909966
131212196,0.4699,0.3125,4.9893,0.0011,0.0,0.0194,0.06411244968272661
131215148,2.8523,2.8453,7.3221,0.0,0.0,0.0184,0.0675591583065621
131215892,4.0787,3.6922,7.242,0.0,0.0,0.0155,0.08003728818317192
131217767,2.6581,2.4624,6.2072,0.0,0.0,0.0166,0.07479714303071543
131218529,2.5304,2.0106,5.9584,0.0,0.0,0.016,0.07756719641593564
131219096,2.5867,2.1154,5.7836,0.0,0.0,0.0154,0.08055030487456037
131219672,6.2801,4.8067,10.1209,0.0042,0.0034,0.0259,0.05511459098459456
131219865,13.1826,13.5336,21.3859,0.1239,0.1312,0.1668,0.04851807655625124
131221183,4.9507,3.7848,7.6992,0.0,0.0,0.0169,0.07348500463068167
131221751,4.4136,4.257,9.5283,0.0187,0.0203,0.0402,0.07348500463068167
131221938,4.4026,4.2455,9.5358,0.0124,0.0135,0.0328,0.07348500463068167
131225707,4.2644,3.6726,6.2219,0.0255,0.0227,0.0314,0.09816868357674101
131226092,6.5443,5.4765,9.443,0.0095,0.0111,0.0291,0.07263552511680024
131231300,11.4777,10.6105,17.177,0.1626,0.1525,0.1793,0.050670018704328156
131231493,10.1881,9.4561,15.5462,0.1465,0.1316,0.1558,0.05439884443645084
131231878,7.5172,7.2004,11.608,0.1175,0.114,0.1373,0.08003728818317192
131232073,7.428,7.2009,11.4811,0.1146,0.111,0.1337,0.08490398027194407
131232457,7.1475,6.8991,10.5888,0.1999,0.1912,0.2153,0.09592081711552267
131237791,17.3673,13.5217,8.3451,0.2412,0.1386,0.0625,0.1132011898318306
131239385,2.7651,2.1588,5.0534,0.0,0.0,0.0133,0.09307904275505513
131245413,14.0251,12.0711,9.2833,0.1437,0.1289,0.0525,0.10739689511380088
131245616,13.6152,11.7244,9.1193,0.1358,0.1213,0.0455,0.10739689511380088
131245820,13.9311,11.9489,9.4119,0.1397,0.1239,0.0486,0.10739689511380088
131246022,13.89,11.9824,9.3847,0.127,0.1152,0.0372,0.10739689511380088
131246228,13.8703,11.9656,9.3722,0.127,0.1152,0.0372,0.10739689511380088
131246639,13.7089,11.8198,9.5737,0.1357,0.1173,0.0408,0.1038470904936626
131246842,13.7087,11.8196,9.5735,0.1464,0.1275,0.0492,0.1038470904936626
131247048,13.5719,11.7071,9.4444,0.1131,0.1017,0.0371,0.10471236017896915
131247256,13.0925,11.0234,9.3064,0.1363,0.1147,0.0451,0.10648688664370398
131247465,13.0919,11.0237,9.3051,0.148,0.1237,0.0474,0.10648688664370398
131247871,5.5902,4.9111,8.5961,0.0181,0.0173,0.0318,0.08490398027194407
131248279,6.8546,6.0087,10.7525,0.0253,0.0246,0.0435,0.06648685222060789
131248483,6.8548,6.0089,10.7527,0.0253,0.0246,0.0435,0.06648685222060789
131249731,7.0263,6.2632,10.6942,0.0227,0.0225,0.0398,0.07180546030797123
