detection_id,B,G,R,nB,nG,nR,Compactness
429717134,12.9571,12.4902,17.0426,0.4979,0.4724,0.4394,0.0539319190680174
429717139,30.6351,30.1699,26.8141,1.1491,1.1294,0.8392,0.050670018704328156
429717140,28.1257,27.8363,26.3841,1.0969,1.0837,0.8235,0.04947312713553582
429717141,39.2731,37.8804,31.281,0.4063,0.3733,0.2854,0.044403578072467774
429717145,9.965,9.5009,12.0738,0.294,0.2813,0.2346,0.06981099120988524
429717152,14.4527,13.6176,17.3096,0.3068,0.2819,0.2881,0.06684048540909966
429717155,13.1476,13.2141,12.5672,0.2865,0.2925,0.2191,0.10133499999681532
429717156,13.3905,13.3247,12.1212,0.2518,0.256,0.1883,0.10926437976474195
429717157,14.0466,13.9139,12.6012,0.2644,0.2685,0.1967,0.09894156757337469
429717168,20.3423,18.708,22.0828,0.3516,0.3173,0.2815,0.05844695914181379
429717170,28.2464,28.9726,22.6702,0.7983,0.8119,0.4919,0.06012478543760053
429717172,41.4313,40.4975,27.9167,0.5508,0.5211,0.2944,0.05983849013957345
429717177,20.5971,20.2196,17.4787,0.4412,0.4341,0.2664,0.06981099120988524
429717178,13.7897,14.9704,13.5495,0.2275,0.2643,0.205,0.08266986501266944
429717234,23.2277,24.6331,19.5998,0.4545,0.4943,0.3408,0.07099415216660818
429717235,30.3195,29.4712,22.916,0.9972,0.9636,0.5734,0.07221810771057427
429717236,28.7956,27.9564,21.9424,1.2042,1.1742,0.6948,0.07263552511680024
429717241,27.9335,27.0903,20.5249,1.1542,1.1211,0.661,0.07756719641593564
429717242,26.685,25.8601,19.8104,1.1744,1.1404,0.6789,0.07804894248762141
429717243,25.8104,24.991,19.4489,0.8023,0.7718,0.4693,0.077091360650504
429717244,26.1968,25.4352,19.6655,0.8948,0.8656,0.5213,0.077091360650504
429717246,24.9234,25.8067,18.2638,0.3871,0.4113,0.2344,0.07435458803139107
429717247,19.7006,18.5506,18.1672,0.3725,0.3478,0.2548,0.07615699026400004
429717248,26.9122,26.9075,21.0347,0.9836,0.9627,0.6093,0.07662132709270902
429717249,23.5845,24.2494,18.3653,0.6198,0.6383,0.3796,0.077091360650504
429717250,35.6966,35.19,23.3413,0.3341,0.3244,0.1788,0.07903061153879146
429717251,18.9821,17.7819,17.6954,0.3946,0.3621,0.2682,0.07903061153879146
429717252,26.1089,26.0896,21.0163,1.1744,1.148,0.7485,0.08003728818317192
429717253,25.2291,25.9977,18.0201,0.7133,0.7416,0.4154,0.07903061153879146
429717254,36.6893,36.2176,24.2322,0.3163,0.3079,0.1753,0.077091360650504
429717255,19.0223,17.6875,17.7214,0.3751,0.341,0.2551,0.07853670966610296
429717257,36.541,36.1478,24.0597,0.3171,0.3027,0.174,0.07853670966610296
429717258,24.181,24.7473,18.1455,0.582,0.5963,0.351,0.07953076456813789
429717259,36.8388,36.3613,24.4817,0.2917,0.2865,0.1733,0.07569824722699373
429717260,25.0218,25.6075,18.8298,0.646,0.6567,0.3852,0.07435458803139107
429717261,36.605,35.9696,24.1474,0.3246,0.3134,0.1744,0.07305779571290515
429717262,24.4395,25.0036,18.236,0.6635,0.6704,0.4027,0.07615699026400004
429717263,36.552,35.9759,23.7681,0.3536,0.3447,0.1821,0.07569824722699373
429717264,24.6508,25.2188,18.1817,0.605,0.6066,0.3639,0.07662132709270902
429717265,35.9942,35.4264,23.3957,0.4031,0.396,0.1988,0.07569824722699373
429717266,18.4371,16.834,17.3585,0.3908,0.3467,0.2723,0.07756719641593564
429717267,22.6053,22.8736,15.8188,0.2944,0.2906,0.1801,0.07804894248762141
429717268,32.6647,32.4377,20.5543,2.307,2.2877,1.1272,0.07804894248762141
429717269,18.7812,17.1921,17.3032,0.421,0.379,0.2847,0.07853670966610296
429717270,24.7297,24.99,17.4275,0.526,0.5172,0.3134,0.07391723900466864
429717271,36.4576,35.8349,23.2733,0.5318,0.5206,0.2508,0.07139750161301212
429717272,21.5409,20.1451,19.8955,0.5596,0.5202,0.365,0.06579069379816853
429717273,25.7914,26.0903,18.2562,0.5867,0.5903,0.3375,0.0675591583065621
429717274,36.9318,36.4142,23.6511,0.5502,0.5418,0.2604,0.06904388481989716
429717275,20.1998,18.6191,18.7889,0.5039,0.4578,0.342,0.07221810771057427
429717276,25.2587,25.511,17.3184,0.6593,0.6594,0.3681,0.0752449975094086
429717277,34.4583,34.1461,21.8311,0.5059,0.4987,0.2454,0.07662132709270902
429717278,18.5394,16.7615,17.305,0.5171,0.4602,0.3628,0.07804894248762141
429717279,24.9203,25.0663,16.6008,0.325,0.3195,0.1813,0.07903061153879146
429717280,32.1456,31.8361,19.8851,0.6142,0.5996,0.2759,0.08321729873508964
429717281,17.9544,16.5695,16.7555,0.4349,0.3954,0.3076,0.08266986501266944
429717282,24.8423,25.1872,16.6392,0.2094,0.2148,0.1176,0.08321729873508964
429717333,32.7499,32.3242,20.2146,0.5592,0.5531,0.2526,0.08377203058083679
429717334,18.7535,17.2168,17.1424,0.4726,0.4278,0.3318,0.08548150399146558
429717335,23.9676,24.4598,16.4886,0.1116,0.1226,0.0707,0.08321729873508964
429717336,32.5353,32.3149,20.2007,0.4957,0.4845,0.2237,0.08666044549832956
429717337,18.6064,17.161,17.0313,0.473,0.4261,0.3368,0.08726219508235135
429717338,22.7201,23.2026,16.1868,0.1657,0.1738,0.1067,0.08548150399146558
429717358,11.4432,10.5521,11.7883,0.1794,0.1583,0.1397,0.0937735836449438
429717368,22.3464,22.4734,16.4706,0.5472,0.5567,0.2996,0.06904388481989716
429717372,20.0876,18.4725,18.7889,0.3625,0.3215,0.2421,0.0675591583065621
429717373,22.0885,22.0309,17.6208,0.5482,0.5503,0.3334,0.06544805286939072
429717374,33.3009,32.5197,22.1789,0.4286,0.422,0.2173,0.06544805286939072
429717379,18.7235,17.1844,17.8759,0.3576,0.3174,0.2378,0.06684048540909966
429717380,22.4491,22.5507,17.2031,0.7645,0.7754,0.4205,0.06648685222060789
429717381,30.5274,29.966,20.7262,0.3372,0.3237,0.1708,0.0675591583065621
429717382,17.9398,16.3263,17.0856,0.3792,0.3341,0.2563,0.06981099120988524
429717433,21.3687,21.8248,16.4091,0.696,0.7075,0.3829,0.07059533429497317
429717434,28.4258,28.0924,19.7072,0.2949,0.2897,0.1543,0.07059533429497317
429717435,16.4099,14.9198,15.9549,0.3321,0.2871,0.2274,0.07099415216660818
429717436,17.7766,18.0336,14.9061,0.4865,0.4779,0.2782,0.0752449975094086
429717437,24.5431,24.0104,17.9299,0.3933,0.3846,0.214,0.07435458803139107
429717438,15.1227,13.7336,14.8852,0.3125,0.2729,0.2049,0.07479714303071543
429717439,17.4864,17.7662,14.6914,0.4175,0.4156,0.2371,0.07569824722699373
429717440,24.8123,24.395,18.5985,0.3912,0.3818,0.2101,0.06648685222060789
429717443,22.7591,22.2459,17.6896,0.3387,0.3263,0.1839,0.06283026644890574
429717460,24.2728,23.7321,17.1773,0.8567,0.8405,0.4344,0.07099415216660818
429717461,15.6969,14.5277,15.1708,0.4263,0.3879,0.2895,0.07099415216660818
429717462,14.6719,15.1862,14.2456,0.3891,0.4072,0.2956,0.07180546030797123
429717463,25.5074,25.0116,17.9815,0.3077,0.3028,0.1511,0.07139750161301212
429717465,15.4323,14.3236,14.9194,0.4051,0.3695,0.2814,0.07099415216660818
429717466,15.3639,15.9025,14.5351,0.3833,0.3961,0.2804,0.07099415216660818
