detection_id,B,G,R,nB,nG,nR,Compactness
432929292,9.4958,11.6054,5.6311,0.4047,0.5031,0.039,0.07479714303071543
432929293,9.6848,12.1429,5.7839,0.346,0.4469,0.0419,0.07263552511680024
432929294,14.6185,19.146,7.1902,0.4493,0.5603,0.0518,0.0607056738604871
432929295,15.5365,19.0232,7.5442,0.438,0.5531,0.0576,0.05872006370526449
432929296,14.9882,17.9133,7.406,0.486,0.576,0.0658,0.05844695914181379
432929297,17.6354,20.048,7.2444,0.5265,0.5967,0.06,0.06684048540909966
432929298,9.7863,11.0848,5.3669,0.2747,0.2952,0.042,0.07180546030797123
432929299,9.4815,10.2671,5.2621,0.3129,0.3225,0.0439,0.07180546030797123
432929300,3.132,3.8783,3.4741,0.0187,0.0233,0.0154,0.09740778003073822
432929303,3.489,5.3818,3.9371,0.0555,0.0635,0.0236,0.08911864874469005
432929304,3.6925,5.4473,4.0592,0.02,0.0293,0.0172,0.08975514439115811
432929306,2.7115,5.6406,3.9774,0.0309,0.0427,0.0253,0.09239471398211957
432929307,3.0242,5.939,4.0454,0.0297,0.0386,0.0251,0.0937735836449438
432929308,3.9079,5.7937,4.0862,0.0377,0.0425,0.026,0.08975514439115811
432929309,4.5649,6.3363,4.448,0.0486,0.0505,0.0258,0.08606693785815557
432929310,3.6592,5.7185,4.1723,0.0481,0.053,0.0257,0.08606693785815557
432929312,3.4933,6.4161,3.8753,0.048,0.0733,0.0212,0.09816868357674101
432929314,2.79,5.2987,3.6788,0.0252,0.0357,0.0173,0.09447856694680049
432929315,3.1406,5.0149,3.6939,0.0278,0.0396,0.0186,0.09307904275505513
432929318,2.0269,4.0036,3.3007,0.014,0.0267,0.0167,0.10559216905199818
432929323,7.6085,9.2392,4.0342,0.087,0.115,0.0322,0.09447856694680049
432929325,6.9579,8.8729,3.6121,0.0346,0.0402,0.0174,0.1038470904936626
432929326,7.1388,8.8881,3.6684,0.051,0.0619,0.0192,0.1021587506273488
432929327,1.3566,3.9282,3.0745,0.0144,0.028,0.0116,0.1132011898318306
432929328,5.6405,8.1265,3.9276,0.0956,0.1341,0.0151,0.10926437976474195
432929330,9.9419,11.4074,4.4638,0.1029,0.1112,0.021,0.10559216905199818
432929331,8.6902,10.6627,6.8137,0.121,0.1426,0.0385,0.06159836113714365
432929332,14.2585,18.1322,8.7924,0.1618,0.2019,0.036,0.05764267775279962
432929334,8.5408,10.7078,4.9346,0.1494,0.1817,0.0306,0.09740778003073822
432929335,31.6608,36.6234,13.2146,0.3919,0.4499,0.0569,0.058176383157876974
432929347,6.9115,8.4734,4.0322,0.0707,0.0798,0.0193,0.08787235948346774
432929348,6.8995,8.6508,4.0738,0.0795,0.0917,0.0242,0.08849111644335216
432929349,7.3443,8.2986,4.1132,0.0998,0.1081,0.026,0.08666044549832956
432929350,7.5678,8.8494,4.1115,0.0939,0.1037,0.027,0.08726219508235135
432929351,8.065,9.7413,3.9845,0.0619,0.0717,0.0206,0.09239471398211957
432929352,13.7439,14.9313,6.447,0.1139,0.1318,0.0233,0.08726219508235135
432929353,9.1881,10.9576,4.4856,0.0796,0.0876,0.0226,0.08490398027194407
432929354,17.3077,19.1941,7.6846,0.1076,0.1302,0.0224,0.08212958633865283
432929355,10.3098,14.4628,5.399,0.07,0.0942,0.0235,0.08106994029334431
432929356,19.8773,24.8722,9.1501,0.1133,0.1617,0.0282,0.07756719641593564
432929357,19.168,21.2561,7.4556,0.1597,0.1685,0.0249,0.07099415216660818
432929358,27.3067,29.6536,10.5849,0.1736,0.203,0.0244,0.07059533429497317
432929359,23.6995,27.1963,9.4081,0.1644,0.1825,0.0262,0.06314598028335774
432929360,34.1737,39.0907,13.1809,0.1836,0.2173,0.0255,0.06041383338136221
432929361,27.5124,33.2976,11.1039,0.1659,0.1807,0.0295,0.05347294092237722
432929362,32.8128,38.7155,13.5079,0.203,0.2397,0.0308,0.049668666921834095
432929365,40.9975,45.4624,15.2528,0.2423,0.2776,0.0403,0.04456103357379679
432929366,13.0616,15.8131,5.7013,0.0676,0.088,0.0171,0.08911864874469005
432929369,11.7771,14.034,5.9351,0.0305,0.0687,0.0182,0.1038470904936626
432929375,22.3518,27.0524,10.8445,0.2504,0.3057,0.1052,0.05560231145909046
432929379,19.3025,26.0674,9.5382,0.118,0.1746,0.0525,0.06251769380643689
432929381,29.9163,37.0788,12.6511,0.1964,0.2346,0.0431,0.05324636892277132
432929383,6.4003,9.4795,4.317,0.0269,0.034,0.0195,0.08606693785815557
432929385,6.0707,9.2292,3.2678,0.0776,0.108,0.02,0.1132011898318306
432929388,6.5854,10.4818,3.9322,0.042,0.0602,0.0179,0.10052442674077641
432929391,6.7672,16.0286,9.1058,0.0829,0.1367,0.0514,0.05511459098459456
432929393,1.7744,4.9467,4.6894,0.0018,0.0054,0.0163,0.08321729873508964
432929398,4.3432,6.5024,3.4073,0.0304,0.0466,0.0146,0.10926437976474195
432929402,6.2571,7.9269,5.2173,0.0545,0.0754,0.0253,0.07099415216660818
432929403,12.3414,15.9858,8.2639,0.1722,0.2321,0.0607,0.05463535211139932
432929404,7.5774,13.128,6.916,0.1275,0.207,0.0565,0.05635029433027713
432929408,8.8191,10.5178,6.3808,0.0784,0.0899,0.0354,0.06012478543760053
432929413,4.746,5.1783,5.2596,0.0784,0.0869,0.034,0.07099415216660818
432929422,11.1605,19.7256,10.7917,0.3018,0.362,0.129,0.06648685222060789
432929423,29.4096,33.8057,12.5123,0.2199,0.2797,0.0371,0.05790830079919458
