detection_id,B,G,R,nB,nG,nR,Compactness
427710387,18.7251,16.149,17.7589,0.7368,0.6254,0.5769,0.09972671719555438
427710388,24.352,21.0315,22.5148,0.7947,0.6758,0.6254,0.09447856694680049
427710389,25.6078,22.1651,23.5672,0.7222,0.6117,0.5689,0.09519422993221213
427710390,26.674,23.0564,24.5051,0.6707,0.5618,0.5235,0.09239471398211957
427710391,28.4927,24.6676,26.1645,0.6177,0.5238,0.4866,0.09040079679516942
427710393,32.6452,28.3981,29.9552,0.6808,0.5847,0.5236,0.07662132709270902
427710394,32.0679,27.8186,29.4347,0.6662,0.5682,0.5158,0.07804894248762141
427710395,31.4761,27.3904,29.1909,0.6584,0.5647,0.5138,0.07435458803139107
427710396,28.2139,24.4074,26.1631,0.642,0.5496,0.5031,0.08321729873508964
427710397,28.7472,24.9099,27.0921,0.6748,0.5764,0.5285,0.07391723900466864
427710398,26.4255,22.9013,24.7705,0.6035,0.5136,0.4751,0.08787235948346774
427710399,25.4046,22.1147,23.715,0.5862,0.5038,0.4621,0.09307904275505513
427710400,25.6065,22.2848,24.4435,0.5584,0.4732,0.44,0.07804894248762141
427710401,20.4404,17.8707,19.3307,0.4,0.3441,0.3206,0.10648688664370398
427710405,16.8534,15.4454,16.1452,0.8426,0.7741,0.6702,0.1021587506273488
427710406,17.2932,15.8354,16.4697,1.0747,0.9821,0.8463,0.1038470904936626
427710407,17.492,16.0541,16.6797,1.0115,0.9233,0.7959,0.10299600257653854
427710408,18.0419,16.537,17.1137,0.9662,0.8869,0.7549,0.10299600257653854
427710409,19.5149,17.9824,18.8084,1.2024,1.1046,0.9438,0.08606693785815557
427710410,17.748,16.4656,16.7895,1.2722,1.1699,0.9924,0.10299600257653854
427710411,17.5933,16.3281,16.6587,1.369,1.2637,1.0644,0.1038470904936626
427710412,17.4934,16.1854,16.6516,1.2846,1.1759,1.0131,0.1038470904936626
427710413,15.9406,14.9438,14.3504,0.4551,0.4266,0.3316,0.10052442674077641
427710414,16.276,15.2408,14.2925,0.4291,0.4038,0.3117,0.10739689511380088
427710415,16.9434,15.8032,14.9562,0.44,0.4127,0.3216,0.1021587506273488
427710420,18.1257,16.8979,16.6945,0.5204,0.4864,0.3882,0.08849111644335216
427710422,18.2463,17.2196,16.7199,0.3639,0.3456,0.2735,0.08787235948346774
427710427,17.8609,16.6491,17.506,0.4997,0.4743,0.3841,0.08003728818317192
427710428,17.5329,16.2137,16.7277,0.5033,0.4663,0.3995,0.09972671719555438
427710429,19.0743,17.5962,18.6976,0.5465,0.5094,0.4316,0.08377203058083679
427710431,18.5558,17.0921,18.2159,0.5466,0.5064,0.433,0.08433420746488306
427710432,17.0692,15.6209,16.6705,0.5569,0.509,0.4504,0.10133499999681532
427710434,17.9174,16.4998,17.8847,0.4781,0.4421,0.3897,0.08490398027194407
427710435,16.5897,15.2731,16.6154,0.6482,0.5975,0.5285,0.09105580497377844
