detection_id,B,G,R,nB,nG,nR,Compactness
433082082,5.1591,5.2186,6.5634,0.1039,0.106,0.1054,0.17449830252036147
433082063,4.8745,5.0072,6.8669,0.0704,0.0734,0.0783,0.15511613727099602
433082069,3.3148,3.4342,5.3666,0.1971,0.2041,0.2052,0.15322506464696445
433082055,19.5573,20.5396,25.6373,0.47,0.4963,0.5553,0.09665858053229819
433082022,2.6155,2.6945,4.0447,0.0124,0.0129,0.0166,0.19941430995731257
433082029,18.3538,19.5276,25.8241,0.2375,0.2576,0.3016,0.06981099120988524
433082030,25.4795,26.8753,33.7342,0.3463,0.3591,0.4122,0.058176383157876974
433082031,27.8958,29.5915,36.1274,0.3218,0.3479,0.3957,0.06190178642991358
433082033,20.9381,21.4811,24.6194,0.25,0.2548,0.2516,0.077091360650504
433082034,14.1466,14.5759,17.891,0.4813,0.4959,0.5154,0.09239471398211957
433082040,6.1124,6.3902,8.0977,0.0384,0.0404,0.0468,0.17449830252036147
433082042,2.4338,2.4619,3.6694,0.0174,0.0187,0.0197,0.23262772230212783
433082011,5.277,5.7141,9.3466,0.0917,0.0982,0.1189,0.10133499999681532
433082001,2.351,2.3542,3.7697,0.0067,0.0067,0.0123,0.21659487670178934
433082002,2.6887,2.926,5.0593,0.0701,0.0763,0.0909,0.16752101074657041
433081959,4.6633,5.0347,7.6764,0.001,0.0035,0.0149,0.1427807996875266
433081963,2.731,2.9782,4.5768,0.0392,0.0425,0.0504,0.22039234176969208
433081964,11.836,12.8962,17.4065,0.3797,0.4138,0.4814,0.10926437976474195
433081947,8.1508,8.9176,12.1244,0.0891,0.0957,0.1142,0.12953615542145414
433081950,3.6777,3.8094,5.712,0.1444,0.1475,0.1559,0.15705446369492315
433081904,2.4583,2.6999,4.4392,0.0126,0.0142,0.0222,0.19328157927359077
433081905,2.9879,3.2724,4.969,0.1065,0.1161,0.1318,0.22039234176969208
433081906,14.4842,15.4915,22.322,0.5094,0.5505,0.6333,0.05844695914181379
433081916,19.3035,20.6361,26.9756,0.6532,0.6996,0.789,0.07853670966610296
433081927,4.0529,4.011,5.4488,0.0792,0.079,0.0653,0.1495779344429456
433081897,14.1491,13.7468,15.8865,0.2686,0.2605,0.2645,0.11853991327830876
433081886,9.7623,9.8106,13.1492,0.5097,0.5124,0.5384,0.09447856694680049
433081888,8.099,7.9241,9.6605,0.0904,0.088,0.0932,0.1427807996875266
433081859,8.1029,7.93,10.731,0.1244,0.1228,0.1315,0.09972671719555438
433081860,15.9451,16.355,21.3583,0.4561,0.4738,0.5371,0.07804894248762141
433081862,9.0048,8.9854,10.9135,0.0491,0.0496,0.0572,0.15705446369492315
433081863,6.2987,6.4227,8.8644,0.116,0.1167,0.1243,0.12821464331793822
433081864,16.7911,16.884,19.7297,0.1817,0.1836,0.197,0.1038470904936626
433081865,6.1488,6.7811,9.7191,0.0677,0.0721,0.0814,0.13226261511265314
433081867,8.5247,9.3281,12.7248,0.0654,0.0687,0.0793,0.11966865507387159
433081868,7.7332,8.392,11.3191,0.4894,0.5388,0.5851,0.12440706908215582
433081869,2.8172,3.044,5.0808,0.0544,0.0596,0.0721,0.16978395275546265
433081871,3.0165,3.1573,4.9954,0.0558,0.0592,0.0709,0.1794818739290955
433081876,3.0043,3.346,5.3576,0.0111,0.0155,0.0261,0.18475840065665078
433081878,4.0597,4.6431,7.2481,0.0326,0.0354,0.0468,0.1411769425941694
433081884,2.5385,2.4591,3.4742,0.2086,0.1996,0.1489,0.19328157927359077
433081885,2.0322,1.9188,2.9145,0.09,0.0881,0.0681,0.2093793437612272
433081856,5.0568,4.7461,7.3138,0.3621,0.3383,0.2745,0.08911864874469005
433081857,12.98,14.3794,15.6988,0.0616,0.079,0.0677,0.09307904275505513
433081858,6.2718,6.6677,7.8592,0.1204,0.1331,0.1143,0.12953615542145414
433081852,2.0682,2.2359,3.1555,0.0562,0.0623,0.0505,0.21659487670178934
433081796,4.176,4.2456,6.7735,0.1713,0.1755,0.151,0.0937735836449438
433081800,2.3864,2.4689,3.8139,0.052,0.0536,0.0486,0.17449830252036147
433081801,1.6466,1.7359,3.3719,0.0794,0.0843,0.0903,0.18475840065665078
433081802,3.2841,3.2982,5.1535,0.1598,0.1587,0.1314,0.12821464331793822
433081804,4.1795,4.1748,6.1176,0.1141,0.1114,0.0961,0.11527791973048969
433081807,2.1243,2.0688,3.6757,0.0424,0.0402,0.0407,0.14781870195462177
433081808,4.5356,4.4805,6.1884,0.286,0.2831,0.225,0.1256508846247525
433081818,20.6138,21.7008,29.1506,0.135,0.1408,0.1802,0.06904388481989716
433081821,8.9847,9.7028,14.2106,0.3433,0.3801,0.3779,0.07263552511680024
433081822,10.1632,10.8165,14.3167,0.7459,0.7921,0.7224,0.06792432131461863
433081825,2.5291,2.7363,4.8398,0.049,0.0535,0.058,0.1396087127968195
433081839,10.4085,10.3639,12.7029,0.0951,0.0954,0.107,0.13088518977836702
433081840,4.485,4.5984,7.1758,0.0651,0.0673,0.0925,0.2059488517353309
433081790,7.6938,7.4667,10.6872,0.154,0.1483,0.1707,0.10471236017896915
433081791,10.7889,10.4779,13.203,0.427,0.4222,0.438,0.11423011752805243
433081782,6.4753,6.3613,8.1956,0.2148,0.211,0.207,0.14781870195462177
433081784,11.7862,11.636,14.3158,0.3501,0.3392,0.345,0.10133499999681532
433081785,57.5304,56.9129,53.8908,0.407,0.3983,0.3569,0.04889563761385481
433081771,2.0628,2.0795,3.3696,0.1224,0.1215,0.1119,0.22039234176969208
433081773,2.2159,2.1518,3.3369,0.0529,0.0519,0.0496,0.19941430995731257
433081775,1.5545,1.5649,2.6916,0.0079,0.0078,0.0127,0.22840111198938143
433081752,4.8447,4.7663,6.1646,0.0377,0.0365,0.0416,0.2059488517353309
433081753,5.6323,5.5144,7.8773,0.0758,0.0742,0.0802,0.11853991327830876
433081754,5.3635,5.1959,7.2942,0.1378,0.1332,0.1279,0.11119795425652645
433081755,9.1665,8.8611,11.1142,0.2104,0.2042,0.1934,0.10471236017896915
433081762,8.3856,9.0884,11.4139,0.3484,0.3795,0.3432,0.09519422993221213
433081763,12.0702,11.4215,13.4526,0.25,0.2323,0.2088,0.09740778003073822
433081764,4.4794,4.9536,6.705,0.1634,0.1795,0.1642,0.12440706908215582
433081768,3.5491,3.4192,5.0761,0.09,0.0882,0.0859,0.14442151192814084
433081769,4.1725,4.4127,6.3506,0.117,0.1211,0.1167,0.12318763468639518
433081770,4.2711,4.1702,5.5245,0.1677,0.1634,0.1411,0.15904183716398032
433081719,1.7949,1.8877,3.0667,0.0052,0.0052,0.0107,0.20262892686416292
433081728,3.485,3.387,5.2166,0.0591,0.0556,0.0625,0.17449830252036147
433081734,2.7038,2.7089,4.2347,0.0911,0.0896,0.0877,0.17449830252036147
433081735,2.2293,2.1784,3.4511,0.0271,0.0267,0.0281,0.17449830252036147
433081714,3.8545,3.8099,5.8927,0.1534,0.1519,0.1354,0.12821464331793822
433081685,16.0861,15.1276,14.491,0.3009,0.2773,0.1988,0.08911864874469005
433081687,44.4301,43.5971,40.1233,0.7781,0.7577,0.5937,0.0539319190680174
433081691,10.4508,10.5063,12.5677,0.2064,0.2094,0.1821,0.10471236017896915
433081705,4.8231,4.6112,7.592,0.0876,0.0785,0.0852,0.09447856694680049
433081706,13.5026,13.661,15.7873,0.2702,0.2726,0.2649,0.10299600257653854
433081662,16.4433,19.3128,25.2356,0.1357,0.1756,0.2038,0.06477336728387235
433081665,17.167,16.8163,17.1056,0.3402,0.331,0.2618,0.07569824722699373
433081669,8.9907,9.0739,9.5883,0.1653,0.1669,0.1394,0.1336693370934263
433081672,5.4672,6.2392,7.8744,0.0616,0.0771,0.067,0.11853991327830876
433081641,10.0132,10.7274,12.1649,0.0908,0.1051,0.0952,0.11634512054520679
433081642,2.3227,2.2024,3.4611,0.0023,0.0024,0.0093,0.16108014280507627
433081645,2.16,2.2011,3.491,0.0377,0.0381,0.0408,0.2129260181386661
433081646,3.2283,3.3345,4.8822,0.0446,0.0467,0.0497,0.18208192715442573
433081647,4.9612,5.2173,6.932,0.0795,0.0848,0.0853,0.15322506464696445
433081648,6.6214,6.7976,8.8746,0.1741,0.1786,0.1926,0.14781870195462177
