detection_id,B,G,R,nB,nG,nR,Compactness
432429800,15.8723,15.844,20.9574,0.4541,0.4516,0.4722,0.06346488289866778
432429801,8.7194,8.711,11.8133,0.2383,0.2378,0.2524,0.10471236017896915
432429803,20.9217,20.4269,26.8907,0.5449,0.5303,0.5624,0.051500646728563054
432429804,6.6251,6.4595,9.6733,0.0825,0.08,0.0978,0.10739689511380088
432429805,19.7776,19.2844,24.619,0.4058,0.396,0.4243,0.06648685222060789
432429807,9.0829,8.826,11.7321,0.4252,0.4146,0.4256,0.10832258979485408
432429809,11.7909,11.7804,16.2761,0.3727,0.374,0.4034,0.08003728818317192
432429810,8.7455,8.6068,12.3334,0.0924,0.0907,0.1086,0.09172037375316221
432429812,4.4397,4.4391,6.7724,0.0615,0.0618,0.0727,0.1396087127968195
432429813,3.551,3.6959,5.4402,0.1184,0.1234,0.1318,0.18208192715442573
432429815,7.0014,7.0593,10.5391,0.1485,0.1491,0.1706,0.1038470904936626
432429816,4.7792,4.8358,7.8325,0.1036,0.1044,0.1258,0.12199187159268324
432429817,5.0824,5.1078,8.0519,0.1696,0.1704,0.1857,0.11119795425652645
432429818,9.3214,9.1422,13.0154,0.0904,0.0876,0.1083,0.09972671719555438
432429819,6.7899,6.9202,10.0082,0.168,0.1711,0.1877,0.10926437976474195
432429821,6.196,6.2855,9.5021,0.1588,0.1606,0.1796,0.10648688664370398
432429822,3.28,3.2652,5.4031,0.1144,0.1146,0.1252,0.15511613727099602
432429823,4.2803,4.3339,6.4711,0.1137,0.1161,0.123,0.1427807996875266
432429824,4.7504,4.7104,6.9753,0.1282,0.1257,0.1351,0.1396087127968195
432429826,4.6097,4.5068,6.6254,0.1333,0.1306,0.1393,0.14781870195462177
432429827,12.0594,12.101,16.4349,0.2837,0.2846,0.3042,0.0752449975094086
432429829,4.0717,4.0034,6.0457,0.0959,0.0946,0.1055,0.16108014280507627
432429833,2.8949,2.8641,4.5159,0.1256,0.1244,0.1336,0.19941430995731257
432429834,6.2633,6.2336,9.5475,0.092,0.0911,0.1096,0.11119795425652645
432429835,6.1012,5.9913,8.4138,0.1794,0.1753,0.1816,0.12440706908215582
432429837,3.2156,3.1814,4.6487,0.0937,0.092,0.0976,0.2059488517353309
432429839,2.8436,2.7948,4.9454,0.0546,0.0535,0.0662,0.16108014280507627
432429844,3.874,4.0129,7.7567,0.15,0.1562,0.2003,0.10648688664370398
