detection_id,B,G,R,nB,nG,nR,Compactness
428889235,16.1837,16.1961,18.7483,0.0306,0.031,0.0418,0.09307904275505513
428889245,16.9386,16.9231,20.0311,0.0013,0.0014,0.0151,0.08266986501266944
428889246,15.7596,15.7996,19.0084,0.001,0.0012,0.0151,0.08001020251173196
428889251,17.2906,17.2661,19.5839,0.0441,0.0425,0.0183,0.08849111644335216
428889252,17.0221,16.967,19.1491,0.057,0.0575,0.0164,0.08726219508235135
428889254,16.0792,15.9997,17.7893,0.0858,0.0831,0.0245,0.08911864874469005
428889255,14.3628,14.1885,16.6185,0.071,0.0693,0.0505,0.08433420746488306
428889265,9.8972,9.5716,11.0151,0.2467,0.2342,0.1826,0.09307904275505513
428889271,12.8625,12.2085,12.1886,0.5881,0.5483,0.3991,0.1021587506273488
428889274,13.0046,12.328,12.5716,0.5026,0.466,0.3428,0.10052442674077641
428889277,12.7731,12.3723,13.9221,0.1753,0.1683,0.1436,0.09105580497377844
428889281,14.1205,13.9057,15.0849,0.1284,0.1277,0.1113,0.09447856694680049
428889283,11.1481,11.1225,12.893,0.0545,0.0525,0.029,0.09592081711552267
428889284,11.2381,11.2,12.949,0.0495,0.0461,0.0258,0.09740778003073822
428889285,12.7375,12.8552,13.8995,0.0867,0.0868,0.0696,0.09447856694680049
428889311,26.8369,27.9134,37.8512,0.513,0.5359,0.6448,0.05108195634991484
428889322,8.8443,9.6688,13.3318,0.0,0.0,0.0197,0.06314598028335774
428889325,4.9282,5.4347,9.52,0.0,0.0,0.0195,0.06378702284985524
428889331,18.3375,24.0695,40.9663,0.4291,0.6025,0.8881,0.0401477364918814
428889367,19.8044,19.1434,20.2096,1.0766,1.0378,0.8314,0.06190178642991358
428889368,17.9919,17.7073,17.6945,0.1408,0.141,0.112,0.08003728818317192
428889369,18.6746,18.4579,18.1333,0.1861,0.1862,0.1485,0.07435458803139107
428889370,17.5759,17.4811,17.5111,0.9083,0.8993,0.6577,0.06981099120988524
428889371,16.5694,16.1553,16.356,1.2199,1.1874,0.8805,0.07263552511680024
428889372,16.4509,15.7089,16.415,1.0858,1.0529,0.8031,0.0675591583065621
428889373,23.8104,25.9606,36.8187,0.3268,0.3621,0.5103,0.07305779571290515
428889374,19.0296,20.5941,29.1878,0.4076,0.4497,0.5766,0.07263552511680024
428889375,15.2459,16.3378,24.2218,0.4107,0.4405,0.5803,0.0752449975094086
428889376,10.0376,10.8596,16.52,0.2945,0.3209,0.395,0.08106994029334431
428889377,13.1374,13.5208,16.4602,0.3255,0.3482,0.3346,0.07853670966610296
428889392,21.8905,23.5239,34.0305,0.525,0.5423,0.5994,0.05046653131091824
428889395,22.2039,22.931,32.449,0.5252,0.5348,0.5751,0.04870612541107282
428889396,23.238,24.0418,36.3563,0.2617,0.2669,0.2913,0.038784722731202766
428889397,34.1796,33.3976,29.422,0.4113,0.3893,0.2698,0.05006442052760694
428889398,44.2653,42.5444,31.5306,0.7725,0.7343,0.4167,0.049668666921834095
428889399,26.693,28.8296,43.0749,0.344,0.3451,0.3912,0.04409198179755562
428889408,19.6537,19.7394,21.4424,0.3545,0.3584,0.2984,0.04927912092245134
428889409,13.7957,15.2476,25.1114,0.2539,0.258,0.3056,0.048331474165630606
428889497,8.4624,8.1628,8.421,0.105,0.0986,0.0755,0.09816868357674101
428889498,8.2758,8.5709,11.8599,0.192,0.1995,0.2135,0.1038470904936626
428889500,8.6627,8.8428,11.514,0.209,0.2178,0.2221,0.10832258979485408
428889501,10.0286,9.7124,9.4064,0.4695,0.4565,0.2995,0.10648688664370398
428889503,13.8978,13.5886,13.3465,0.7753,0.7625,0.5451,0.08975514439115811
428889504,12.0865,11.8215,12.1919,0.2392,0.2347,0.1775,0.09894156757337469
428889505,11.2511,11.0427,11.7055,0.141,0.1409,0.1134,0.09665858053229819
428889506,8.2572,7.8444,9.5763,0.0,0.0,0.0165,0.0752449975094086
428889508,18.1568,16.6446,18.1264,0.0227,0.0223,0.0409,0.04778018079289879
428889509,22.253,21.1528,20.9739,0.2498,0.241,0.2103,0.0541643755046309
428889550,11.9782,11.3782,14.8993,0.0,0.0,0.0297,0.042027522098831975
428889559,32.2992,33.0584,41.8204,0.764,0.785,0.8944,0.05192625725187585
428889560,35.1278,35.6767,43.1507,0.4321,0.4478,0.5132,0.05686023067241032
428889563,17.6296,18.0353,23.6502,0.0251,0.0309,0.0495,0.06159836113714365
428889564,13.0318,12.6555,14.5012,0.1942,0.1838,0.1589,0.07263552511680024
428889565,11.7657,11.4717,12.6713,0.2077,0.198,0.1659,0.08433420746488306
428889568,11.3299,10.8568,11.0635,0.087,0.0866,0.0727,0.10926437976474195
428889569,13.0275,12.533,12.3198,0.1005,0.0998,0.0758,0.10052442674077641
428889570,14.3621,13.7956,12.8591,0.1395,0.1344,0.0995,0.10559216905199818
428889571,17.1916,16.562,14.9401,0.2209,0.2137,0.1432,0.09040079679516942
428889572,17.3993,16.859,15.2099,0.2468,0.2403,0.1521,0.08490398027194407
428889577,31.2242,30.6447,25.8945,1.668,1.6218,0.9795,0.06190178642991358
428889588,12.1766,12.3763,12.3997,0.0864,0.0864,0.0783,0.07139750161301212
428889597,12.9489,13.2641,14.53,0.0165,0.0182,0.0124,0.09972671719555438
428889598,12.9943,13.2269,15.147,0.0031,0.0083,0.0139,0.08911864874469005
428889607,27.5259,26.9424,24.3586,0.3785,0.3711,0.2402,0.06190178642991358
428889608,28.027,27.5916,24.3583,0.6609,0.6471,0.3804,0.06129789587454133
428889609,28.0737,27.4241,24.7247,0.6823,0.6628,0.4032,0.057118675464029094
428889611,27.1796,26.4822,23.4645,0.6859,0.6639,0.3977,0.06100034753906654
428889613,24.7382,24.1227,23.4745,0.2934,0.2775,0.1998,0.06190178642991358
428889614,25.4533,25.2199,23.3309,0.3419,0.344,0.2259,0.06346488289866778
428889620,9.8879,9.9481,10.8559,0.1095,0.1084,0.075,0.1038470904936626
428889621,13.5037,13.5797,14.5173,0.198,0.1992,0.1565,0.08490398027194407
428889622,12.9191,12.8958,14.0084,0.1977,0.1994,0.1523,0.08266986501266944
428889624,15.7034,15.7287,16.1201,0.2209,0.2207,0.1735,0.07569824722699373
428889628,19.8198,19.1899,17.5289,0.7984,0.776,0.5228,0.06648685222060789
428889631,18.4267,17.6921,16.1633,0.563,0.5444,0.366,0.06477336728387235
428889632,17.6701,16.9593,15.7243,0.6117,0.5902,0.393,0.0661369411690469
428889634,12.4832,12.1444,12.3437,0.659,0.6343,0.4427,0.07569824722699373
428889635,12.0502,11.6116,12.3674,0.3525,0.3423,0.2567,0.08106994029334431
428889636,8.9548,9.1751,9.7346,0.1102,0.1107,0.0809,0.07853670966610296
428889638,4.9332,5.1678,7.9415,0.0,0.0,0.0137,0.09040079679516942
428889640,6.1221,6.7354,11.1735,0.0,0.0,0.0161,0.077091360650504
428889641,9.279,9.6881,14.5087,0.0,0.0,0.0226,0.05511459098459456
428889642,7.9878,8.4077,12.673,0.0,0.0,0.0203,0.06129789587454133
428889643,9.7405,10.6001,16.7164,0.0531,0.0527,0.0715,0.044879318492720414
428889648,7.6694,7.5041,10.2393,0.5709,0.5484,0.4763,0.08606693785815557
428889649,6.88,6.6714,9.5632,0.4655,0.4473,0.3857,0.08911864874469005
428889650,6.4119,6.277,9.1996,0.0934,0.0904,0.0888,0.08433420746488306
428889653,15.6403,15.3829,18.696,0.4415,0.4188,0.3928,0.06251769380643689
428889654,14.1806,13.934,17.5079,0.7548,0.7087,0.6258,0.06378702284985524
428889655,14.7565,14.543,18.6326,1.0696,1.008,0.9055,0.06100034753906654
428889656,15.2678,14.9258,18.4745,0.9925,0.9429,0.8274,0.06444121395927624
428889657,12.0689,12.0461,16.2986,0.4739,0.468,0.4366,0.07020097205976435
428889658,12.0471,12.066,16.229,0.5419,0.5443,0.4994,0.06829345312829196
428889659,12.8033,13.2173,17.7685,0.3915,0.4075,0.3954,0.06220821570931003
428889662,9.5631,9.5626,12.1662,0.0863,0.0871,0.0941,0.08548150399146558
428889663,8.6127,8.7306,11.6411,0.1888,0.186,0.172,0.08606693785815557
428889664,8.496,8.8914,11.8603,0.3531,0.3686,0.3678,0.09239471398211957
428889668,16.1271,17.1538,22.4425,0.818,0.8519,0.8274,0.06041383338136221
428889673,15.8716,15.9401,21.1947,0.4276,0.4287,0.4221,0.05487392523583279
428889695,10.4068,10.3239,13.2452,0.0,0.0,0.0201,0.06190178642991358
428889699,16.3968,15.5662,16.4668,0.2046,0.1947,0.1506,0.05737948033237819
428889702,8.1819,8.0177,9.7433,0.0372,0.0362,0.0335,0.08377203058083679
428889704,8.6334,8.1341,10.3278,0.0174,0.0177,0.0271,0.07756719641593564
428889714,30.9374,29.8637,28.9378,0.7743,0.7564,0.6175,0.04216855084912327
428889715,14.9929,14.5753,14.4062,0.5785,0.5603,0.4178,0.06444121395927624
428889719,29.3706,28.201,27.6741,0.5493,0.5192,0.4159,0.045040172094838404
428889727,13.3104,13.6248,15.1299,0.0266,0.0257,0.0371,0.059274001684944774
428889729,11.5524,11.5776,14.7952,0.1214,0.1217,0.1225,0.08266986501266944
428889730,15.7352,15.6165,18.2108,0.2693,0.2672,0.2364,0.06684048540909966
428889732,20.6364,20.2065,21.765,0.3205,0.311,0.2498,0.06942531913488556
428889733,16.0208,15.7184,18.0884,0.3226,0.313,0.2579,0.06981099120988524
428889734,13.5505,13.5391,16.2147,0.081,0.0806,0.0829,0.07756719641593564
428889735,12.3974,12.2403,14.2457,0.0632,0.0565,0.0561,0.1038470904936626
428889738,41.3591,43.1554,47.9119,0.2067,0.2191,0.2289,0.04536536335524013
