detection_id,B,G,R,nB,nG,nR,Compactness
432262964,5.1143,5.7231,9.2253,0.1207,0.1333,0.1538,0.09967377048867081
432262966,6.0299,9.6969,9.5076,0.1493,0.2292,0.1817,0.10926437976474195
432262967,4.1117,4.9169,7.0744,0.0419,0.0505,0.0567,0.1173449918685537
432262971,8.6707,9.2535,12.3089,0.193,0.2042,0.2232,0.10832258979485408
432262972,38.0066,42.1889,55.722,0.3724,0.4174,0.4619,0.022520304857013885
432262976,3.6522,3.735,5.7543,0.0224,0.0239,0.0315,0.16752101074657041
432262980,2.4334,2.554,4.8166,0.0684,0.072,0.0889,0.15705446369492315
432262982,1.7617,1.9457,4.0862,0.0246,0.0278,0.0383,0.14939443803079033
432262983,4.2611,4.5397,6.8683,0.0475,0.0513,0.0642,0.15137953892966877
432262985,3.3581,3.5032,5.5361,0.0349,0.0372,0.0488,0.18751471302418415
432262986,2.0349,2.0726,4.1802,0.0492,0.0519,0.0662,0.1653175867489029
432262987,3.312,3.3583,5.4712,0.0363,0.0363,0.0478,0.16978395275546265
432262989,3.3575,3.5853,5.7016,0.0216,0.0225,0.0309,0.16752101074657041
432262990,4.2723,4.4312,6.8522,0.0351,0.0364,0.0465,0.15137953892966877
432262996,6.0706,6.3764,8.697,0.0471,0.0492,0.0596,0.16317136358672749
432262999,4.1437,3.9605,5.6827,0.0207,0.0201,0.0267,0.2093793437612272
432263000,5.1839,4.8797,7.1462,0.0365,0.035,0.0452,0.16752101074657041
432263004,4.528,4.5021,6.5204,0.044,0.0447,0.0545,0.17449830252036147
432263005,3.3906,3.3827,5.4892,0.065,0.0668,0.0801,0.16752101074657041
432263029,3.3924,3.4709,5.5742,0.035,0.035,0.0456,0.16978395275546265
432263031,3.4151,3.5493,5.5735,0.0358,0.0384,0.0478,0.1721088567938853
432263033,3.4424,3.3302,5.5492,0.0513,0.0493,0.0618,0.16108014280507627
432263034,2.7301,2.7668,5.3497,0.0291,0.0305,0.0413,0.12821464331793822
432263035,3.8743,3.8323,5.987,0.0399,0.0419,0.0516,0.16317136358672749
432263037,4.2705,4.1518,6.4268,0.0283,0.0279,0.037,0.15904183716398032
432263040,8.0376,7.9782,11.2027,0.0459,0.0458,0.0589,0.11634512054520679
432263041,10.1307,9.8623,13.6389,0.0557,0.0554,0.0693,0.09816868357674101
432263043,6.2311,6.1609,8.5819,0.0451,0.0441,0.0544,0.15511613727099602
432263048,3.7219,3.7089,5.743,0.0207,0.0206,0.0284,0.1721088567938853
432263049,6.653,7.2843,9.8654,0.0317,0.0319,0.0415,0.1336693370934263
432263050,6.2586,6.8695,9.5549,0.0341,0.0351,0.0448,0.13226261511265314
432263051,6.7052,7.3587,10.0261,0.0325,0.0336,0.043,0.13226261511265314
432263052,6.2207,6.8834,9.5546,0.0624,0.0713,0.0812,0.1351063003197879
432263053,6.6485,7.296,9.7711,0.0401,0.0433,0.0523,0.1336693370934263
432263054,6.7008,6.8594,9.5498,0.0611,0.063,0.0759,0.13088518977836702
432263055,6.9194,7.0795,9.8194,0.0417,0.0422,0.053,0.12953615542145414
432263056,6.3945,6.5117,9.1287,0.0325,0.0327,0.0429,0.1351063003197879
432263057,8.1982,8.8848,12.9062,0.1862,0.2012,0.241,0.1038470904936626
432263058,6.3538,6.8356,10.0583,0.0716,0.0787,0.0978,0.12199187159268324
432263059,7.4966,7.7877,10.6394,0.0335,0.0336,0.0431,0.13226261511265314
432263060,6.2019,6.547,9.8732,0.0339,0.0346,0.049,0.12953615542145414
432263061,6.2708,6.7586,9.277,0.0397,0.0421,0.0518,0.1411769425941694
432263062,5.9939,6.5518,9.3234,0.0524,0.0557,0.0709,0.1336693370934263
