detection_id,B,G,R,nB,nG,nR,Compactness
432935231,44.6117,48.6594,32.399,0.0907,0.1402,0.0586,0.04001988008125082
432935235,4.0936,4.1221,5.7913,0.1837,0.1931,0.1386,0.13088518977836702
432935342,1.4659,1.5376,2.6752,0.0187,0.0201,0.0175,0.18475840065665078
432935344,4.5904,4.983,5.4359,0.0388,0.042,0.0351,0.12691981982432735
432935345,0.1471,0.2506,3.1652,0.0004,0.0006,0.0273,0.16317136358672749
432935346,4.1764,4.4609,4.6683,0.0259,0.0284,0.022,0.15705446369492315
432935352,0.1053,0.5467,5.9351,0.0,0.0,0.0211,0.10299600257653854
432935353,0.0646,0.3774,4.9744,0.0,0.0,0.0184,0.11119795425652645
432935366,2.4644,2.5043,3.1319,0.175,0.175,0.1245,0.2059488517353309
432935367,1.6428,1.6921,2.3411,0.0221,0.0237,0.0175,0.224325293611701
432935436,2.4247,2.5473,3.5346,0.0527,0.0558,0.0385,0.15904183716398032
432935437,1.725,1.7327,2.9628,0.0803,0.0823,0.0764,0.20262892686416292
432935450,1.2935,1.5035,3.4291,0.0663,0.0783,0.1075,0.224325293611701
432935451,3.6964,4.0195,6.5935,0.0786,0.0869,0.1071,0.1256508846247525
432935452,4.2275,4.7529,8.0061,0.1187,0.1381,0.1917,0.1351063003197879
432935453,2.6919,3.1776,6.5408,0.0549,0.0609,0.1047,0.16978395275546265
432935467,4.5142,5.1385,7.3766,0.0325,0.0408,0.06,0.15904183716398032
432935473,0.5496,0.8444,2.71,0.0003,0.0004,0.0056,0.224325293611701
432935530,1.469,2.1519,5.5574,0.0372,0.0441,0.0802,0.14610036423614817
432935540,0.3765,0.7129,2.8937,0.0003,0.0003,0.0071,0.18208192715442573
432935558,9.2076,9.6282,11.2132,0.1521,0.1586,0.1271,0.0752449975094086
432935565,3.3776,3.4144,3.9228,0.1242,0.1293,0.0888,0.19941430995731257
432935571,0.0549,0.252,4.8676,0.0,0.0,0.0232,0.12199187159268324
432935572,7.8892,8.3458,9.2282,0.0495,0.0514,0.0499,0.07953076456813789
432935574,5.5489,5.8759,6.5149,0.0659,0.0695,0.0561,0.11527791973048969
432935649,2.3827,2.532,2.9432,0.0443,0.0479,0.0291,0.2129260181386661
432935657,3.9697,4.0784,4.4486,0.0532,0.0556,0.0427,0.21659487670178934
432935670,2.9841,3.1279,4.5375,0.018,0.017,0.0217,0.13226261511265314
432935671,1.9303,2.3712,5.7525,0.0782,0.0892,0.1586,0.14781870195462177
432935672,3.656,4.0248,4.2732,0.0329,0.0334,0.0185,0.11966865507387159
432935673,4.0157,4.2315,5.2778,0.0223,0.0232,0.0253,0.13226261511265314
432935675,1.8346,2.4495,6.6851,0.0801,0.093,0.1588,0.14610036423614817
432935726,3.6234,4.1247,4.5495,0.0233,0.0276,0.0142,0.11022268844923072
432935727,4.5038,4.8639,6.174,0.0602,0.0629,0.0613,0.11119795425652645
432935728,0.3291,0.6818,4.1675,0.0002,0.0002,0.0087,0.15137953892966877
432935729,0.9968,1.3445,3.9212,0.0282,0.0338,0.0631,0.2093793437612272
432935731,0.4429,0.7995,3.8117,0.0072,0.0093,0.0192,0.18475840065665078
432935736,5.5041,5.8049,7.4562,0.2595,0.2732,0.2399,0.12081909724428652
432935737,1.9695,2.3848,5.8575,0.0187,0.0219,0.0402,0.12821464331793822
432935746,2.4801,2.7502,5.8869,0.0275,0.0306,0.0571,0.1653175867489029
432935749,2.5516,2.9237,4.3568,0.0437,0.0541,0.0758,0.21659487670178934
432935750,1.4815,1.6912,3.785,0.0323,0.0377,0.0607,0.2093793437612272
432935751,2.3323,3.0722,6.5873,0.0458,0.0564,0.097,0.14781870195462177
432935754,3.0164,3.7287,6.1284,0.134,0.1576,0.1718,0.15511613727099602
432935755,3.9132,4.7623,7.4774,0.052,0.0649,0.0937,0.1495779344429456
432935756,3.1809,4.1766,8.3005,0.041,0.0615,0.1167,0.12318763468639518
432935757,8.2061,8.9829,10.4683,0.1472,0.1541,0.1319,0.11022268844923072
432935772,0.5183,0.7304,2.5139,0.0031,0.0036,0.0086,0.2059488517353309
432935773,4.5242,4.7467,6.5974,0.0333,0.035,0.0483,0.14610036423614817
432935774,1.3751,1.6776,3.7997,0.0124,0.0138,0.0221,0.1903544897796419
432935833,4.3747,4.6845,4.66,0.0565,0.0602,0.0436,0.1653175867489029
432935851,3.8143,4.1414,6.4831,0.0278,0.0336,0.0551,0.17449830252036147
432935855,1.8181,3.9697,7.3517,0.0419,0.1076,0.157,0.1721088567938853
432935856,2.6144,5.5158,9.5674,0.049,0.1272,0.1851,0.15322506464696445
432935859,2.5877,5.0828,8.5455,0.0263,0.0643,0.0892,0.16108014280507627
432935866,3.3055,3.3794,3.4543,0.1439,0.1472,0.0907,0.21659487670178934
432935867,1.9166,2.8925,4.4256,0.0649,0.0809,0.0809,0.22840111198938143
432935869,1.842,2.8096,4.3472,0.0452,0.0563,0.0548,0.23701364694242527
432935928,3.6314,3.9304,4.8397,0.0319,0.0351,0.0297,0.19941430995731257
432935931,7.723,8.5758,9.471,0.1427,0.1622,0.1364,0.11853991327830876
432935933,6.6932,7.3876,7.8146,0.1534,0.1747,0.133,0.13807493637999585
432935934,4.0719,4.5747,5.3119,0.0269,0.0309,0.02,0.10471236017896915
432935935,8.6106,9.3061,9.2627,0.1491,0.1639,0.1035,0.09519422993221213
432935946,1.9017,1.7969,2.8493,0.0256,0.0243,0.0251,0.2093793437612272
432935947,2.5095,2.6433,2.8692,0.0063,0.0074,0.0088,0.2093793437612272
432935953,4.4409,4.5756,5.201,0.0728,0.0773,0.0601,0.16978395275546265
432936033,1.7257,1.8716,2.3854,0.027,0.0295,0.0189,0.224325293611701
432936036,1.445,1.5969,2.4648,0.0124,0.0133,0.0119,0.224325293611701
432936042,11.0896,11.6969,10.1246,0.331,0.3503,0.2165,0.10648688664370398
432936066,2.8153,2.8777,3.7771,0.07,0.0719,0.0641,0.2059488517353309
432936226,11.9763,12.5025,10.6733,0.2157,0.2288,0.15,0.12199187159268324
432936229,8.1172,8.2208,8.3039,0.1581,0.1586,0.1287,0.13088518977836702
432936232,3.8912,4.7271,8.4856,0.0434,0.0521,0.0762,0.10832258979485408
