detection_id,B,G,R,nB,nG,nR,Compactness
432286689,1.1967,3.5091,3.6646,0.0096,0.0234,0.0201,0.12953615542145414
432286690,0.5453,2.9004,3.1369,0.0,0.0114,0.0097,0.12691981982432735
432286695,0.5271,3.6607,3.7344,0.0,0.0177,0.0124,0.09972671719555438
432286704,1.5421,8.3493,4.8758,0.0271,0.0745,0.0391,0.0937735836449438
432286718,2.8825,12.8936,9.1536,0.0311,0.1004,0.0556,0.050875153686925724
432286719,3.5351,9.0409,10.6614,0.0126,0.0279,0.0404,0.046541470193173916
432286722,1.2991,1.5985,2.8684,0.0,0.0009,0.0067,0.18208192715442573
432286723,1.8643,2.2104,3.2896,0.0586,0.0586,0.0618,0.2059488517353309
432286730,4.1423,4.6061,6.6073,0.0646,0.0805,0.0742,0.12821464331793822
432286732,2.1652,3.9663,4.3342,0.0434,0.0685,0.057,0.15904183716398032
432286735,5.2075,6.4606,8.9552,0.1154,0.1687,0.1334,0.08666044549832956
432286739,3.1324,6.8405,7.002,0.058,0.0981,0.0779,0.08726219508235135
432286742,3.5653,4.072,5.3872,0.0501,0.0646,0.0556,0.16317136358672749
432286745,3.2718,11.0232,7.6271,0.0841,0.1535,0.1154,0.0815963233535219
432286747,2.4241,12.5984,6.5135,0.1014,0.169,0.1326,0.08321729873508964
432286748,4.9797,7.9671,8.0626,0.0575,0.0741,0.0624,0.08321729873508964
432286749,2.548,11.622,6.6093,0.0594,0.1371,0.0742,0.07756719641593564
432286755,4.7042,21.8751,11.0512,0.1023,0.2214,0.1386,0.05463535211139932
432286758,4.1063,19.3125,9.2067,0.0952,0.2187,0.1187,0.06346488289866778
432286764,4.6112,21.1381,10.1431,0.0904,0.2085,0.1208,0.06283026644890574
432286765,2.0666,8.8846,6.8344,0.0101,0.0334,0.0263,0.06378702284985524
432286767,3.7347,19.4057,8.7821,0.0926,0.2136,0.1181,0.06444121395927624
432286772,1.6414,1.669,3.6238,0.0,0.0002,0.0085,0.14442151192814084
432286773,1.0633,2.9987,3.0854,0.0092,0.0216,0.017,0.15137953892966877
432286775,0.766,2.5152,2.7871,0.0156,0.0329,0.0241,0.15705446369492315
432286776,0.5936,1.6148,2.5673,0.0,0.0063,0.0078,0.15705446369492315
432286778,1.1674,2.5819,3.2074,0.0131,0.026,0.0216,0.15322506464696445
432286779,0.4829,2.4245,2.5173,0.0071,0.0213,0.0158,0.15511613727099602
432286780,0.3566,1.5597,2.1934,0.0,0.0058,0.0072,0.16978395275546265
432286782,2.3786,4.5296,4.896,0.0209,0.0345,0.0321,0.12953615542145414
432286785,1.2453,2.474,3.5474,0.0,0.0045,0.009,0.13657449043501094
432286787,1.913,3.6016,4.1461,0.0236,0.0393,0.0329,0.1396087127968195
432286792,1.7671,3.4885,3.9762,0.0212,0.0386,0.0305,0.14442151192814084
432286796,2.1279,2.4789,3.9113,0.0456,0.0531,0.0505,0.1721088567938853
432286799,1.6801,2.2755,3.7212,0.0362,0.0431,0.0469,0.16108014280507627
432286800,0.8872,1.3782,2.827,0.0,0.0013,0.0077,0.15904183716398032
432286801,1.8812,2.3206,3.7311,0.0295,0.0392,0.0365,0.16978395275546265
432286804,1.6051,1.8538,3.4194,0.0425,0.0694,0.0568,0.18208192715442573
432286805,0.5868,1.4852,2.2728,0.0,0.0021,0.0068,0.1794818739290955
432286807,1.9239,2.3225,3.8255,0.0281,0.0372,0.0361,0.16752101074657041
432286810,1.1517,1.9434,2.8625,0.0181,0.0259,0.0257,0.18751471302418415
432286830,11.0737,6.185,11.2385,0.2843,0.1419,0.2122,0.11527791973048969
432286832,10.9996,6.1581,11.2251,0.3333,0.1761,0.254,0.11634512054520679
432286836,9.9447,5.8795,10.8392,0.1597,0.0882,0.1322,0.10926437976474195
432286840,9.8623,5.9058,10.695,0.193,0.1059,0.1566,0.11423011752805243
432286841,8.8424,5.2007,9.5381,0.1981,0.109,0.1572,0.12440706908215582
432286844,8.8642,5.3167,9.5308,0.1809,0.101,0.1446,0.1256508846247525
432286848,8.9093,5.3193,9.5043,0.1748,0.0968,0.138,0.12691981982432735
432286904,3.5801,3.5928,5.3142,0.1043,0.1039,0.1155,0.19941430995731257
432286905,3.5477,3.5614,5.2908,0.0922,0.092,0.103,0.19941430995731257
432286907,3.7898,3.799,5.4907,0.1596,0.1607,0.1728,0.20262892686416292
432286909,3.7713,3.7276,5.4845,0.1141,0.1122,0.1248,0.19941430995731257
432286911,3.5918,3.5396,5.3083,0.1172,0.1154,0.1284,0.19941430995731257
432286912,3.7563,3.675,5.4406,0.1012,0.0981,0.1108,0.19941430995731257
432286914,3.2655,3.2507,4.8718,0.1048,0.104,0.1154,0.2129260181386661
432286917,3.7655,3.7395,5.5277,0.1222,0.1205,0.134,0.1963000700655754
432286921,3.3134,3.3338,4.9517,0.1224,0.1234,0.1355,0.2129260181386661
432286923,3.2337,3.2381,4.8538,0.1021,0.102,0.1132,0.2129260181386661
432286924,3.3705,3.3846,4.9826,0.0926,0.0927,0.1028,0.2129260181386661
432286925,3.3343,3.3915,4.9545,0.0974,0.0988,0.1074,0.2129260181386661
432286928,3.2517,3.2777,4.8193,0.0897,0.0903,0.0987,0.2129260181386661
432286929,3.2825,3.3007,4.8433,0.1161,0.1176,0.1255,0.2129260181386661
432286931,3.3273,3.2661,4.8335,0.0929,0.0908,0.1002,0.2129260181386661
432286932,3.2224,3.1498,4.6927,0.0825,0.0807,0.0888,0.21659487670178934
432286934,3.1673,3.0924,4.6902,0.1428,0.1393,0.1509,0.2129260181386661
432286937,2.9644,2.9743,4.4616,0.0661,0.0668,0.0741,0.22039234176969208
432286939,2.9111,2.9173,4.4506,0.0745,0.0745,0.0833,0.21659487670178934
432286940,2.9317,2.9398,4.4643,0.0666,0.0666,0.0748,0.21659487670178934
432286941,3.0455,3.0511,4.5767,0.0874,0.0877,0.0955,0.21659487670178934
432286943,23.4454,23.2941,23.5149,0.2786,0.2631,0.2231,0.08055030487456037
