detection_id,B,G,R,nB,nG,nR,Compactness
427646343,2.0633,10.9354,14.0768,0.0,0.0,0.0211,0.0589957324588329
427646346,21.3008,20.4872,14.1691,0.2607,0.2494,0.1208,0.058176383157876974
427646350,18.1157,18.2069,12.0316,0.4457,0.4465,0.1778,0.07139750161301212
427646363,23.7275,24.0327,17.2354,0.6625,0.6762,0.28,0.04363270157106099
427646365,16.2411,14.9923,10.508,0.066,0.0153,0.0185,0.06719790044098876
427646366,31.8825,31.4474,18.4313,1.3838,1.3549,0.554,0.06220821570931003
427646367,37.0017,34.2751,20.2826,0.1655,0.1127,0.0289,0.04318289069619264
427646369,27.3673,25.4024,15.393,0.1354,0.0801,0.0228,0.05463535211139932
427646371,52.6406,48.3561,25.9334,0.2469,0.1678,0.0312,0.04001988008125082
427646372,19.6188,18.9094,13.1261,1.4312,1.3834,0.5628,0.059274001684944774
427646373,18.6646,18.2355,12.8711,2.1213,2.0846,0.8685,0.059274001684944774
427646375,23.5351,22.8048,15.9131,0.7922,0.744,0.3191,0.04471960971181389
427646376,25.7172,24.7112,16.6015,0.1687,0.1584,0.0899,0.04671448198421
427646377,18.6774,18.5504,12.2336,0.1645,0.1617,0.0822,0.06283026644890574
427646379,13.7547,14.6891,9.9202,0.009,0.0398,0.0171,0.07263552511680024
427646381,14.4208,15.2437,10.771,0.0205,0.0375,0.0195,0.06378702284985524
427646443,9.8433,9.1628,8.1814,0.3781,0.3478,0.0886,0.05686023067241032
427646446,13.8086,12.0381,9.0158,0.5609,0.4933,0.1073,0.04870612541107282
427646447,20.5426,15.3183,8.1029,0.7981,0.5639,0.2019,0.09307904275505513
427646452,9.1525,10.2655,5.5399,0.0583,0.0534,0.0345,0.08321729873508964
427646453,10.6757,11.4939,6.1272,0.0299,0.0287,0.0225,0.077091360650504
427646454,10.4515,12.5809,6.3976,0.0696,0.0695,0.0314,0.07569824722699373
427646455,10.6829,12.2041,6.3762,0.0427,0.042,0.0259,0.07569824722699373
427646456,10.0787,12.881,6.9883,0.0786,0.0898,0.0474,0.07391723900466864
427646457,12.0877,13.1628,7.1362,0.0792,0.0879,0.0373,0.07479714303071543
427646458,10.9621,14.6774,7.6404,0.0873,0.1071,0.0421,0.07180546030797123
427646459,10.8905,14.609,7.5467,0.0854,0.1038,0.0407,0.07348500463068167
427646460,11.527,14.9719,8.3472,0.1158,0.1368,0.0594,0.07348500463068167
427646461,11.9443,15.2932,8.8151,0.1564,0.1796,0.0764,0.07348500463068167
427646462,13.0548,14.8055,8.4417,0.1657,0.1868,0.0785,0.07435458803139107
427646463,14.3868,16.5246,9.3501,0.2313,0.2732,0.1123,0.07435458803139107
427646464,13.1234,16.6802,9.2803,0.1775,0.2179,0.0857,0.07435458803139107
427646465,13.1433,16.873,9.4326,0.1952,0.2245,0.0906,0.07348500463068167
427646466,12.5625,17.1464,9.4561,0.1592,0.2229,0.085,0.07263552511680024
427646468,12.5522,16.8121,9.5545,0.1492,0.1983,0.0811,0.0752449975094086
427646469,10.8212,17.0403,10.0791,0.1863,0.3074,0.1373,0.07853670966610296
427646472,10.838,15.0522,8.1973,0.2323,0.3259,0.1139,0.08666044549832956
427646473,11.2344,14.3188,7.7214,0.2816,0.3826,0.1508,0.08975514439115811
427646474,9.6592,15.2079,8.1319,0.2086,0.3016,0.1263,0.08726219508235135
427646475,9.7631,15.3178,7.8469,0.1586,0.2219,0.0822,0.08606693785815557
427646476,10.327,14.205,7.5375,0.1989,0.2487,0.0909,0.08266986501266944
427646477,9.5221,14.3701,7.4132,0.1643,0.2522,0.0888,0.08377203058083679
427646478,9.7277,14.2313,6.9562,0.181,0.2515,0.0743,0.09040079679516942
427646479,10.8435,14.2936,7.1724,0.2202,0.2877,0.0966,0.08787235948346774
427646480,10.2822,13.6717,6.7728,0.1867,0.2443,0.0792,0.08911864874469005
427646481,10.1337,13.3174,6.6713,0.1477,0.1974,0.066,0.09105580497377844
427646482,6.7891,8.8094,6.0648,0.1305,0.1717,0.0709,0.09519422993221213
427646483,6.3702,8.8835,5.8057,0.0977,0.1259,0.0509,0.09894156757337469
427646484,6.5912,8.9141,6.0592,0.1026,0.1301,0.0551,0.09740778003073822
427646485,8.6145,10.5509,7.0278,0.1058,0.1352,0.0545,0.08666044549832956
427646486,7.3574,11.1267,7.2222,0.0952,0.1368,0.057,0.08490398027194407
427646487,7.6295,12.4625,7.6776,0.1434,0.2182,0.0805,0.08003728818317192
427646488,8.9645,11.5453,7.6391,0.1799,0.242,0.0963,0.08055030487456037
427646489,8.3644,10.6323,6.5766,0.0873,0.1114,0.0493,0.07953076456813789
427646490,7.3253,10.0492,6.2403,0.0848,0.1035,0.0499,0.08212958633865283
427646492,6.8552,8.1949,4.7751,0.0554,0.0532,0.0283,0.1021587506273488
427646493,6.6093,8.6381,4.9559,0.036,0.0335,0.0266,0.09894156757337469
427646494,8.2165,8.8265,5.5429,0.0706,0.0701,0.0351,0.09519422993221213
427646495,8.2964,8.9053,5.646,0.0568,0.0594,0.0328,0.09519422993221213
427646496,8.0814,8.7842,5.615,0.0779,0.0791,0.0383,0.09447856694680049
427646497,6.024,8.8925,5.2294,0.0524,0.0617,0.0342,0.09172037375316221
427646498,7.4187,7.6787,4.9484,0.0453,0.0426,0.0264,0.09592081711552267
427646499,7.0081,7.5845,4.8385,0.0617,0.0583,0.028,0.09447856694680049
427646500,7.0683,8.1036,5.0869,0.0577,0.0617,0.0312,0.0937735836449438
427646501,6.1367,8.1686,4.8181,0.0875,0.0973,0.038,0.09447856694680049
427646502,6.1634,8.0062,4.7768,0.0472,0.0489,0.0267,0.09592081711552267
427646503,5.9721,7.7012,4.6674,0.0386,0.0426,0.0227,0.09816868357674101
427646504,6.0093,7.2649,4.821,0.0467,0.0518,0.0284,0.09894156757337469
427646505,5.7075,7.1813,4.6754,0.0471,0.0491,0.0242,0.10299600257653854
427646506,6.6296,7.2428,4.531,0.0464,0.0463,0.0231,0.10648688664370398
427646507,5.9239,7.1746,4.4519,0.042,0.0487,0.0248,0.10832258979485408
427646513,16.4068,29.3548,19.2337,0.4955,0.9477,0.4481,0.06220821570931003
427646514,16.8906,26.4881,17.6044,0.5402,0.913,0.4084,0.06411244968272661
427646515,16.7912,26.6261,17.612,0.6059,1.038,0.4676,0.06544805286939072
427646516,14.9527,23.6036,15.545,0.6798,1.0903,0.479,0.06829345312829196
427646517,13.9635,21.2211,14.5023,0.6542,1.0304,0.4692,0.06942531913488556
427646518,13.2933,21.8417,14.0867,0.3514,0.6294,0.2642,0.07221810771057427
427646519,11.1554,20.163,12.7109,0.2258,0.4111,0.1725,0.07391723900466864
427646520,10.5262,19.6148,12.2856,0.233,0.422,0.1874,0.07479714303071543
427646521,10.5035,18.648,12.1881,0.2499,0.4342,0.1906,0.07435458803139107
427646522,10.6171,17.0823,11.1577,0.2129,0.337,0.1517,0.07305779571290515
427646523,9.3256,15.3657,10.579,0.2077,0.3366,0.165,0.07569824722699373
427646524,8.1924,15.2221,10.5331,0.1186,0.2412,0.1277,0.07305779571290515
427646525,7.5729,14.9188,9.894,0.052,0.1058,0.0562,0.07479714303071543
427646526,6.3285,12.7381,9.1654,0.0491,0.1031,0.0575,0.07348500463068167
427646527,5.6345,10.9489,8.0973,0.0658,0.1173,0.0646,0.08266986501266944
427646528,5.4298,10.5024,7.8127,0.0461,0.0865,0.0538,0.08490398027194407
427646529,6.9632,11.8768,6.2328,0.1072,0.1714,0.0513,0.09816868357674101
427646530,8.1491,12.28,6.3063,0.1632,0.2409,0.065,0.09665858053229819
427646531,9.8283,11.2754,6.1995,0.2384,0.2513,0.0796,0.0937735836449438
427646532,9.4696,12.6814,7.0311,0.2094,0.2759,0.0937,0.09307904275505513
427646533,8.9092,13.113,7.4355,0.2422,0.3553,0.1273,0.09307904275505513
427646534,9.7762,13.1762,7.7104,0.2533,0.3428,0.1273,0.09105580497377844
427646536,9.1566,13.0335,8.1983,0.2473,0.3623,0.1454,0.0937735836449438
427646537,8.7427,17.0281,13.8874,0.2502,0.4894,0.2943,0.07756719641593564
427646538,8.0725,18.1722,14.2086,0.1916,0.3829,0.2006,0.07903061153879146
427646539,7.5031,12.824,10.0385,0.1337,0.2298,0.1273,0.08787235948346774
427646540,4.7983,6.9007,5.7312,0.0421,0.0478,0.0233,0.08911864874469005
427646541,5.0111,6.5999,5.5835,0.0291,0.0298,0.0178,0.08975514439115811
427646542,4.7603,6.9652,5.8846,0.0163,0.0209,0.0188,0.08433420746488306
